,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,21735,14562285,1074684818430,76520,75000,73460,-3060,-4,73800,-2720,-3.55,73460,75000
3,امينح,ح . تامين سرمايه امين,17764,9531656,52056152750,4980,5170,5570,590,11.85,5460,480,9.64,5170,5570
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,16386,8627048,1117934516000,134290,132000,128940,-5350,-3.98,129580,-4710,-3.51,128920,132000
5,شستا,سرمايه گذاري تامين اجتماعي,12893,59532104,657878570610,11260,11080,11050,-210,-1.87,11050,-210,-1.87,11040,11240
6,فملي,ملي‌ صنايع‌ مس‌ ايران‌,8994,57259957,681874432790,12140,11930,11900,-240,-1.98,11910,-230,-1.89,11900,12200
7,خزاميا,زامياد,8632,69977538,620116831480,8820,8820,8720,-100,-1.13,8860,40,0.45,8650,9150
8,اپال,فرآوري معدني اپال كاني پارس,8004,13415936,236847775780,17920,17910,17640,-280,-1.56,17650,-270,-1.51,17570,17910
9,كدما,معدني‌ دماوند,7491,3693661,561613116570,240010,152000,148960,-91050,-37.94,152050,-87960,-36.65,148960,161120
10,امين,تامين سرمايه امين,6915,7886762,58197234550,7000,6990,7420,420,6,7380,380,5.43,6990,7420
11,بوعلي,پتروشيمي بوعلي سينا,5264,1504856,62893424820,42020,41600,41800,-220,-0.52,41790,-230,-0.55,41560,42020
12,سيتا,سرمايه گذاري سيمان تامين,4554,5949211,89272741970,15030,15020,15010,-20,-0.13,15010,-20,-0.13,15000,15020
13,غپاك,لبنيات‌ پاك‌,4313,9298231,279556126190,29650,30000,29660,10,0.03,30070,420,1.42,29460,30800
14,بپيوند,برق و انرژي پيوندگستر پارس,3976,3844209,50283126188,13337,13130,13081,-256,-1.92,13080,-257,-1.93,13071,13145
15,آريا,پليمر آريا ساسول,3857,1605136,136448492910,86508,84901,84780,-1728,-2,85007,-1501,-1.74,84778,86500
16,فايرا,آلومينيوم‌ايران‌,3819,10536953,187036625680,17410,18350,17340,-70,-0.4,17750,340,1.95,17180,18350
17,كمند,صندوق س. با درآمد ثابت كمند,3722,147227825,1475849914359,10011,10023,10023,12,0.12,10024,13,0.13,10022,10026
18,فولاد,فولاد مباركه اصفهان,3428,24243843,308364419690,12960,12750,12710,-250,-1.93,12720,-240,-1.85,12710,12880
19,بركت,گروه دارويي بركت,3349,10566797,336446640440,32300,32100,31660,-640,-1.98,31840,-460,-1.42,31660,32270
20,وكبهمن,مديريت سرمايه گذاري كوثربهمن,3232,2325707,26273306697,11523,11310,11293,-230,-2,11397,-126,-1.09,11293,11350
