,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,25785,29207003,1869262629260,65930,64800,63300,-2630,-3.99,64000,-1930,-2.93,62700,65830
3,فگستر,گسترش صنايع روي ايرانيان,25014,888646,7585482256,8130,8536,8536,406,4.99,8320,190,2.34,8536,8536
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,17841,15047314,1700937204020,116980,114230,110850,-6130,-5.24,113040,-3940,-3.37,109900,116300
5,فملي,ملي‌ صنايع‌ مس‌ ايران‌,13192,101972855,1167885768770,11860,11420,11290,-570,-4.81,11450,-410,-3.46,11270,11970
6,فتوسا,توليد و توسعه سرب روي ايرانيان,12410,1837017,15879174948,8233,8644,8644,411,4.99,8628,395,4.8,8644,8644
7,كزغال,زغال سنگ پروده طبس,11147,11677700,353305232022,31642,30060,30065,-1577,-4.98,30255,-1387,-4.38,30060,31090
8,خودرو,ايران‌ خودرو,10537,413418982,692159589662,1749,1700,1662,-87,-4.97,1674,-75,-4.29,1662,1740
9,شپنا,پالايش نفت اصفهان,9494,126993152,1144902120950,9470,9000,9000,-470,-4.96,9020,-450,-4.75,9000,9220
10,شستا,سرمايه گذاري تامين اجتماعي,8929,37668810,357760949570,9840,9510,9410,-430,-4.37,9500,-340,-3.46,9380,9770
11,خساپا,سايپا,8861,360190643,568654887525,1653,1600,1571,-82,-4.96,1579,-74,-4.48,1571,1650
12,ولپارس,ليزينگ پارسيان,6487,12871572,47314908725,3862,3669,3669,-193,-5,3676,-186,-4.82,3669,3795
13,كمند,صندوق س. با درآمد ثابت كمند,6472,393256578,3971779107012,10094,10100,10100,6,0.06,10100,6,0.06,10098,10102
14,كرمان,س. توسعه و عمران استان كرمان,6412,227288914,217318535252,986,990,937,-49,-4.97,956,-30,-3.04,937,1004
15,شتران,پالايش نفت تهران,6268,77081218,531046561950,7230,6870,6870,-360,-4.98,6890,-340,-4.7,6870,7060
16,امينح,ح . تامين سرمايه امين,5577,4112636,20549244108,5085,4911,4969,-116,-2.28,4997,-88,-1.73,4890,5060
17,اپال,فرآوري معدني اپال كاني پارس,5549,22057935,399860773870,18590,18390,18080,-510,-2.74,18130,-460,-2.47,17950,18480
18,امين يكم,صندوق درآمد ثابت امين يكم فردا,5312,132685832,1330484754860,10024,10030,10026,2,0.02,10027,3,0.03,10025,10030
19,شگويا,پتروشيمي تندگويان,5143,24833401,203099733319,8101,8000,8100,-1,-0.01,8178,77,0.95,8000,8395
20,آريا,پليمر آريا ساسول,5010,2567067,188330425131,76668,72970,72964,-3704,-4.83,73364,-3304,-4.31,72900,75300
21,بوعلي,پتروشيمي بوعلي سينا,4882,1974408,88543493150,44400,44000,44480,80,0.18,44850,450,1.01,42570,46100
22,بركت,گروه دارويي بركت,4826,19155164,462893977380,25190,25000,23940,-1250,-4.96,24170,-1020,-4.05,23940,25000
23,ذوب,سهامي ذوب آهن  اصفهان,4706,132093495,369056920472,2937,2791,2810,-127,-4.32,2794,-143,-4.87,2791,2869
24,ثاميد,توسعه و عمران اميد,4251,95652476,128654963005,1394,1369,1370,-24,-1.72,1345,-49,-3.52,1325,1400
25,وسپهر,سرمايه گذاري مالي سپهرصادرات,4048,14262368,129702339390,9094,9094,9094,0,0,9094,0,0,9094,9095
26,پترول,گروه پتروشيمي س. ايرانيان,4003,29551116,237111650360,8210,8000,7900,-310,-3.78,8020,-190,-2.31,7850,8250
27,وپارس,بانك‌پارسيان‌,3686,135935676,366656857370,2683,2686,2695,12,0.45,2697,14,0.52,2658,2790
28,آبادا,توليد نيروي برق آبادان,3645,2685470,24176194860,9370,8910,8910,-460,-4.91,9000,-370,-3.95,8910,9290
29,وكبهمن,مديريت سرمايه گذاري كوثربهمن,3558,2974811,29961978666,10117,9973,10100,-17,-0.17,10072,-45,-0.44,9728,10117
30,امين,تامين سرمايه امين,3427,5854670,41513570810,7150,7090,7090,-60,-0.84,7090,-60,-0.84,7090,7100
31,افران,صندوق س افرا نماد پايدار-ثابت,3336,85588149,1143987243504,13355,13366,13366,11,0.08,13366,11,0.08,13365,13371
32,سيتا,سرمايه گذاري سيمان تامين,3297,8298217,124476851900,15000,15000,15000,0,0,15000,0,0,15000,15010
33,شبندر,پالايش نفت بندرعباس,3291,27052934,514976753630,20020,19020,19020,-1000,-5,19040,-980,-4.9,19020,19550
34,ولساپا,ليزينگ رايان‌ سايپا,3084,55519722,143364381782,2493,2461,2617,124,4.97,2582,89,3.57,2440,2617
35,خبهمن,گروه‌بهمن‌,3052,159960795,171411993154,1125,1069,1069,-56,-4.98,1072,-53,-4.71,1069,1114
36,وبصادر,بانك صادرات ايران,3043,119001893,214997605315,1900,1805,1805,-95,-5,1807,-93,-4.89,1805,1860
37,وخارزم,سرمايه گذاري خوارزمي,2851,39636739,135950982854,3587,3423,3408,-179,-4.99,3430,-157,-4.38,3408,3578
38,پارند,صندوق س. پارند پايدار سپهر,2705,119575206,1346905861082,11258,11270,11265,7,0.06,11264,6,0.05,11263,11273
39,شتوكا,توكا رنگ فولاد سپاهان,2619,9265521,229454178718,48230,25000,26250,-21980,-45.57,24764,-23466,-48.65,23750,26250
40,تسه0002,امتيازتسهيلاتمسكن ارديبهشت1400,2596,57572,31317439557,569275,542000,540812,-28463,-5,543970,-25305,-4.45,540812,565000
41,كيان,صندوق س. با درآمد ثابت كيان,2461,49643449,1416462592082,28517,28532,28533,16,0.06,28533,16,0.06,28531,28537
42,غگل,گلوكوزان‌,2450,35922704,78734413597,2276,2163,2187,-89,-3.91,2192,-84,-3.69,2163,2250
43,فجر,فولاد اميركبيركاشان,2446,7770524,504881397310,64080,63010,65680,1600,2.5,64970,890,1.39,63010,66000
44,وتجارت,بانك تجارت,2418,137789290,277920997930,2123,2017,2017,-106,-4.99,2017,-106,-4.99,2017,2017
45,سفارس,سيمان فارس و خوزستان,2415,17311850,243980264920,13650,13330,14330,680,4.98,14090,440,3.22,13330,14330
46,بپيوند,برق و انرژي پيوندگستر پارس,2391,4628093,44408336061,10074,9730,9571,-503,-4.99,9595,-479,-4.75,9571,9900
47,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,2292,21567795,193688978690,9070,8710,9000,-70,-0.77,8980,-90,-0.99,8710,9300
48,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,2287,54696440,2000312622790,36553,36570,36571,18,0.05,36571,18,0.05,36568,36573
49,وسبحان,سرمايه گذاري سبحان,2188,50816289,111644091566,2119,2040,2224,105,4.96,2197,78,3.68,2040,2224
50,صبا,سرمايه گذاري صبا تامين,2090,9352139,64187624098,7208,6855,6851,-357,-4.95,7009,-199,-2.76,6848,7026
51,سرو,صندوق س سروسودمند مدبران-سهام,1852,2158322,120937099790,58210,57810,55300,-2910,-5,56030,-2180,-3.75,54000,57810
52,فخوز,فولاد  خوزستان,1797,11412917,159700084900,14090,14000,14190,100,0.71,13990,-100,-0.71,13740,14250
53,بجهرم,توسعه مولد نيروگاهي جهرم,1783,27708861,51356058487,1942,1880,1845,-97,-4.99,1853,-89,-4.58,1845,1908
54,فارس,صنايع پتروشيمي خليج فارس,1782,18464972,157153459140,8900,8760,8460,-440,-4.94,8510,-390,-4.38,8460,8800
55,فباهنرح,ح . مس‌ شهيدباهنر,1682,8745900,105930886310,13170,13300,12070,-1100,-8.35,12110,-1060,-8.05,11860,13300
56,ساوه,سيمان ساوه,1675,1562554,65791459746,40327,40362,42380,2053,5.09,42105,1778,4.41,40362,42380
57,وبانك,سرمايه گذاري گروه توسعه ملي,1656,12214452,78866973960,6490,6240,6500,10,0.15,6460,-30,-0.46,6240,6610
58,نوري,پتروشيمي نوري,1560,1349944,76073005410,57000,55000,56650,-350,-0.61,56480,-520,-0.91,55000,57680
59,وتوس,توسعه‌شهري‌توس‌گستر,1541,4417250,63245768830,14060,14760,13930,-130,-0.92,14320,260,1.85,13360,14760
60,سشرق,سيمان‌ شرق‌,1480,22619586,113118285740,4840,4670,5080,240,4.96,5000,160,3.31,4670,5080
61,ساراب,سيمان‌ داراب‌,1398,5910704,114475231650,19710,18730,19860,150,0.76,19370,-340,-1.73,18730,20500
62,ومعادن,توسعه‌معادن‌وفلزات‌,1392,10637737,79939512790,7770,7550,7400,-370,-4.76,7590,-180,-2.32,7390,7750
63,ونوين,بانك‌اقتصادنوين‌,1279,22859500,84134716203,3775,3780,3677,-98,-2.6,3681,-94,-2.49,3610,3780
64,غسالم,سالمين‌,1229,20840643,61358850617,3098,2944,2945,-153,-4.94,2944,-154,-4.97,2944,2950
65,تنوين,تامين سرمايه نوين,1206,30354997,224449116140,7370,7380,7420,50,0.68,7390,20,0.27,7150,7590
66,كاوه,فولاد كاوه جنوب كيش,1154,10281519,179009231700,18200,17510,17340,-860,-4.73,17410,-790,-4.34,17290,18010
67,شيران,س. صنايع‌شيميايي‌ايران,1127,8205599,151517870810,19320,18390,18360,-960,-4.97,18470,-850,-4.4,18360,20000
68,سپاها,سيمان‌سپاهان‌,1121,10777506,68365750800,6220,6020,6530,310,4.98,6340,120,1.93,5910,6530
69,وساپا,سرمايه‌گذاري‌ سايپا,1115,18918050,76220765670,4209,4030,4022,-187,-4.44,4029,-180,-4.28,3999,4140
70,ومعادنح,ح . توسعه‌معادن‌وفلزات‌,1108,5788650,31575419190,5510,5450,5360,-150,-2.72,5450,-60,-1.09,5220,5720
71,آگاس,صندوق س.هستي بخش آگاه-س,1084,670790,40222528373,61241,61974,59850,-1391,-2.27,59963,-1278,-2.09,58965,61974
72,ما,بيمه  ما,1075,5640019,51302996060,9120,9190,9000,-120,-1.32,9100,-20,-0.22,8670,9320
73,سشمال,سيمان‌ شمال‌,1063,5814407,49853837700,8820,8380,8390,-430,-4.88,8570,-250,-2.83,8380,9080
74,ولملت,واسپاري ملت,1018,9137974,45959010890,7710,5120,5010,-2700,-35.02,5030,-2680,-34.76,4870,5370
75,وپاسار,بانك  پاسارگاد,1016,8337062,137326459510,17240,16500,16380,-860,-4.99,16470,-770,-4.47,16380,17220
76,آسيا,بيمه آسيا,1009,32620635,53984428072,1714,1680,1640,-74,-4.32,1655,-59,-3.44,1629,1714
77,شبصير,توليدات پتروشيمي قائد بصير,997,896988,61518230350,68690,69326,67610,-1080,-1.57,68583,-107,-0.16,65259,71000
78,شاراك,پتروشيمي شازند,989,2717034,68128227640,24420,25100,24940,520,2.13,24970,550,2.25,24810,25600
79,فاسمين,كالسيمين‌,974,9173736,112202394190,12860,12220,12230,-630,-4.9,12230,-630,-4.9,12220,12520
80,كچاد,معدني‌وصنعتي‌چادرملو,947,3665342,79763036000,21760,21510,21790,30,0.14,21760,0,0,21500,22150
81,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,946,50247870,93461038200,1957,1860,1860,-97,-4.96,1860,-97,-4.96,1860,1860
82,سمازن,سيمان‌مازندران‌,939,6717606,68228686380,10130,9630,10630,500,4.94,10160,30,0.3,9630,10630
83,وخارزمح,ح.سرمايه گذاري خوارزمي,914,9231320,20402350782,2414,2379,2190,-224,-9.28,2210,-204,-8.45,2173,2379
84,ثمسكن,سرمايه‌گذاري‌ مسكن‌,909,8928096,33889185078,3763,3575,3818,55,1.46,3796,33,0.88,3575,3949
85,شبريز,پالايش نفت تبريز,885,4464175,103101835540,24300,23090,23090,-1210,-4.98,23100,-1200,-4.94,23090,23400
86,تسه0001,امتيازتسهيلات مسكن فروردين1400,857,12478,7124413915,588074,609000,558671,-29403,-5,570958,-17116,-2.91,558671,610000
