,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,60532,97400029,7117424584000,74810,72750,71330,-3480,-4.65,73070,-1740,-2.33,70550,76300
3,فگستر,گسترش صنايع روي ايرانيان,52844,2244128,23823662848,10111,10616,10616,505,4.99,10616,505,4.99,10616,10616
4,فتوسا,توليد و توسعه سرب روي ايرانيان,40706,1154137,13340669583,11009,11559,11559,550,5,11432,423,3.84,11559,11559
5,دارا يكم,صندوق واسطه گري مالي يكم-سهام,26465,20546382,2552237261480,129460,124600,121700,-7760,-5.99,124220,-5240,-4.05,121500,128890
6,شپنا,پالايش نفت اصفهان,25655,311536936,3342608342120,10470,10470,10580,110,1.05,10730,260,2.48,10250,10990
7,غزر,صنعتي زر ماكارون,22341,13573023,324230095880,23090,22500,23400,310,1.34,23890,800,3.46,22500,24240
8,چخزر,صنايع چوب خزر كاسپين,19613,3074656,102138789253,34399,33300,32680,-1719,-5,33220,-1179,-3.43,32680,34600
9,بركت,گروه دارويي بركت,15572,49908123,1307054138650,25270,25880,26530,1260,4.99,26190,920,3.64,24700,26530
10,سپيدار,سپيدار سيستم آسيا,15227,897359,42675596412,49461,47710,46988,-2473,-5,47557,-1904,-3.85,46988,48990
11,خودرو,ايران‌ خودرو,12236,495087332,861604616315,1814,1757,1724,-90,-4.96,1740,-74,-4.08,1724,1811
12,خساپا,سايپا,12034,445352588,703940156853,1642,1596,1560,-82,-4.99,1581,-61,-3.71,1560,1650
13,غكورش,صنعت غذايي كورش,11307,1794126,62184407160,33010,34660,34660,1650,5,34660,1650,5,34660,34660
14,شتران,پالايش نفت تهران,11130,114639341,926221082940,8110,8000,7850,-260,-3.21,8080,-30,-0.37,7730,8480
15,فملي,ملي‌ صنايع‌ مس‌ ايران‌,10697,64416560,802814578260,12730,12410,12290,-440,-3.46,12460,-270,-2.12,12210,12900
16,اپال,فرآوري معدني اپال كاني پارس,10314,18472681,356801132720,18730,18540,19150,420,2.24,19320,590,3.15,18540,19650
17,كزغال,زغال سنگ پروده طبس,9661,4862751,150069580546,31190,30010,30201,-989,-3.17,30861,-329,-1.05,30010,31534
18,فولاد,فولاد مباركه اصفهان,9335,84163749,811361579940,9770,9520,9570,-200,-2.05,9640,-130,-1.33,9470,9950
19,غگيلا,شيرپاستوريزه پگاه گيلان,9076,6607996,115438840361,17787,17989,16898,-889,-5,17470,-317,-1.78,16898,18250
20,شبندر,پالايش نفت بندرعباس,8342,40771251,886937180350,22020,21770,21180,-840,-3.81,21750,-270,-1.23,20980,22690
21,شستا,سرمايه گذاري تامين اجتماعي,8304,42250430,436580409040,10550,10350,10160,-390,-3.7,10330,-220,-2.09,10100,10650
22,امينح,ح . تامين سرمايه امين,7476,4861760,24551921850,5120,5000,4950,-170,-3.32,5050,-70,-1.37,4950,5120
23,وتجارت,بانك تجارت,6660,319451673,646672710774,2038,1967,2040,2,0.1,2024,-14,-0.69,1950,2069
24,كرمان,س. توسعه و عمران استان كرمان,6587,219185363,216014874219,997,998,971,-26,-2.61,986,-11,-1.1,955,1017
25,وبملت,بانك ملت,6583,190820450,729834017879,3990,3899,3791,-199,-4.99,3825,-165,-4.14,3791,3980
