,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,28193,31175738,2208528709560,68810,70980,71030,2220,3.23,70840,2030,2.95,70010,72010
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,27843,26965738,3721046140520,134980,136500,138620,3640,2.7,137990,3010,2.23,136500,139990
4,فملي,ملي‌ صنايع‌ مس‌ ايران‌,19320,129092724,1527321774700,11230,11600,11900,670,5.97,11830,600,5.34,11600,11900
5,خودرو,ايران‌ خودرو,18765,769114887,1537092192235,2058,1997,1997,-61,-2.96,1999,-59,-2.87,1997,2027
6,وبملت,بانك ملت,16236,394398136,1913838153432,4644,4660,4922,278,5.99,4853,209,4.5,4660,4922
7,شپنا,پالايش نفت اصفهان,15532,161648750,1650318038430,10510,10200,10200,-310,-2.95,10210,-300,-2.85,10200,10370
8,بركت,گروه دارويي بركت,12630,44264594,1277159670630,29710,28820,28820,-890,-3,28850,-860,-2.89,28820,29450
9,شستا,سرمايه گذاري تامين اجتماعي,12484,40483459,439712327470,10740,10630,10860,120,1.12,10860,120,1.12,10630,11070
10,وسپهر,سرمايه گذاري مالي سپهرصادرات,10440,28322008,286055119471,10100,10100,10100,0,0,10100,0,0,10100,10104
11,اپال,فرآوري معدني اپال كاني پارس,9949,5717423,98331954300,17090,17170,17190,100,0.59,17180,90,0.53,17090,17310
12,فولاد,فولاد مباركه اصفهان,9789,65679451,786018916900,11720,11580,11980,260,2.22,11970,250,2.13,11580,12210
13,وتجارت,بانك تجارت,9560,223671898,558716858615,2491,2430,2504,13,0.52,2498,7,0.28,2430,2560
14,خساپا,سايپا,9063,387466562,741051423140,1971,1912,1912,-59,-2.99,1913,-58,-2.94,1912,1936
15,امينح,ح . تامين سرمايه امين,8399,6251065,31015963410,4940,4990,4850,-90,-1.82,4960,20,0.4,4800,5100
