,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,29938,27186276,3567447664800,127970,127800,133280,5310,4.15,131220,3250,2.54,127800,133770
3,پالايش,صندوق پالايشي يکم-سهام,28845,34590750,2403191799370,67910,67790,70390,2480,3.65,69470,1560,2.3,67300,70630
4,خودرو,ايران‌ خودرو,19109,766152856,1549682894290,2080,2020,2030,-50,-2.4,2020,-60,-2.88,2020,2060
5,فملي,ملي‌ صنايع‌ مس‌ ايران‌,17295,107892341,1233399489360,10960,11000,11610,650,5.93,11430,470,4.29,11000,11610
6,بركت,گروه دارويي بركت,16430,34405059,1081632360570,30620,31090,31980,1360,4.44,31440,820,2.68,30620,32150
7,شستا,سرمايه گذاري تامين اجتماعي,15285,70973945,799137740240,10970,10750,11360,390,3.56,11260,290,2.64,10750,11600
8,شپنا,پالايش نفت اصفهان,13879,149208519,1592336684760,10990,10670,10670,-320,-2.91,10670,-320,-2.91,10670,10780
9,امينح,ح . تامين سرمايه امين,11587,8377339,36577172870,4070,3930,4550,480,11.79,4370,300,7.37,3930,4550
10,پترول,گروه پتروشيمي س. ايرانيان,9679,62343300,512096987920,8270,8030,8430,160,1.93,8210,-60,-0.73,8030,8500
11,شتران,پالايش نفت تهران,8820,100940400,870398308820,8880,8620,8640,-240,-2.7,8620,-260,-2.93,8620,8710
12,فولاد,فولاد مباركه اصفهان,8584,55383192,666961908120,11760,11710,12220,460,3.91,12040,280,2.38,11710,12300
13,وتجارت,بانك تجارت,8125,275359552,687706544520,2550,2490,2510,-40,-1.57,2500,-50,-1.96,2480,2570
14,وبصادر,بانك صادرات ايران,6108,231615778,495558956490,2190,2130,2170,-20,-0.91,2140,-50,-2.28,2130,2200
15,شگويا,پتروشيمي تندگويان,5598,28110592,238090488211,8083,8150,8567,484,5.99,8470,387,4.79,8111,8567
16,وكبهمن,مديريت سرمايه گذاري كوثربهمن,5101,3497159,35835050067,10233,9957,10441,208,2.03,10243,10,0.1,9950,10638
17,آريا,پليمر آريا ساسول,5078,1831281,154938435161,82231,80500,86360,4129,5.02,84607,2376,2.89,80500,86700
18,وبملت,بانك ملت,5048,120401953,499914173970,4110,4050,4200,90,2.19,4150,40,0.97,4050,4220
