,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,فتوسا,توليد و توسعه سرب روي ايرانيان,2410158,64999838,509728729596,1000,7842,7842,6842,684.2,7842,6842,684.2,7842,7842
3,فگستر,گسترش صنايع روي ايرانيان,22886,2446653,19286965599,7508,7883,7883,375,4.99,7883,375,4.99,7883,7883
4,پالايش,صندوق پالايشي يکم-سهام,22867,20362621,1408283934370,70540,70590,68870,-1670,-2.37,69160,-1380,-1.96,67680,71050
5,بركت,گروه دارويي بركت,19318,60126139,1571043588820,25480,26100,26610,1130,4.43,26130,650,2.55,25110,26630
6,دارا يكم,صندوق واسطه گري مالي يكم-سهام,18523,9760153,1210519641360,127970,127300,122930,-5040,-3.94,124030,-3940,-3.08,121660,127840
7,كزغال,زغال سنگ پروده طبس,14416,8450733,281325037344,33791,34800,32400,-1391,-4.12,33290,-501,-1.48,32170,34800
8,فملي,ملي‌ صنايع‌ مس‌ ايران‌,11629,81237713,1011871979340,12960,13000,12330,-630,-4.86,12460,-500,-3.86,12320,13000
9,امينح,ح . تامين سرمايه امين,11391,14110415,72486210283,5175,5050,5433,258,4.99,5137,-38,-0.73,4800,5440
10,ثاميد,توسعه و عمران اميد,9577,110502386,151229624402,1333,1370,1399,66,4.95,1369,36,2.7,1293,1399
11,اپال,فرآوري معدني اپال كاني پارس,9356,21321690,405637352090,18840,19000,19160,320,1.7,19020,180,0.96,18180,19440
12,شستا,سرمايه گذاري تامين اجتماعي,8848,33177607,341635585540,10560,10600,10350,-210,-1.99,10300,-260,-2.46,10160,10620
13,خودرو,ايران‌ خودرو,8795,261264767,480799799046,1919,1890,1824,-95,-4.95,1840,-79,-4.12,1824,1925
14,خساپا,سايپا,8200,293165973,510155345844,1821,1800,1730,-91,-5,1740,-81,-4.45,1730,1820
15,كرمان,س. توسعه و عمران استان كرمان,7992,269254642,267927765464,1005,980,1005,0,0,995,-10,-1,955,1030
16,بوعلي,پتروشيمي بوعلي سينا,7480,4273124,198149318920,47100,47700,44770,-2330,-4.95,46370,-730,-1.55,44750,48040
17,شتران,پالايش نفت تهران,7138,51151336,388068635440,7870,7890,7480,-390,-4.96,7590,-280,-3.56,7480,7950
18,ولپارس,ليزينگ پارسيان,6047,13433935,54610706162,4276,4063,4063,-213,-4.98,4065,-211,-4.93,4063,4160
19,وكبهمن,مديريت سرمايه گذاري كوثربهمن,6042,5202045,54558979384,10482,10770,10387,-95,-0.91,10488,6,0.06,10350,10770
20,وتجارت,بانك تجارت,6020,238430429,531990066536,2316,2230,2201,-115,-4.97,2231,-85,-3.67,2201,2275
21,وسپهر,سرمايه گذاري مالي سپهرصادرات,6008,13580462,123502973042,9093,9095,9095,2,0.02,9094,1,0.01,9094,9097
22,امين,تامين سرمايه امين,5704,3800437,27021451220,6990,7000,7280,290,4.15,7090,100,1.43,7000,7320
23,وبصادر,بانك صادرات ايران,4943,212875531,425342665999,2062,2010,1959,-103,-5,1998,-64,-3.1,1959,2030
24,ذوب,سهامي ذوب آهن  اصفهان,4369,98106472,301938106333,3223,3198,3062,-161,-5,3078,-145,-4.5,3062,3198
25,غگيلا,شيرپاستوريزه پگاه گيلان,4315,14049492,265535398800,13345,18900,18900,5555,41.63,18900,5555,41.63,18900,18900
26,پترول,گروه پتروشيمي س. ايرانيان,4040,24890346,214351795270,8810,8760,8400,-410,-4.65,8610,-200,-2.27,8370,8960
27,آبادا,توليد نيروي برق آبادان,3916,3279087,31715827250,10170,9670,9670,-500,-4.92,9670,-500,-4.92,9670,9820
28,امين يكم,صندوق درآمد ثابت امين يكم فردا,3835,442937724,4502593824029,10161,10168,10165,4,0.04,10165,4,0.04,10163,10172
29,شبندر,پالايش نفت بندرعباس,3825,16700717,349602703110,21600,21600,20520,-1080,-5,20930,-670,-3.1,20520,21940
30,شگويا,پتروشيمي تندگويان,3794,18431811,156480207173,8501,8451,8416,-85,-1,8490,-11,-0.13,8300,8671
31,وپارس,بانك‌پارسيان‌,3730,174120594,464914633550,2661,2669,2672,11,0.41,2670,9,0.34,2660,2697
32,پيزد,مجتمع صنايع لاستيك يزد,3486,263473,14988626450,56846,59003,56107,-739,-1.3,56889,43,0.08,54006,59003
33,وسبحان,سرمايه گذاري سبحان,3431,109826002,244555584400,2326,2210,2210,-116,-4.99,2227,-99,-4.26,2210,2324
34,ميدكو,هلدينگ صنايع  معدني خاورميانه,3431,20176083,795055852139,38098,38099,40000,1902,4.99,39406,1308,3.43,38093,40002
35,بگيلان,توسعه مسير برق گيلان,3276,937300,17863684735,19452,18610,18750,-702,-3.61,19238,-214,-1.1,18610,19500
36,وپاسار,بانك  پاسارگاد,3175,47128348,812055465360,17220,17220,17240,20,0.12,17230,10,0.06,17220,17250
37,سيتا,سرمايه گذاري سيمان تامين,3149,5487582,82318018560,15000,15000,15000,0,0,15000,0,0,15000,15010
38,بپيوند,برق و انرژي پيوندگستر پارس,3053,2871939,30362691182,10991,10670,10442,-549,-4.99,10572,-419,-3.81,10442,10858
39,آريا,پليمر آريا ساسول,3036,2219790,178675841977,80610,80610,80223,-387,-0.48,80492,-118,-0.15,78800,81900
40,وخارزم,سرمايه گذاري خوارزمي,2842,38559783,145046353651,3953,3811,3759,-194,-4.91,3762,-191,-4.83,3756,3910
41,كمند,صندوق س. با درآمد ثابت كمند,2730,637317867,6422505004271,10071,10077,10077,6,0.06,10077,6,0.06,10077,10079
42,ساوه,سيمان ساوه,2696,2675923,104769792534,50812,39989,38200,-12612,-24.82,39153,-11659,-22.95,37990,41900
43,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,2591,80817063,166364613557,2154,2100,2047,-107,-4.97,2059,-95,-4.41,2047,2130
44,حكشتي,كشتيراني جمهوري اسلامي ايران,2443,7776439,114069514270,15170,15100,14420,-750,-4.94,14670,-500,-3.3,14420,15370
45,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,2425,24976653,237499469440,9840,9580,9350,-490,-4.98,9510,-330,-3.35,9350,9870
46,حفاري,حفاري شمال,2162,13518512,78072731290,5830,5750,5820,-10,-0.17,5780,-50,-0.86,5590,6000
47,بترانس,ايران‌ ترانسفو,2148,53778753,127752976466,2489,2403,2365,-124,-4.98,2376,-113,-4.54,2365,2550
48,خبهمن,گروه‌بهمن‌,2111,83453200,98797006279,1239,1194,1178,-61,-4.92,1184,-55,-4.44,1178,1220
49,ولساپا,ليزينگ رايان‌ سايپا,2086,50120655,129758324173,2693,2620,2601,-92,-3.42,2589,-104,-3.86,2559,2699
50,فارس,صنايع پتروشيمي خليج فارس,2066,16972059,155044178910,9390,9440,8930,-460,-4.9,9140,-250,-2.66,8930,9500
51,فجر,فولاد اميركبيركاشان,1829,3667488,246824570030,67310,67000,67270,-40,-0.06,67300,-10,-0.01,65600,68460
52,بجهرم,توسعه مولد نيروگاهي جهرم,1729,26677831,54345743647,2131,2135,2060,-71,-3.33,2037,-94,-4.41,2025,2135
53,غگل,گلوكوزان‌,1721,35528949,84640993524,2503,2380,2414,-89,-3.56,2382,-121,-4.83,2378,2450
54,وپست,پست بانك ايران,1717,13461122,277997322160,21400,21570,20330,-1070,-5,20650,-750,-3.5,20330,22000
55,ومعادن,توسعه‌معادن‌وفلزات‌,1703,14024584,114122035940,8370,8330,8030,-340,-4.06,8160,-210,-2.51,7960,8510
56,وبانك,سرمايه گذاري گروه توسعه ملي,1681,11140644,75933488590,6970,6900,6800,-170,-2.44,6820,-150,-2.15,6700,7000
57,سرو,صندوق س سروسودمند مدبران-سهام,1654,1343965,80907634940,62190,61000,60000,-2190,-3.52,60200,-1990,-3.2,59820,61490
58,شصدف,صنعتي دوده فام,1652,3538887,116012452227,32128,33734,30522,-1606,-5,32782,654,2.04,30522,33734
59,صبا,سرمايه گذاري صبا تامين,1636,3582422,25851394793,7447,7422,7230,-217,-2.91,7395,-52,-0.7,7133,7422
60,ونوين,بانك‌اقتصادنوين‌,1605,45374584,179701330376,4146,4120,3940,-206,-4.97,3960,-186,-4.49,3939,4120
61,افران,صندوق س افرا نماد پايدار-ثابت,1529,57625866,768917376486,13342,13344,13344,2,0.01,13343,1,0.01,13342,13350
62,آريان,سرمايه گذاري پارس آريان,1491,17734889,193608729634,10887,10990,10745,-142,-1.3,10917,30,0.28,10571,11087
63,فخوز,فولاد  خوزستان,1418,11617468,171924352740,15120,15120,14640,-480,-3.17,14800,-320,-2.12,14600,15350
64,كچاد,معدني‌وصنعتي‌چادرملو,1417,5293126,119998347930,23020,23010,22550,-470,-2.04,22700,-320,-1.39,22340,23020
65,كيان,صندوق س. با درآمد ثابت كيان,1403,7205714,205296521990,28465,28490,28516,51,0.18,28491,26,0.09,28480,28524
66,شپنا,پالايش نفت اصفهان,1380,12834013,127698429350,10470,9950,9950,-520,-4.97,9950,-520,-4.97,9950,9950
67,ومعادنح,ح . توسعه‌معادن‌وفلزات‌,1375,7441118,45033772910,6270,6180,5980,-290,-4.63,6050,-220,-3.51,5900,6380
68,جوين,كشت و صنعت جوين,1368,14831728,71214004566,4671,4811,4811,140,3,4801,130,2.78,4685,4811
69,نوري,پتروشيمي نوري,1367,1326715,78850126880,60720,59000,59000,-1720,-2.83,59710,-1010,-1.66,58710,61000
70,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,1341,18875690,689236901280,36479,36498,36520,41,0.11,36515,36,0.1,36497,36531
71,هرمز,فولاد هرمزگان جنوب,1326,13134481,207454642447,15782,15600,15551,-231,-1.46,15795,13,0.08,15551,15941
72,اخابر,مخابرات ايران,1324,12338998,91844028340,7720,7670,7340,-380,-4.92,7470,-250,-3.24,7340,7750
73,كفرا,فراورده‌ هاي‌ نسوزايران‌,1314,2312937,54462847470,45860,24500,23280,-22580,-49.24,23550,-22310,-48.65,23280,24500
74,شيران,س. صنايع‌شيميايي‌ايران,1309,7925996,161016257710,21260,21190,20200,-1060,-4.99,20310,-950,-4.47,20200,21260
75,ماديرا,صنايع ماشين هاي اداري ايران,1302,11812435,82530767661,7254,7123,6892,-362,-4.99,6987,-267,-3.68,6892,7200
