,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,32817,31306160,2553721022480,81440,80500,81300,-140,-0.17,81570,130,0.16,79090,83430
3,شپنا,پالايش نفت اصفهان,25980,162908660,2288555785720,14140,13860,13900,-240,-1.7,14050,-90,-0.64,13860,14570
4,شستا,سرمايه گذاري تامين اجتماعي,24807,83528311,961348742900,11440,11520,11440,0,0,11510,70,0.61,11220,11770
5,سپيدار,سپيدار سيستم آسيا,22322,2070784,133043763409,65403,64510,65340,-63,-0.1,64248,-1155,-1.77,64095,65960
6,شتران,پالايش نفت تهران,21418,179232061,1842881877510,10050,9900,10330,280,2.79,10280,230,2.29,9850,10590
7,دارا يكم,صندوق واسطه گري مالي يكم-سهام,18461,10645997,1545689341020,145340,144100,143980,-1360,-0.94,145190,-150,-0.1,143220,147250
8,اپال,فرآوري معدني اپال كاني پارس,16782,24209820,438341590800,17380,17450,18240,860,4.95,18110,730,4.2,17450,18290
9,زملارد,كشاورزي و دامپروري ملارد شير,16269,4503175,177657700682,37711,38420,39973,2262,6,39452,1741,4.62,36960,39973
10,فملي,ملي‌ صنايع‌ مس‌ ايران‌,14067,56622241,738306083250,13230,12990,13010,-220,-1.66,13040,-190,-1.44,12970,13400
11,فولاد,فولاد مباركه اصفهان,11833,55662597,777505009350,13800,13640,13930,130,0.94,13970,170,1.23,13600,14300
12,شاروم,پتروشيمي اروميه,11744,9683276,189755746177,18785,18800,19912,1127,6,19596,811,4.32,18630,19912
13,بترانس,ايران‌ ترانسفو,10931,225573094,710133889920,3000,3040,3120,120,4,3150,150,5,3000,3180
14,رافزا,رايان هم افزا,10005,2697068,276222360001,96991,102810,102810,5819,6,102416,5425,5.59,97000,102810
15,خساپا,سايپا,9664,357589439,875005528720,2480,2470,2440,-40,-1.61,2450,-30,-1.21,2440,2480
16,بوعلي,پتروشيمي بوعلي سينا,9512,3200895,143455628430,44680,44500,45300,620,1.39,44820,140,0.31,43800,45550
