,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,35706,52503522,3426678239500,64000,64000,66200,2200,3.44,65270,1270,1.98,63410,66630
3,فگستر,گسترش صنايع روي ايرانيان,28508,2090236,18260301696,8320,8736,8736,416,5,8736,416,5,8736,8736
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,21137,16481844,1854926161970,113040,110200,113600,560,0.5,112540,-500,-0.44,109510,114110
5,شپنا,پالايش نفت اصفهان,17661,138236910,1252115273690,9020,8770,9200,180,2,9060,40,0.44,8610,9430
6,فتوسا,توليد و توسعه سرب روي ايرانيان,16878,2052858,18596840622,8628,9059,9059,431,5,9059,431,5,9059,9059
7,كارين2,صندوق س نگين سامان-ثابت,12990,129900000,129900000,10016,1,1,-10015,-99.99,1,-10015,-99.99,1,1
8,كزغال,زغال سنگ پروده طبس,12724,6980723,213031750635,30255,30000,30351,96,0.32,30517,262,0.87,29810,31400
9,شتران,پالايش نفت تهران,11866,162034161,1156790463400,6890,6740,7230,340,4.93,7140,250,3.63,6650,7230
10,فملي,ملي‌ صنايع‌ مس‌ ايران‌,11234,58126298,661274072180,11450,11220,11450,0,0,11380,-70,-0.61,11050,11640
11,ولپارس,ليزينگ پارسيان,10356,6791532,25517640811,3676,3493,3859,183,4.98,3757,81,2.2,3493,3859
12,شستا,سرمايه گذاري تامين اجتماعي,9759,33399412,317789935310,9500,9210,9620,120,1.26,9510,10,0.11,9210,9780
13,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,8263,436742145,777335396602,1860,1767,1796,-64,-3.44,1780,-80,-4.3,1767,1839
14,امينح,ح . تامين سرمايه امين,7808,4595992,23018436477,4997,4910,5021,24,0.48,5008,11,0.22,4910,5050
15,ثاميد,توسعه و عمران اميد,7374,53488672,72923460750,1345,1330,1363,18,1.34,1363,18,1.34,1310,1395
16,اپال,فرآوري معدني اپال كاني پارس,7351,5980013,110033479070,18130,18050,18460,330,1.82,18390,260,1.43,18050,18710
17,كرمان,س. توسعه و عمران استان كرمان,7194,265617907,243631358265,956,915,909,-47,-4.92,917,-39,-4.08,909,947
18,بركت,گروه دارويي بركت,7179,31638723,727504047250,24170,22970,22970,-1200,-4.96,22990,-1180,-4.88,22970,23500
19,وبصادر,بانك صادرات ايران,6892,318272551,547579857099,1807,1717,1740,-67,-3.71,1720,-87,-4.81,1717,1744
20,شبندر,پالايش نفت بندرعباس,6890,32071727,609918539710,19040,18290,19230,190,1,19020,-20,-0.11,18130,19700
21,بوعلي,پتروشيمي بوعلي سينا,6264,1955960,88163243970,44850,43250,44590,-260,-0.58,45070,220,0.49,43250,46000
22,وكبهمن,مديريت سرمايه گذاري كوثربهمن,6089,2769255,28486735008,10072,9840,10190,118,1.17,10287,215,2.13,9840,10499
23,وسپهر,سرمايه گذاري مالي سپهرصادرات,5935,16019219,145688056340,9094,9094,9230,136,1.5,9095,1,0.01,9094,9230
24,وبملت,بانك ملت,5887,295107467,1138970064664,4853,3870,3850,-1003,-20.67,3860,-993,-20.46,3800,3900
25,امين,تامين سرمايه امين,5454,6187127,43935954470,7090,7100,7100,10,0.14,7100,10,0.14,7100,7120
26,ذوب,سهامي ذوب آهن  اصفهان,4984,85126537,239710973808,2794,2794,2842,48,1.72,2816,22,0.79,2725,2880
27,آريا,پليمر آريا ساسول,4943,1592101,117543528244,73364,75000,74250,886,1.21,73829,465,0.63,73001,75000
28,آبادا,توليد نيروي برق آبادان,4694,1871373,16124159750,9000,8570,8560,-440,-4.89,8620,-380,-4.22,8550,8860
29,خبهمن,گروه‌بهمن‌,4516,154623257,163644292069,1072,1027,1072,0,0,1058,-14,-1.31,1023,1090
30,ساوه,سيمان ساوه,4267,3396678,137876747360,42105,42920,41000,-1105,-2.62,40592,-1513,-3.59,40000,43180
31,شگويا,پتروشيمي تندگويان,4263,21601304,179888740143,8178,8170,8370,192,2.35,8328,150,1.83,8116,8499
32,كمند,صندوق س. با درآمد ثابت كمند,4228,174600873,1764357923944,10100,10105,10106,6,0.06,10105,5,0.05,10104,10107
33,پترول,گروه پتروشيمي س. ايرانيان,4023,26853527,216024809330,8020,7850,8110,90,1.12,8040,20,0.25,7810,8190
34,حكشتي,كشتيراني جمهوري اسلامي ايران,4006,24298283,326799314630,14090,13390,13390,-700,-4.97,13450,-640,-4.54,13390,13990
35,سيتا,سرمايه گذاري سيمان تامين,3967,6719240,100789740080,15000,15000,15000,0,0,15000,0,0,15000,15010
36,بپيوند,برق و انرژي پيوندگستر پارس,3861,3314789,31134697297,9595,9500,9501,-94,-0.98,9393,-202,-2.11,9121,9680
37,امين يكم,صندوق درآمد ثابت امين يكم فردا,3515,107690812,1080164474241,10027,10033,10033,6,0.06,10030,3,0.03,10028,10033
38,وتوصا,گروه س توسعه صنعتي ايران,3074,24941780,190808586030,7870,7480,7850,-20,-0.25,7650,-220,-2.8,7480,8210
39,وتجارت,بانك تجارت,2894,116258319,222892729440,2017,1917,1917,-100,-4.96,1917,-100,-4.96,1917,1950
40,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,2805,19490170,178217212720,8980,8790,9200,220,2.45,9140,160,1.78,8790,9330
41,غگل,گلوكوزان‌,2687,42493376,95851743715,2192,2170,2301,109,4.97,2256,64,2.92,2114,2301
42,وپارس,بانك‌پارسيان‌,2644,99562245,269130363578,2697,2701,2702,5,0.19,2703,6,0.22,2693,2720
43,فارس,صنايع پتروشيمي خليج فارس,2528,20482903,173358274980,8510,8320,8440,-70,-0.82,8460,-50,-0.59,8230,8650
44,وخارزم,سرمايه گذاري خوارزمي,2488,31259274,105380163508,3430,3310,3410,-20,-0.58,3371,-59,-1.72,3283,3420
45,تسه0002,امتيازتسهيلاتمسكن ارديبهشت1400,2414,49088,26435724197,543970,549000,541000,-2970,-0.55,538537,-5433,-1,521126,555000
46,فروس,فروسيليس‌ ايران‌,2318,39464598,169590644313,4464,4241,4402,-62,-1.39,4297,-167,-3.74,4241,4570
47,ولساپا,ليزينگ رايان‌ سايپا,2244,35749762,93885831949,2582,2610,2602,20,0.77,2626,44,1.7,2524,2701
48,شبريز,پالايش نفت تبريز,2163,4956196,113266713540,23100,21960,23030,-70,-0.3,22850,-250,-1.08,21950,24000
49,غپينو,پارس‌ مينو,2116,61516432,350777723730,5910,5900,5620,-290,-4.91,5700,-210,-3.55,5620,5930
50,صبا,سرمايه گذاري صبا تامين,2051,5197714,35426715375,7009,6670,6870,-139,-1.98,6947,-62,-0.88,6670,6990
51,خودرو,ايران‌ خودرو,2044,75980956,124260731362,1674,1610,1650,-24,-1.43,1635,-39,-2.33,1605,1671
52,خفنر,فنرسازي‌خاور,1913,26719602,106121904960,8660,4000,3980,-4680,-54.04,3970,-4690,-54.16,3800,4200
53,اخابر,مخابرات ايران,1872,18250834,128977381960,7070,6800,7200,130,1.84,7070,0,0,6800,7350
54,كيان,صندوق س. با درآمد ثابت كيان,1811,20933577,597632706333,28533,28548,28552,19,0.07,28549,16,0.06,28547,28552
55,پيزد,مجتمع صنايع لاستيك يزد,1742,372117,19025843909,53790,51101,51101,-2689,-5,51129,-2661,-4.95,51101,52330
56,افران,صندوق س افرا نماد پايدار-ثابت,1722,70312863,940511529473,13366,13371,13377,11,0.08,13376,10,0.07,13371,13377
57,خساپا,سايپا,1652,82877604,124671507224,1579,1501,1510,-69,-4.37,1504,-75,-4.75,1501,1528
58,سپيدما,صندوق س. سپيد دماوند-د,1637,90896636,943505614196,10374,10382,10380,6,0.06,10380,6,0.06,10379,10384
59,وبانك,سرمايه گذاري گروه توسعه ملي,1628,12330826,80492622710,6460,6330,6580,120,1.86,6530,70,1.08,6320,6640
60,دكوثر,داروسازي‌ كوثر,1621,18445151,72794293770,6560,4080,3990,-2570,-39.18,3950,-2610,-39.79,3880,4090
61,سرو,صندوق س سروسودمند مدبران-سهام,1621,1889928,105146587530,56030,55450,56060,30,0.05,55640,-390,-0.7,54360,56800
62,فخوز,فولاد  خوزستان,1602,8268791,116598099800,13990,13820,14060,70,0.5,14100,110,0.79,13820,14410
63,فباهنرح,ح . مس‌ شهيدباهنر,1602,8190195,97338460480,12110,11600,12000,-110,-0.91,11880,-230,-1.9,11420,12500
64,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,1590,21396330,782823407350,36571,36586,36589,18,0.05,36587,16,0.04,36585,36590
65,شپلي,پلي اكريل ايران,1573,23924692,216914935512,8890,9067,9067,177,1.99,9067,177,1.99,9000,9067
66,شپترو,پتروشيمي آبادان,1562,27535178,108445831339,4116,3911,3945,-171,-4.15,3938,-178,-4.32,3911,4140
67,ساروم,سيمان‌اروميه‌,1540,6134428,151458748020,35420,25200,24720,-10700,-30.21,24690,-10730,-30.29,23940,26460
68,سيدكو,سرمايه گذاري توسعه صنايع سيمان,1523,17346361,104141397240,5800,5980,5900,100,1.72,6000,200,3.45,5820,6090
69,حفاري,حفاري شمال,1502,12544716,63563390390,5290,5050,5040,-250,-4.73,5070,-220,-4.16,5030,5250
70,وسبحان,سرمايه گذاري سبحان,1475,23405725,52019091329,2197,2155,2226,29,1.32,2222,25,1.14,2150,2272
71,بجهرم,توسعه مولد نيروگاهي جهرم,1453,18133203,33609320530,1853,1775,1890,37,2,1853,0,0,1775,1900
72,نوري,پتروشيمي نوري,1452,1555899,87834723220,56480,54980,56420,-60,-0.11,56450,-30,-0.05,54980,57200
73,كارين,صندوق س نگين سامان-ثابت,1397,66342813,664687072902,10016,10022,10019,3,0.03,10019,3,0.03,10017,10029
74,غسالم,سالمين‌,1397,25192202,73934040808,2944,2797,3091,147,4.99,2935,-9,-0.31,2797,3091
75,ونوين,بانك‌اقتصادنوين‌,1366,22365800,82032652984,3681,3650,3665,-16,-0.43,3668,-13,-0.35,3587,3750
76,فاسمين,كالسيمين‌,1358,5049340,62362004560,12230,11700,12410,180,1.47,12350,120,0.98,11700,12620
77,ساراب,سيمان‌ داراب‌,1305,4180891,84654973200,19370,20010,20330,960,4.96,20250,880,4.54,20000,20330
78,كچاد,معدني‌وصنعتي‌چادرملو,1290,4880736,106755771100,21760,20830,21970,210,0.97,21860,100,0.46,20830,22500
79,وساپا,سرمايه‌گذاري‌ سايپا,1281,12302190,49630686933,4029,3890,4066,37,0.92,4034,5,0.12,3890,4130
80,ومعادنح,ح . توسعه‌معادن‌وفلزات‌,1262,9414722,51346724620,5450,5260,5450,0,0,5450,0,0,5260,5700
81,آگاس,صندوق س.هستي بخش آگاه-س,1247,1246533,74470981840,59963,58810,60150,187,0.31,59742,-221,-0.37,58800,60700
82,سفارس,سيمان فارس و خوزستان,1242,4534039,64770498060,14090,14520,14320,230,1.63,14290,200,1.42,14030,14570
83,ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,1202,11432491,46181388646,4054,3910,4070,16,0.39,4039,-15,-0.37,3910,4141
84,پارند,صندوق س. پارند پايدار سپهر,1201,45891487,517204669371,11264,11275,11275,11,0.1,11270,6,0.05,11269,11275
85,وپست,پست بانك ايران,1187,4758141,89431522640,18660,17760,19090,430,2.3,18800,140,0.75,17730,19590
86,سهگمت,سيمان‌هگمتان‌,1173,3927783,71183452710,18950,18020,18030,-920,-4.85,18120,-830,-4.38,18010,18800
87,ومعادن,توسعه‌معادن‌وفلزات‌,1169,11689886,87878906210,7590,7310,7570,-20,-0.26,7530,-60,-0.79,7310,7680
88,وسينا,بانك سينا,1164,29401310,64291255524,2187,2078,2216,29,1.33,2187,0,0,2078,2281
89,گشان,توسعه بين المللي پديده شانديز,1147,4447801,97258287765,22764,21854,21854,-910,-4,21867,-897,-3.94,21854,22300
90,شغدير,پتروشيمي غدير,1106,2784752,179797283890,62250,61560,65360,3110,5,64560,2310,3.71,61560,65360
91,غمارگ,مارگارين‌,1087,7631062,134638928040,18500,17580,17870,-630,-3.41,17640,-860,-4.65,17580,18460
92,سشرق,سيمان‌ شرق‌,1039,9641222,48502247550,5000,5060,5100,100,2,5030,30,0.6,4810,5140
93,وملل,اعتباري ملل,991,39787793,497355988113,12499,12500,12500,1,0.01,12500,1,0.01,12500,12524
94,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,990,7000006,67137892470,9760,9300,9590,-170,-1.74,9660,-100,-1.02,9300,9800
95,كاوه,فولاد كاوه جنوب كيش,985,4972932,85207703810,17410,17040,17000,-410,-2.35,17150,-260,-1.49,16690,17970
96,وخارزمح,ح.سرمايه گذاري خوارزمي,964,5571030,12093455725,2210,2060,2192,-18,-0.81,2171,-39,-1.76,2060,2240
97,شيران,س. صنايع‌شيميايي‌ايران,964,3418993,61952086080,18470,17700,18150,-320,-1.73,18160,-310,-1.68,17700,18850
98,خكرمان,گروه اقتصادي كرمان خودرو,948,21514676,62184459672,3038,2887,2888,-150,-4.94,2890,-148,-4.87,2887,2990
99,شفن,پتروشيمي فناوران,905,233406,63886126890,282330,271500,276000,-6330,-2.24,276270,-6060,-2.15,268230,282000
100,شپديس,پتروشيمي پرديس,894,753282,69467228840,92620,91570,91640,-980,-1.06,92330,-290,-0.31,91410,93990
101,خصدرا,صنعتي‌ دريايي‌ ايران‌,880,34639297,71859104802,2137,2073,2073,-64,-2.99,2074,-63,-2.95,2073,2100
102,وشهر,بانك شهر,877,11984986,60148803881,4992,5000,5049,57,1.14,5019,27,0.54,4995,5179
103,شاراك,پتروشيمي شازند,871,3779726,93273220360,24970,24810,24400,-570,-2.28,24680,-290,-1.16,24110,25000
104,فباهنر,مس‌ شهيدباهنر,867,2135306,41210100090,20160,19160,19270,-890,-4.41,19300,-860,-4.27,19160,19990
105,زاگرس,پتروشيمي زاگرس,844,305441,60071682231,194710,191999,197899,3189,1.64,195931,1221,0.63,188500,204445
106,آسيا,بيمه آسيا,825,14791454,24320877290,1655,1590,1643,-12,-0.73,1644,-11,-0.66,1581,1693
107,ما,بيمه  ما,818,7274738,65925706940,9100,9100,8950,-150,-1.65,9060,-40,-0.44,8820,9200
108,تسه0001,امتيازتسهيلات مسكن فروردين1400,818,12916,7047915539,570958,543452,542411,-28547,-5,545673,-25285,-4.43,542411,599505
109,سصوفي,سيمان‌ صوفيان‌,806,4077784,46320482780,11460,11800,11230,-230,-2.01,11360,-100,-0.87,11210,11800
110,تنوين,تامين سرمايه نوين,796,21105893,155676182020,7390,7400,7300,-90,-1.22,7380,-10,-0.14,7200,7480
