,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,بركت,گروه دارويي بركت,35684,104051185,3458160292380,33420,34400,33420,0,0,33240,-180,-0.54,32760,34800
3,پالايش,صندوق پالايشي يکم-سهام,29347,18803491,1459103809670,80340,78500,77130,-3210,-4,77600,-2740,-3.41,77130,79000
4,اپال,فرآوري معدني اپال كاني پارس,13574,30469538,547976150100,18200,18280,18000,-200,-1.1,17980,-220,-1.21,17840,18490
5,شستا,سرمايه گذاري تامين اجتماعي,12782,50815394,563928443510,11310,11110,11090,-220,-1.95,11100,-210,-1.86,11090,11300
6,دارا يكم,صندوق واسطه گري مالي يكم-سهام,12688,6234369,844205417340,140690,137620,135070,-5620,-3.99,135410,-5280,-3.75,135070,137900
7,فاراك,ماشين‌ سازي‌ اراك‌,10726,207903912,558461914120,2560,2710,2640,80,3.13,2690,130,5.08,2570,2710
8,گشان,توسعه بين المللي پديده شانديز,9704,20199388,630537945631,31229,31210,30605,-624,-2,31216,-13,-0.04,30605,31853
9,حكشتي,كشتيراني جمهوري اسلامي ايران,9331,31559526,623240352710,19460,19160,19700,240,1.23,19750,290,1.49,19080,20350
10,سمايه,بانك سرمايه,8854,61563616,361190503509,5870,5753,5999,129,2.2,5867,-3,-0.05,5753,6040
11,خصدرا,صنعتي‌ دريايي‌ ايران‌,6283,151283630,510333703035,3363,3463,3296,-67,-1.99,3373,10,0.3,3296,3463
12,امين,تامين سرمايه امين,5774,3928587,27483676810,7060,6990,6990,-70,-0.99,7020,-40,-0.57,6990,7050
13,شلعاب,لعابيران‌,5697,13171975,303635816750,22750,22300,22630,-120,-0.53,23050,300,1.32,22300,24100
14,سيتا,سرمايه گذاري سيمان تامين,5009,6109747,91748203560,15060,15040,15020,-40,-0.27,15020,-40,-0.27,15010,15050
15,رافزا,رايان هم افزا,4660,463315,51892206630,105663,112002,112002,6339,6,111870,6207,5.87,112002,112002
