,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,فگستر,گسترش صنايع روي ايرانيان,88314,14155677,129835869444,8736,9172,9172,436,4.99,9172,436,4.99,9172,9172
3,پالايش,صندوق پالايشي يکم-سهام,32784,45392443,3057812126360,65270,66550,67350,2080,3.19,67360,2090,3.2,65500,68400
4,فتوسا,توليد و توسعه سرب روي ايرانيان,30001,2031211,19318847821,9059,9511,9511,452,4.99,9511,452,4.99,9511,9511
5,دارا يكم,صندوق واسطه گري مالي يكم-سهام,19142,14638230,1703559715690,112540,114500,116190,3650,3.24,116380,3840,3.41,114000,118050
6,وبملت,بانك ملت,17637,489590257,1877642399416,3860,3785,3870,10,0.26,3835,-25,-0.65,3740,3950
7,اپال,فرآوري معدني اپال كاني پارس,17307,8719108,160965069270,18390,18420,18470,80,0.44,18460,70,0.38,18300,18720
8,بركت,گروه دارويي بركت,16412,48695529,1131732881040,22990,22500,23090,100,0.43,23240,250,1.09,22200,24050
9,شپنا,پالايش نفت اصفهان,13626,140374280,1331759164200,9060,9200,9510,450,4.97,9490,430,4.75,9190,9510
10,ثاميد,توسعه و عمران اميد,11644,95891994,134561287154,1363,1342,1431,68,4.99,1403,40,2.93,1342,1431
11,امينح,ح . تامين سرمايه امين,11389,5201095,26094312550,5008,4947,5020,12,0.24,5017,9,0.18,4931,5050
12,فملي,ملي‌ صنايع‌ مس‌ ايران‌,10783,52206778,615334197860,11380,11590,11740,360,3.16,11790,410,3.6,11250,11940
13,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,10761,404751903,754194534023,1780,1825,1869,89,5,1863,83,4.66,1810,1869
14,بوعلي,پتروشيمي بوعلي سينا,10569,2213782,100360040460,45070,44000,44710,-360,-0.8,45330,260,0.58,44000,46280
15,وتجارت,بانك تجارت,10228,320922755,604955618986,1917,1822,1889,-28,-1.46,1885,-32,-1.67,1822,1970
16,شتران,پالايش نفت تهران,9968,128281427,950079926130,7140,7300,7390,250,3.5,7410,270,3.78,7210,7490
17,وسپهر,سرمايه گذاري مالي سپهرصادرات,9855,12563963,114258611076,9095,9095,9094,-1,-0.01,9094,-1,-0.01,9094,9100
18,شستا,سرمايه گذاري تامين اجتماعي,9485,26366242,256473701350,9510,9520,9720,210,2.21,9730,220,2.31,9520,9870
19,وكبهمن,مديريت سرمايه گذاري كوثربهمن,9278,4939150,51310275117,10287,10287,10500,213,2.07,10388,101,0.98,10200,10570
20,ولپارس,ليزينگ پارسيان,9244,3407036,13437349984,3757,3944,3944,187,4.98,3930,173,4.6,3944,3944
21,وپاسار,بانك  پاسارگاد,9139,124935469,1957458532760,16420,15600,15700,-720,-4.38,15670,-750,-4.57,15600,15890
22,كارين2,صندوق س نگين سامان-ثابت,8490,84900000,84900000,10019,1,1,-10018,-99.99,1,-10018,-99.99,1,1
23,آبادا,توليد نيروي برق آبادان,8392,2190777,19639331090,8620,8310,9050,430,4.99,8960,340,3.94,8310,9050
24,خزاميا,زامياد,8295,100582785,621807373380,6420,6100,6100,-320,-4.98,6180,-240,-3.74,6100,6450
25,كرمان,س. توسعه و عمران استان كرمان,7398,239011087,218691570124,917,891,906,-11,-1.2,915,-2,-0.22,891,942
26,امين,تامين سرمايه امين,7391,5859365,41669139710,7100,7100,7100,0,0,7110,10,0.14,7100,7390
27,بپيوند,برق و انرژي پيوندگستر پارس,7279,5476307,53146910940,9393,9499,9862,469,4.99,9705,312,3.32,9311,9862
28,فولاد,فولاد مباركه اصفهان,7232,65478842,582914427500,8870,9000,8880,10,0.11,8900,30,0.34,8790,9000
29,سيتا,سرمايه گذاري سيمان تامين,7192,13767570,206525007390,15000,15000,15000,0,0,15000,0,0,15000,15040
30,بگيلان,توسعه مسير برق گيلان,6805,1830670,33095994746,18819,17879,17942,-877,-4.66,18079,-740,-3.93,17879,18610
31,شبندر,پالايش نفت بندرعباس,5862,22871852,454005525390,19020,19140,19970,950,4.99,19850,830,4.36,19140,19970
32,آريا,پليمر آريا ساسول,5352,2265245,173204039916,73829,74000,76800,2971,4.02,76462,2633,3.57,74000,77500
33,ذوب,سهامي ذوب آهن  اصفهان,5216,120896258,356441668664,2816,2821,2956,140,4.97,2948,132,4.69,2821,2956
34,وبصادر,بانك صادرات ايران,5139,123366761,215487344426,1720,1712,1746,26,1.51,1747,27,1.57,1712,1779
35,غگرجي,بيسكويت‌  گرجي‌,4883,20453406,242732259390,12330,11720,11820,-510,-4.14,11870,-460,-3.73,11720,12240
36,پترول,گروه پتروشيمي س. ايرانيان,4687,29632011,247747040490,8040,8110,8350,310,3.86,8360,320,3.98,8050,8440
37,گشان,توسعه بين المللي پديده شانديز,4597,8600063,185137236401,21867,21431,21799,-68,-0.31,21527,-340,-1.55,21430,22000
38,خبهمن,گروه‌بهمن‌,4571,273895037,303505895350,1058,1090,1109,51,4.82,1108,50,4.73,1071,1110
39,حكشتي,كشتيراني جمهوري اسلامي ايران,4406,12387744,166823081420,13450,13430,13190,-260,-1.93,13470,20,0.15,13130,13870
40,پيزد,مجتمع صنايع لاستيك يزد,4260,329405,16431483868,51129,48934,49799,-1330,-2.6,49882,-1247,-2.44,48573,51685
41,بترانس,ايران‌ ترانسفو,4128,80664474,172603767672,2218,2108,2136,-82,-3.7,2140,-78,-3.52,2108,2280
42,كمند,صندوق س. با درآمد ثابت كمند,3911,151150143,1528222331119,10105,10111,10112,7,0.07,10111,6,0.06,10110,10113
43,شگويا,پتروشيمي تندگويان,3760,21459356,184134133719,8328,8340,8620,292,3.51,8581,253,3.04,8340,8690
44,ساوه,سيمان ساوه,3729,1239521,50266927463,40592,39300,39781,-811,-2,40554,-38,-0.09,39300,41900
45,سدور,سيمان‌ دورود,3428,38773298,309830551660,11450,8000,8400,-3050,-26.64,7990,-3460,-30.22,7600,8400
