,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,شستا,سرمايه گذاري تامين اجتماعي,36379,191383929,2270894694910,11540,11750,11700,160,1.39,11870,330,2.86,11550,12200
3,پالايش,صندوق پالايشي يکم-سهام,35647,40298141,3004268659330,75840,76000,73100,-2740,-3.61,74550,-1290,-1.7,73090,76000
4,بركت,گروه دارويي بركت,33220,77474157,2587784857620,32630,33900,32850,220,0.67,33400,770,2.36,32290,34450
5,دارا يكم,صندوق واسطه گري مالي يكم-سهام,23862,17416554,2293821497350,134020,133800,129100,-4920,-3.67,131700,-2320,-1.73,129000,134000
6,فولاد,فولاد مباركه اصفهان,13957,106404742,1377891123040,12980,13030,12770,-210,-1.62,12950,-30,-0.23,12730,13170
7,فملي,ملي‌ صنايع‌ مس‌ ايران‌,12251,71801646,832753361940,11730,11740,11500,-230,-1.96,11600,-130,-1.11,11500,11960
8,شپنا,پالايش نفت اصفهان,12179,98055921,1208955692660,12520,12520,12270,-250,-2,12330,-190,-1.52,12270,12580
9,خودرو,ايران‌ خودرو,11259,350945824,816427469900,2360,2350,2320,-40,-1.69,2330,-30,-1.27,2320,2370
10,خساپا,سايپا,10647,443747364,977837554780,2240,2230,2200,-40,-1.79,2200,-40,-1.79,2200,2250
11,وتجارت,بانك تجارت,9617,330414483,872024529080,2670,2670,2620,-50,-1.87,2640,-30,-1.12,2620,2710
12,اپال,فرآوري معدني اپال كاني پارس,7926,7952057,137381574750,17470,17700,17200,-270,-1.55,17280,-190,-1.09,17150,17700
13,آريا,پليمر آريا ساسول,7034,2458021,219288478802,88482,89620,88401,-81,-0.09,89213,731,0.83,86813,91260
14,شتران,پالايش نفت تهران,6779,63081459,611775403440,9870,9850,9680,-190,-1.93,9700,-170,-1.72,9680,9900
15,وكبهمن,مديريت سرمايه گذاري كوثربهمن,6499,3326960,36473836640,11164,11105,10941,-223,-2,11012,-152,-1.36,10941,11110
16,وبملت,بانك ملت,6265,167273005,676036797180,4030,4030,4040,10,0.25,4040,10,0.25,3970,4140
17,وبصادر,بانك صادرات ايران,5466,209795456,494781160200,2390,2380,2350,-40,-1.67,2360,-30,-1.26,2350,2420
18,سيتا,سرمايه گذاري سيمان تامين,5068,7763549,116464104840,15030,15000,15000,-30,-0.2,15000,-30,-0.2,15000,15020
19,بوعلي,پتروشيمي بوعلي سينا,5001,2373020,101936160780,43790,43790,42920,-870,-1.99,42960,-830,-1.9,42920,43790
20,دماوند,توليد نيروي برق دماوند,4819,7062982,326284174517,45749,44835,46500,751,1.64,46196,447,0.98,44835,48070
21,فارس,صنايع پتروشيمي خليج فارس,4739,28314883,269153415580,9480,9520,9300,-180,-1.9,9510,30,0.32,9300,9660
22,ذوب,سهامي ذوب آهن  اصفهان,4461,61985096,234019593146,3836,3820,3760,-76,-1.98,3775,-61,-1.59,3760,3880
23,فخوز,فولاد  خوزستان,4279,27396514,410324595150,14810,15000,14870,60,0.41,14980,170,1.15,14730,15420
24,پترول,گروه پتروشيمي س. ايرانيان,4189,21156599,199516855730,9610,9440,9420,-190,-1.98,9430,-180,-1.87,9420,9610
25,نوري,پتروشيمي نوري,3820,4267276,268742444200,62650,63260,62020,-630,-1.01,62980,330,0.53,61500,64810
26,بگيلان,توسعه مسير برق گيلان,3702,774802,16646623497,21827,21421,21400,-427,-1.96,21712,-115,-0.53,21400,22040
27,غپاك,لبنيات‌ پاك‌,3550,10080885,320064573950,31630,31000,31920,290,0.92,31750,120,0.38,31000,32380
28,وپارس,بانك‌پارسيان‌,3545,122386035,330050155600,2730,2720,2680,-50,-1.83,2700,-30,-1.1,2680,2760
29,شگويا,پتروشيمي تندگويان,3413,16845211,156595732785,9445,9500,9257,-188,-1.99,9296,-149,-1.58,9257,9500
30,پيزد,مجتمع صنايع لاستيك يزد,3322,530900,34731941162,66499,65174,65440,-1059,-1.59,65730,-769,-1.16,65170,65700
31,كمند,صندوق س. با درآمد ثابت كمند,3252,128372171,1290919532858,10049,10055,10056,7,0.07,10056,7,0.07,10055,10058
32,كگلح,ح . معدني و صنعتي گل گهر,3247,6582913,77198089930,12170,11750,11690,-480,-3.94,11730,-440,-3.62,11690,12170
33,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,3186,19866608,214730918450,10920,10920,10710,-210,-1.92,10810,-110,-1.01,10710,11100
34,شبندر,پالايش نفت بندرعباس,3067,15013604,364282753430,24720,24580,24230,-490,-1.98,24260,-460,-1.86,24230,24700
35,صبا,سرمايه گذاري صبا تامين,2982,9677965,74467244926,7715,7620,7612,-103,-1.34,7702,-13,-0.17,7572,7850
