,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,47854,48193710,6763937772840,135380,136300,142340,6960,5.14,140350,4970,3.67,135500,143780
3,پالايش,صندوق پالايشي يکم-سهام,45196,55845194,4119050550890,72700,73300,74000,1300,1.79,73760,1060,1.46,72000,75490
4,خساپا,سايپا,24389,925184942,1839147123290,1940,1950,2030,90,4.64,1990,50,2.58,1900,2040
5,خودرو,ايران‌ خودرو,20859,807459265,1708357752330,2060,2060,2160,100,4.85,2120,60,2.91,2020,2180
6,فملي,ملي‌ صنايع‌ مس‌ ايران‌,17297,98350081,1200387842090,12040,12240,12130,90,0.75,12210,170,1.41,11830,12530
7,امينح,ح . تامين سرمايه امين,17254,23328221,118011403540,4640,4700,5190,550,11.85,5060,420,9.05,4690,5190
8,شپنا,پالايش نفت اصفهان,17193,128765004,1396461566680,11000,11000,10850,-150,-1.36,10850,-150,-1.36,10670,11390
9,بركت,گروه دارويي بركت,17163,38089844,1227827294000,32800,33000,31820,-980,-2.99,32240,-560,-1.71,31820,33270
10,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,16607,440860483,1085712869070,2480,2430,2520,40,1.61,2460,-20,-0.81,2410,2550
11,وبملت,بانك ملت,15192,539813093,2422315869670,4250,4360,4500,250,5.88,4490,240,5.65,4330,4500
12,وتجارت,بانك تجارت,15011,526356037,1411155991450,2550,2590,2700,150,5.88,2680,130,5.1,2580,2700
13,شستا,سرمايه گذاري تامين اجتماعي,12552,45301053,526781331120,11630,11650,11530,-100,-0.86,11630,0,0,11350,11950
14,شتران,پالايش نفت تهران,10281,75339993,651954284690,8800,8740,8640,-160,-1.82,8650,-150,-1.7,8540,8960
15,فولاد,فولاد مباركه اصفهان,9133,56904744,726552365030,12660,12670,12660,0,0,12770,110,0.87,12450,13200
