,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,34231,46825262,3382634287000,73050,72500,71180,-1870,-2.56,72240,-810,-1.11,71000,74230
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,20296,16764687,2207437102970,131060,129990,131850,790,0.6,131670,610,0.47,128960,133420
4,بركت,گروه دارويي بركت,17690,48887338,1327310459190,27380,26640,26600,-780,-2.85,27150,-230,-0.84,26150,28000
5,خودرو,ايران‌ خودرو,16727,1000997689,2042897794171,1950,1930,2047,97,4.97,2041,91,4.67,1925,2047
6,شپنا,پالايش نفت اصفهان,15785,107583700,1169924869860,10940,10920,10670,-270,-2.47,10870,-70,-0.64,10610,11190
7,كزغال,زغال سنگ پروده طبس,13374,12685855,396046205624,32696,31250,31240,-1456,-4.45,31220,-1476,-4.51,31062,32200
8,خزاميا,زامياد,13281,164701850,1343483102160,8230,7820,8280,50,0.61,8160,-70,-0.85,7820,8580
9,فملي,ملي‌ صنايع‌ مس‌ ايران‌,12982,69975993,914091423500,13210,13020,12870,-340,-2.57,13060,-150,-1.14,12860,13440
10,شبندر,پالايش نفت بندرعباس,11294,46139879,1032716745180,22310,22650,21850,-460,-2.06,22380,70,0.31,21700,23300
11,كاما,باما,10173,57313898,623256289310,10940,10670,11000,60,0.55,10870,-70,-0.64,10510,11130
12,فگستر,گسترش صنايع روي ايرانيان,10059,2500679,17032124669,6487,6811,6811,324,4.99,6811,324,4.99,6811,6811
13,آريا,پليمر آريا ساسول,9018,6316033,581772218116,90987,89540,92759,1772,1.95,92110,1123,1.23,89540,93510
14,شستا,سرمايه گذاري تامين اجتماعي,8666,30192098,328481300120,11000,10760,10790,-210,-1.91,10880,-120,-1.09,10760,11150
15,وتجارت,بانك تجارت,8288,238207141,584981967906,2424,2375,2474,50,2.06,2456,32,1.32,2325,2500
16,فولاد,فولاد مباركه اصفهان,8088,51548294,656634827320,12910,12940,12580,-330,-2.56,12740,-170,-1.32,12580,13090
17,كرمان,س. توسعه و عمران استان كرمان,7929,251908596,274336928846,1059,1042,1097,38,3.59,1089,30,2.83,1042,1109
18,خبهمن,گروه‌بهمن‌,7739,555227580,746678270486,1285,1250,1349,64,4.98,1345,60,4.67,1250,1349
19,فروي,ذوب روي اصفهان,7709,9003907,457944178764,53434,50763,50763,-2671,-5,50861,-2573,-4.82,50763,51830
20,شتران,پالايش نفت تهران,7671,52153482,422714168880,8240,8200,7970,-270,-3.28,8110,-130,-1.58,7950,8410
21,امينح,ح . تامين سرمايه امين,7345,6091600,28976540456,4744,4810,4800,56,1.18,4757,13,0.27,4651,4840
22,وسپهر,سرمايه گذاري مالي سپهرصادرات,7233,18283597,166288859247,9179,9098,9095,-84,-0.92,9095,-84,-0.92,9094,9150
23,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,7051,321926291,738146821869,2191,2194,2300,109,4.97,2293,102,4.66,2182,2300
24,خمحركه,نيرو محركه‌,6972,97951944,414466475155,4395,4176,4176,-219,-4.98,4231,-164,-3.73,4176,4359
25,ختوقا,قطعات‌ اتومبيل‌ ايران‌,6883,142664614,330004529353,2370,2252,2341,-29,-1.22,2313,-57,-2.41,2252,2410
26,بوعلي,پتروشيمي بوعلي سينا,6150,2990940,132338363320,43770,44150,44520,750,1.71,44250,480,1.1,43930,44610
27,ثاميد,توسعه و عمران اميد,5970,40845287,54553241644,1338,1301,1330,-8,-0.6,1336,-2,-0.15,1301,1362
28,حكشتي,كشتيراني جمهوري اسلامي ايران,5967,18391733,303683000410,16240,16570,16130,-110,-0.68,16510,270,1.66,16030,16980
29,وبصادر,بانك صادرات ايران,5408,141519578,310018029422,2169,2160,2204,35,1.61,2191,22,1.01,2110,2231
30,اپال,فرآوري معدني اپال كاني پارس,5361,6648680,117516042290,16760,17600,17910,1150,6.86,17640,880,5.25,17500,17980
31,ذوب,سهامي ذوب آهن  اصفهان,5239,93954499,317188138590,3467,3340,3310,-157,-4.53,3376,-91,-2.62,3300,3479
32,ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,4926,41154566,213150154340,5190,4940,5240,50,0.96,5180,-10,-0.19,4940,5370
33,وكبهمن,مديريت سرمايه گذاري كوثربهمن,4850,1639634,17562635208,10521,10713,10739,218,2.07,10711,190,1.81,10550,10900
34,بترانس,ايران‌ ترانسفو,4801,113220725,304226539863,2586,2520,2642,56,2.17,2687,101,3.91,2510,2715
35,بپيوند,برق و انرژي پيوندگستر پارس,4430,4617314,50650200342,10942,10770,11222,280,2.56,10970,28,0.26,10395,11269
36,فجر,فولاد اميركبيركاشان,4408,9206749,611687754030,64800,66090,67390,2590,4,66440,1640,2.53,65040,67990
37,امين,تامين سرمايه امين,4355,3397720,23726039570,6980,6750,6990,10,0.14,6980,0,0,6750,7000
38,پترول,گروه پتروشيمي س. ايرانيان,4314,24458801,217523413850,8910,9030,8780,-130,-1.46,8890,-20,-0.22,8640,9030
39,وپارس,بانك‌پارسيان‌,4223,150980937,387252318296,2463,2472,2586,123,4.99,2565,102,4.14,2472,2586
40,وپاسار,بانك  پاسارگاد,3891,49807619,852095106660,17070,17080,17130,60,0.35,17110,40,0.23,17080,17130
41,فارس,صنايع پتروشيمي خليج فارس,3760,29089530,268332489480,9000,9140,9400,400,4.44,9220,220,2.44,8970,9440
42,ولساپا,ليزينگ رايان‌ سايپا,3663,93081890,268314557424,2980,2831,2843,-137,-4.6,2883,-97,-3.26,2831,2952
43,كچاد,معدني‌وصنعتي‌چادرملو,3541,14509995,327156399730,22050,22700,22140,90,0.41,22550,500,2.27,22050,23000
44,سيتا,سرمايه گذاري سيمان تامين,3398,6200824,93016315040,15000,15000,15000,0,0,15000,0,0,15000,15020
45,پيزد,مجتمع صنايع لاستيك يزد,3351,401225,22919963061,58864,56000,57000,-1864,-3.17,57125,-1739,-2.95,56000,58000
46,وخارزم,سرمايه گذاري خوارزمي,3228,32058884,137223065259,4331,4270,4237,-94,-2.17,4280,-51,-1.18,4146,4456
47,شلعاب,لعابيران‌,3222,17299187,233139970290,21890,13100,13100,-8790,-40.16,13480,-8410,-38.42,12800,13750
48,شگويا,پتروشيمي تندگويان,3184,13051719,117938064068,9117,9130,8904,-213,-2.34,9036,-81,-0.89,8850,9270
49,وساپا,سرمايه‌گذاري‌ سايپا,3167,41379858,210630915874,4964,4780,5075,111,2.24,5090,126,2.54,4780,5208
50,ومعادنح,ح . توسعه‌معادن‌وفلزات‌,3160,25562895,155056001560,6050,6200,5950,-100,-1.65,6070,20,0.33,5710,6280
