,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,43010,44450739,3345177841950,74630,72010,77290,2660,3.56,75260,630,0.84,71700,77350
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,27342,18537439,2449333358520,130180,125590,135100,4920,3.78,132130,1950,1.5,125500,135300
4,شستا,سرمايه گذاري تامين اجتماعي,25142,92404593,1028188146630,10880,10680,11420,540,4.96,11130,250,2.3,10680,11470
5,شپنا,پالايش نفت اصفهان,24397,234118484,3056439509420,13280,13020,13220,-60,-0.45,13060,-220,-1.66,13020,13260
6,اپال,فرآوري معدني اپال كاني پارس,22745,18375860,329179827530,17730,17550,18090,360,2.03,17910,180,1.02,17550,18180
7,امينح,ح . تامين سرمايه امين,21371,10441868,48247357602,1000,4580,4800,3800,380,4621,3621,362.1,4421,4850
8,فملي,ملي‌ صنايع‌ مس‌ ايران‌,21053,123987409,1506214344770,12310,12070,12360,50,0.41,12150,-160,-1.3,12070,12380
9,شتران,پالايش نفت تهران,19768,184118294,1825467935580,9910,9720,10200,290,2.93,9910,0,0,9720,10290
10,فولاد,فولاد مباركه اصفهان,14212,109388395,1423966918650,13230,12970,13370,140,1.06,13020,-210,-1.59,12970,13380
11,شبندر,پالايش نفت بندرعباس,14153,37054593,956082572730,26210,25690,26300,90,0.34,25800,-410,-1.56,25690,26500
12,بركت,گروه دارويي بركت,10578,27739650,900162365160,33030,32580,32370,-660,-2,32450,-580,-1.76,32370,33090
13,سپيدار,سپيدار سيستم آسيا,8429,1194600,74854361197,63843,62567,62567,-1276,-2,62661,-1182,-1.85,62567,63842
14,وخارزمح,ح.سرمايه گذاري خوارزمي,8217,24021728,97976265730,4160,4000,4180,20,0.48,4080,-80,-1.92,4000,4230
15,وبملت,بانك ملت,8166,289624708,1171016476030,4120,4040,4080,-40,-0.97,4040,-80,-1.94,4040,4100
16,سيتا,سرمايه گذاري سيمان تامين,7789,9485351,143751650450,15000,15000,15180,180,1.2,15160,160,1.07,15000,15490
17,وتجارت,بانك تجارت,7743,343360640,961412193400,2850,2800,2800,-50,-1.75,2800,-50,-1.75,2800,2810
18,كمند,صندوق س. با درآمد ثابت كمند,7668,460104054,4604784916894,10165,10009,10007,-158,-1.55,10008,-157,-1.54,10006,10011
19,بوعلي,پتروشيمي بوعلي سينا,7069,1522814,63960426400,42590,41740,42200,-390,-0.92,42000,-590,-1.39,41740,42740
20,ساوه,سيمان ساوه,5981,5890756,354424459081,61063,59842,59842,-1221,-2,60166,-897,-1.47,59842,61740
21,حكشتي,كشتيراني جمهوري اسلامي ايران,5942,17438142,336505305650,19400,19070,19560,160,0.82,19300,-100,-0.52,19020,19790
22,پترول,گروه پتروشيمي س. ايرانيان,5907,44721599,447224212610,10190,9990,10050,-140,-1.37,10000,-190,-1.86,9990,10140
23,وكبهمن,مديريت سرمايه گذاري كوثربهمن,5827,3291797,38116932766,11794,11560,11568,-226,-1.92,11625,-169,-1.43,11559,11651
24,بپيوند,برق و انرژي پيوندگستر پارس,5389,3689183,49471249758,13616,13345,13431,-185,-1.36,13410,-206,-1.51,13344,13740
25,آريا,پليمر آريا ساسول,5342,1857063,160213671879,86444,84718,87190,746,0.86,86273,-171,-0.2,84718,89000
26,امين,تامين سرمايه امين,5248,3988875,27895316460,7010,6990,6990,-20,-0.29,7000,-10,-0.14,6990,7010
27,شگويا,پتروشيمي تندگويان,4690,33408293,322314812713,9816,9620,9750,-66,-0.67,9648,-168,-1.71,9620,9800
28,سصوفي,سيمان‌ صوفيان‌,4313,12050234,252335300290,20910,20500,20650,-260,-1.24,20940,30,0.14,20500,21890
29,بگيلان,توسعه مسير برق گيلان,4152,815600,17814480972,22184,22000,21750,-434,-1.96,22059,-125,-0.56,21745,22101
30,آبادا,توليد نيروي برق آبادان,4027,1501670,20457584360,13890,13620,13620,-270,-1.94,13780,-110,-0.79,13620,13880
31,سفارس,سيمان فارس و خوزستان,3793,21828852,424856234330,19520,19130,19450,-70,-0.36,19460,-60,-0.31,19130,20070
32,صبا,سرمايه گذاري صبا تامين,3785,13328638,104069131425,7715,7563,7939,224,2.9,7798,83,1.08,7563,7980
33,شيران,س. صنايع‌شيميايي‌ايران,3775,13573017,400896028620,28500,27930,30210,1710,6,29540,1040,3.65,27930,30210
34,ونوين,بانك‌اقتصادنوين‌,3615,75382813,336609965080,4400,4320,4580,180,4.09,4470,70,1.59,4320,4590
