,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,فگستر,گسترش صنايع روي ايرانيان,29979,1194974,9890799798,7883,8277,8277,394,5,8130,247,3.13,8277,8277
3,پالايش,صندوق پالايشي يکم-سهام,27042,22977844,1515034539850,69160,68490,65050,-4110,-5.94,65930,-3230,-4.67,65000,68490
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,19855,13078436,1529850582560,124030,122510,115610,-8420,-6.79,116980,-7050,-5.68,114800,122510
5,بركت,گروه دارويي بركت,12485,46418596,1169286627300,26130,26760,24830,-1300,-4.98,25190,-940,-3.6,24830,26800
6,شستا,سرمايه گذاري تامين اجتماعي,12320,52468249,516152816670,10300,10200,9800,-500,-4.85,9840,-460,-4.47,9790,10250
7,فتوسا,توليد و توسعه سرب روي ايرانيان,11472,1907448,15705926832,7842,8234,8234,392,5,8233,391,4.99,8234,8234
8,خودرو,ايران‌ خودرو,11352,564902266,987897503039,1840,1750,1748,-92,-5,1749,-91,-4.95,1748,1794
9,خساپا,سايپا,8254,549687533,908691105853,1740,1653,1653,-87,-5,1653,-87,-5,1653,1687
10,فملي,ملي‌ صنايع‌ مس‌ ايران‌,8021,93025397,1102929494190,12460,11950,11840,-620,-4.98,11860,-600,-4.82,11840,12100
11,ثاميد,توسعه و عمران اميد,7963,86361549,120368703910,1369,1414,1404,35,2.56,1394,25,1.83,1345,1431
12,امين يكم,صندوق درآمد ثابت امين يكم فردا,7232,527604303,5288466794580,10165,10022,10019,-146,-1.44,10024,-141,-1.39,10017,10025
13,ساوه,سيمان ساوه,6115,3247435,130958183372,39153,37401,41110,1957,5,40327,1174,3,37401,41110
14,اپال,فرآوري معدني اپال كاني پارس,5533,9334570,173565348330,19020,19150,18500,-520,-2.73,18590,-430,-2.26,18400,19160
15,كرمان,س. توسعه و عمران استان كرمان,5203,145102460,143012750707,995,999,980,-15,-1.51,986,-9,-0.9,957,1024
16,كمند,صندوق س. با درآمد ثابت كمند,4800,538962846,5440277849722,10077,10093,10095,18,0.18,10094,17,0.17,10093,10095
17,وپارس,بانك‌پارسيان‌,4567,249734086,670044198294,2670,2685,2697,27,1.01,2683,13,0.49,2580,2703
18,وسپهر,سرمايه گذاري مالي سپهرصادرات,4544,12360818,112410406935,9094,9094,9094,0,0,9094,0,0,9094,9095
19,امينح,ح . تامين سرمايه امين,4308,3723914,18936615083,5137,5050,5001,-136,-2.65,5085,-52,-1.01,4830,5300
20,وپاسار,بانك  پاسارگاد,4234,74312981,1281134416630,17230,17240,17250,20,0.12,17240,10,0.06,17230,17250
21,شپنا,پالايش نفت اصفهان,3607,43072006,407722989520,9950,9460,9460,-490,-4.92,9470,-480,-4.82,9460,9600
22,امين,تامين سرمايه امين,3606,2700999,19393239470,7090,7100,7120,30,0.42,7150,60,0.85,7090,7380
23,وكبهمن,مديريت سرمايه گذاري كوثربهمن,3556,15251499,154301438324,10488,10350,10111,-377,-3.59,10117,-371,-3.54,9995,10403
24,شگويا,پتروشيمي تندگويان,3504,20332329,164713856536,8490,8410,8066,-424,-4.99,8101,-389,-4.58,8066,8450
25,بوعلي,پتروشيمي بوعلي سينا,3360,3342961,148438310840,46370,44110,44060,-2310,-4.98,44400,-1970,-4.25,44060,46410
26,سيتا,سرمايه گذاري سيمان تامين,3313,8807641,132116571540,15000,15000,15000,0,0,15000,0,0,15000,15010
27,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,2739,75224620,2749682073890,36515,36552,36554,39,0.11,36553,38,0.1,36549,36554
28,وبصادر,بانك صادرات ايران,2672,175065988,332674024169,1998,1910,1899,-99,-4.95,1900,-98,-4.9,1899,1950
29,بپاس,بيمه پاسارگاد,2663,3137583,314500258529,95689,100473,99998,4309,4.5,100236,4547,4.75,97100,100473
30,افران,صندوق س افرا نماد پايدار-ثابت,2661,119993153,1602499955216,13343,13350,13357,14,0.1,13355,12,0.09,13350,13358
31,بپيوند,برق و انرژي پيوندگستر پارس,2601,3764165,37918492474,10572,10100,10044,-528,-4.99,10074,-498,-4.71,10044,10400
