,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,20739,18428735,1281358032740,70310,69110,68980,-1330,-1.89,69530,-780,-1.11,68530,71200
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,20459,16334785,2112747311690,130000,129000,128260,-1740,-1.34,129340,-660,-0.51,127110,132350
4,فملي,ملي‌ صنايع‌ مس‌ ايران‌,14485,74380560,837452011020,11040,11000,11170,130,1.18,11260,220,1.99,10960,11590
5,شستا,سرمايه گذاري تامين اجتماعي,10665,54241498,611730900300,11570,11330,11230,-340,-2.94,11280,-290,-2.51,11230,11550
6,امين يكم,صندوق درآمد ثابت امين يكم فردا,10197,363681101,3658069871721,10051,10070,10062,11,0.11,10058,7,0.07,10056,10070
7,كارين2,صندوق س نگين سامان-ثابت,9500,95000000,95000000,10007,1,1,-10006,-99.99,1,-10006,-99.99,1,1
8,خودرو,ايران‌ خودرو,8429,318688740,669569492710,2160,2100,2100,-60,-2.78,2100,-60,-2.78,2100,2140
9,فولاد,فولاد مباركه اصفهان,7339,47959966,575701433780,12110,11800,12130,20,0.17,12000,-110,-0.91,11800,12250
10,بركت,گروه دارويي بركت,7272,24795294,758881898550,31440,30800,30500,-940,-2.99,30610,-830,-2.64,30500,31270
11,وتجارت,بانك تجارت,6192,202531711,525100660360,2620,2630,2550,-70,-2.67,2590,-30,-1.15,2550,2640
12,وبملت,بانك ملت,5420,142633273,592718520270,4190,4150,4180,-10,-0.24,4160,-30,-0.72,4080,4240
13,اپال,فرآوري معدني اپال كاني پارس,5135,9006595,151393757000,16920,16550,16760,-160,-0.95,16810,-110,-0.65,16460,17010
14,ورازي,بيمه رازي,4758,51044263,518703700739,9885,10379,9498,-387,-3.92,10162,277,2.8,9400,10379
15,وكبهمن,مديريت سرمايه گذاري كوثربهمن,4687,1497321,15239571309,10409,10202,10200,-209,-2.01,10337,-72,-0.69,10101,10388
16,سيتا,سرمايه گذاري سيمان تامين,4545,7446187,111704017620,15000,15000,15000,0,0,15000,0,0,15000,15040
17,بوعلي,پتروشيمي بوعلي سينا,4322,1267499,52677992340,41620,41400,41500,-120,-0.29,41570,-50,-0.12,41120,41680
18,وبصادر,بانك صادرات ايران,4064,141924642,317777651560,2290,2250,2230,-60,-2.62,2240,-50,-2.18,2230,2290
19,آريا,پليمر آريا ساسول,3789,1068818,90148847156,85082,85085,84349,-733,-0.86,84411,-671,-0.79,84000,85500
20,ساراب,سيمان‌ داراب‌,3730,9896569,208928474130,20860,21400,20240,-620,-2.97,21110,250,1.2,20240,21980
21,امينح,ح . تامين سرمايه امين,3642,3626794,15621882560,4540,4400,4270,-270,-5.95,4310,-230,-5.07,4270,4460
22,بگيلان,توسعه مسير برق گيلان,3059,1675449,34539201299,21130,20497,20497,-633,-3,20765,-365,-1.73,20497,21100
23,امين يكم2,صندوق درآمد ثابت امين يكم فردا,2800,280000000,280000000,10051,1,1,-10050,-99.99,1,-10050,-99.99,1,1
24,كمند,صندوق س. با درآمد ثابت كمند,2725,90649704,916569465565,10102,10110,10111,9,0.09,10111,9,0.09,10110,10113
25,پترولح,ح . گروه پتروشيمي س. ايرانيان,2578,75647400,495197902800,6930,7200,6520,-410,-5.92,6550,-380,-5.48,6520,7200
26,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,2550,21365424,212096167300,10190,9910,9890,-300,-2.94,9930,-260,-2.55,9890,10100
27,دماوند,توليد نيروي برق دماوند,2407,9060877,216663172775,23098,22406,24030,932,4.03,23912,814,3.52,22406,24403
28,افق,فروشگاههاي زنجيره اي افق كوروش,2371,5637099,388406301700,66300,64500,70260,3960,5.97,68900,2600,3.92,64320,70270
29,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,2141,47949430,1728720311000,36021,36052,36052,31,0.09,36053,32,0.09,36052,36057
30,فنوال,نورد آلومينيوم‌,2019,4073413,107465307020,25280,24530,26790,1510,5.97,26380,1100,4.35,24530,26790
31,آوا,صندوق س.سهام آواي معيار-س,1889,20604753,128116449571,6177,6110,6230,53,0.86,6218,41,0.66,6070,6253
32,صبا,سرمايه گذاري صبا تامين,1867,6595539,49124775207,7524,7410,7363,-161,-2.14,7493,-31,-0.41,7358,7535
33,پترول,گروه پتروشيمي س. ايرانيان,1822,14824699,126234628450,8770,8520,8510,-260,-2.96,8520,-250,-2.85,8510,8690
34,نوري,پتروشيمي نوري,1799,1892556,109570864230,59410,58700,57670,-1740,-2.93,57900,-1510,-2.54,57630,59690
35,وكار,بانك‌ كارآفرين‌,1775,79014398,218671661420,2630,2640,2780,150,5.7,2770,140,5.32,2570,2780
36,فخوز,فولاد  خوزستان,1771,7698887,112523768330,14680,14370,14460,-220,-1.5,14620,-60,-0.41,14370,14900
37,كيان,صندوق س. با درآمد ثابت كيان,1764,52294064,1470068029585,28075,28110,28126,51,0.18,28112,37,0.13,28110,28140
38,ضخود2006,اختيارخ خودرو-2500-1400/02/08,1711,84830,199174000,11,3,2,-9,-81.82,2,-9,-81.82,1,9
39,وپاسار,بانك  پاسارگاد,1593,21489682,293749579580,13660,13660,13670,10,0.07,13670,10,0.07,13650,13700
40,بپيوند,برق و انرژي پيوندگستر پارس,1559,1516557,18646961259,12650,12271,12271,-379,-3,12514,-136,-1.08,12271,12598
41,وخارزمح,ح.سرمايه گذاري خوارزمي,1516,6668280,21242343120,3340,3320,3210,-130,-3.89,3190,-150,-4.49,3140,3320
42,وپارس,بانك‌پارسيان‌,1502,55855639,141352507900,2600,2530,2530,-70,-2.69,2530,-70,-2.69,2530,2560
43,سرچشمه,سرمايه گذاري مس سرچشمه,1308,6648981,42980787840,6388,6390,6401,13,0.2,6453,65,1.02,6300,6600
44,غگيلا,شيرپاستوريزه پگاه گيلان,1292,35422,869255880,23151,24540,24540,1389,6,23174,23,0.1,24540,24540
45,تسه9912,امتياز تسهيلات مسكن اسفند99,1225,46553,23327477583,494265,500009,502000,7735,1.56,501095,6830,1.38,478500,515000
46,خساپا,سايپا,1222,31234451,62781246510,2070,2010,2010,-60,-2.9,2040,-30,-1.45,2010,2010
47,غگل,گلوكوزان‌,1146,12973973,40425319660,3200,3120,3110,-90,-2.81,3130,-70,-2.19,3110,3200
48,كاوه,فولاد كاوه جنوب كيش,1129,3487592,74146039420,21390,21010,21100,-290,-1.36,21290,-100,-0.47,20950,21870
49,آگاس,صندوق س.هستي بخش آگاه-س,1103,772494,48965053645,63875,63010,63011,-864,-1.35,63386,-489,-0.77,62598,64790
50,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,1099,11234886,66078960640,6050,5990,5870,-180,-2.98,5880,-170,-2.81,5870,5990
51,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,1098,4362789,46424292190,10910,10710,10590,-320,-2.93,10800,-110,-1.01,10590,10940
52,فجر,فولاد اميركبيركاشان,1076,1083912,60108466130,55270,56000,55270,0,0,55460,190,0.34,54320,56800
53,سرو,صندوق س سروسودمند مدبران-سهام,1047,719222,45439050790,63740,63000,62890,-850,-1.33,63180,-560,-0.88,62520,64390
54,كچاد,معدني‌وصنعتي‌چادرملو,1038,3823661,84487052650,22640,22400,21970,-670,-2.96,22250,-390,-1.72,21970,22990
55,رتاپح,ح.تجارت الكترونيك پارسيان,1025,57034964,273767827200,4800,4800,4800,0,0,4800,0,0,4800,4800
56,فارس,صنايع پتروشيمي خليج فارس,951,8778683,77013997990,9040,8790,8770,-270,-2.99,8860,-180,-1.99,8770,8840
57,فايرا,آلومينيوم‌ايران‌,936,2585333,44402210630,17270,16800,17200,-70,-0.41,17210,-60,-0.35,16780,17600
