,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,23974,23004377,1617157962580,72240,71600,69300,-2940,-4.07,70300,-1940,-2.69,69060,71680
3,خساپا,سايپا,17970,808766074,1546349294018,1943,1980,1846,-97,-4.99,1912,-31,-1.6,1846,2009
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,17248,11499835,1489136921770,131670,132400,127500,-4170,-3.17,129490,-2180,-1.66,127000,132870
5,خودرو,ايران‌ خودرو,16783,709214458,1425391796661,2041,2079,1939,-102,-5,2010,-31,-1.52,1939,2109
6,كزغال,زغال سنگ پروده طبس,15171,9537278,309616123549,31220,31940,32591,1371,4.39,32464,1244,3.98,31790,32750
7,فملي,ملي‌ صنايع‌ مس‌ ايران‌,11043,70169908,891445891020,13060,12600,12680,-380,-2.91,12700,-360,-2.76,12420,13050
8,فگستر,گسترش صنايع روي ايرانيان,10141,2476294,17707978394,6811,7151,7151,340,4.99,7151,340,4.99,7151,7151
9,اپال,فرآوري معدني اپال كاني پارس,9681,11376479,204793857680,17640,17970,18290,650,3.68,18000,360,2.04,17640,18340
10,شستا,سرمايه گذاري تامين اجتماعي,8433,29278539,308798506760,10880,10790,10400,-480,-4.41,10550,-330,-3.03,10340,10900
11,بوعلي,پتروشيمي بوعلي سينا,8415,4770255,218730767310,44250,44350,45000,750,1.69,45850,1600,3.62,44350,46460
12,شپنا,پالايش نفت اصفهان,8341,71955462,753475895680,10870,10650,10330,-540,-4.97,10470,-400,-3.68,10330,10810
13,بركت,گروه دارويي بركت,7749,22931320,599206422120,27150,27050,25800,-1350,-4.97,26130,-1020,-3.76,25800,27380
14,امينح,ح . تامين سرمايه امين,7685,5693504,27257453176,4757,4770,4801,44,0.92,4787,30,0.63,4757,4810
15,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,7443,235702652,532924481827,2293,2330,2179,-114,-4.97,2261,-32,-1.4,2179,2369
16,شتران,پالايش نفت تهران,6258,50914608,396439633680,8110,7980,7710,-400,-4.93,7790,-320,-3.95,7710,8050
17,فولاد,فولاد مباركه اصفهان,6055,41101240,512407923680,12740,12570,12230,-510,-4,12470,-270,-2.12,12200,12700
18,وتجارت,بانك تجارت,6051,151181248,364006713806,2456,2461,2349,-107,-4.36,2408,-48,-1.95,2338,2508
19,ثاميد,توسعه و عمران اميد,5842,56595731,72598922866,1336,1317,1270,-66,-4.94,1283,-53,-3.97,1270,1330
20,كرمان,س. توسعه و عمران استان كرمان,5192,155040497,163094492937,1089,1105,1035,-54,-4.96,1052,-37,-3.4,1035,1105
21,وسپهر,سرمايه گذاري مالي سپهرصادرات,5122,13219658,120220677496,9095,9094,9094,-1,-0.01,9094,-1,-0.01,9094,9096
22,خبهمن,گروه‌بهمن‌,4874,216097855,281184553466,1345,1350,1278,-67,-4.98,1301,-44,-3.27,1278,1360
