,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,46594,61701784,4485766902390,69470,72000,72000,2530,3.64,72700,3230,4.65,70910,74910
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,34415,32328274,4376504898100,131220,134550,133660,2440,1.86,135380,4160,3.17,133220,138500
4,خساپا,سايپا,32016,1143859121,2222632096360,1970,1950,1920,-50,-2.54,1940,-30,-1.52,1920,2020
5,شپنا,پالايش نفت اصفهان,21212,159613948,1755730792340,10670,10850,10880,210,1.97,11000,330,3.09,10580,11310
6,خودرو,ايران‌ خودرو,19634,661773678,1361558510190,2020,2050,2030,10,0.5,2060,40,1.98,2010,2120
7,بركت,گروه دارويي بركت,17116,34138499,1119799922060,31440,32490,32630,1190,3.78,32800,1360,4.33,32170,33300
8,كرمان,س. توسعه و عمران استان كرمان,16039,663426993,780492322441,1205,1169,1170,-35,-2.9,1176,-29,-2.41,1169,1219
9,فملي,ملي‌ صنايع‌ مس‌ ايران‌,15112,124356863,1497788515250,11430,11870,12110,680,5.95,12040,610,5.34,11660,12110
10,شستا,سرمايه گذاري تامين اجتماعي,14771,75735506,880717217390,11260,11430,11530,270,2.4,11630,370,3.29,11330,11900
11,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,14037,384119795,951269231980,2530,2460,2460,-70,-2.77,2480,-50,-1.98,2460,2560
12,خبهمن,گروه‌بهمن‌,12708,572391086,770952243910,1340,1300,1370,30,2.24,1350,10,0.75,1300,1420
13,فولاد,فولاد مباركه اصفهان,12443,121999895,1544152408070,12040,12250,12610,570,4.73,12660,620,5.15,12230,12760
14,شتران,پالايش نفت تهران,12043,86561206,762078265210,8620,8800,8710,90,1.04,8800,180,2.09,8590,9020
15,امينح,ح . تامين سرمايه امين,11207,11045546,51235727520,4370,4550,4600,230,5.26,4640,270,6.18,4460,4790
16,شبندر,پالايش نفت بندرعباس,9674,31376741,696388457610,21950,21800,21860,-90,-0.41,22190,240,1.09,21500,22790
17,ذوب,سهامي ذوب آهن  اصفهان,8857,132890473,447863962216,3319,3330,3315,-4,-0.12,3370,51,1.54,3290,3460
18,پترول,گروه پتروشيمي س. ايرانيان,7929,65218550,562216327780,8210,8410,8590,380,4.63,8620,410,4.99,8390,8700
19,وتجارت,بانك تجارت,7320,197649186,503617981150,2500,2510,2520,20,0.8,2550,50,2,2500,2600
20,شگويا,پتروشيمي تندگويان,7255,45621316,405702894559,8470,8740,8870,400,4.72,8893,423,4.99,8611,8978
21,كارين2,صندوق س نگين سامان-ثابت,6450,64500000,64500000,10034,1,1,-10033,-99.99,1,-10033,-99.99,1,1
22,وكبهمن,مديريت سرمايه گذاري كوثربهمن,6429,2420281,25613266680,10243,10266,10600,357,3.49,10414,171,1.67,10266,10730
23,وبملت,بانك ملت,6001,189399476,805642623200,4150,4210,4290,140,3.37,4250,100,2.41,4180,4310
24,بپيوند,برق و انرژي پيوندگستر پارس,5897,3531295,42768821950,12109,12100,11894,-215,-1.78,12111,2,0.02,11820,12350
25,وبصادر,بانك صادرات ايران,5707,159036641,352779489530,2140,2150,2210,70,3.27,2220,80,3.74,2150,2260
26,بوعلي,پتروشيمي بوعلي سينا,5576,1719049,72359624280,41610,41610,42030,420,1.01,42090,480,1.15,41510,42650
27,آريا,پليمر آريا ساسول,5113,2845519,248060764851,84607,86120,86670,2063,2.44,87176,2569,3.04,86120,87900
28,اپال,فرآوري معدني اپال كاني پارس,4848,6456432,110307553920,16810,16830,17040,230,1.37,17060,250,1.49,16830,17400
29,سيتا,سرمايه گذاري سيمان تامين,4779,6280436,94252027510,15000,15000,15010,10,0.07,15010,10,0.07,15000,15100
30,امين,تامين سرمايه امين,4733,3697759,25923249340,7220,7010,7010,-210,-2.91,7110,-110,-1.52,7010,7030
31,غگل,گلوكوزان‌,4594,66390579,198944106240,3000,2910,3060,60,2,3000,0,0,2910,3150
32,آبادا,توليد نيروي برق آبادان,4274,2543829,31991991230,12910,12530,12530,-380,-2.94,12690,-220,-1.7,12530,12770
33,فخوز,فولاد  خوزستان,4242,38328316,584197198260,14500,14990,15200,700,4.83,15240,740,5.1,14820,15370
34,نوري,پتروشيمي نوري,4154,5302977,318873468350,59470,60440,59140,-330,-0.55,60130,660,1.11,58680,61610
35,وخارزم,سرمايه گذاري خوارزمي,3674,39306830,195086037910,5100,4950,4950,-150,-2.94,4960,-140,-2.75,4950,5070
36,فباهنر,مس‌ شهيدباهنر,3588,9616058,247359499260,26160,25380,25700,-460,-1.76,25720,-440,-1.68,25380,27300
37,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,3321,22373035,228260931550,9740,9730,10310,570,5.85,10200,460,4.72,9730,10320
38,وپارس,بانك‌پارسيان‌,3292,88304413,215219197440,2420,2440,2410,-10,-0.41,2440,20,0.83,2380,2540
39,بگيلان,توسعه مسير برق گيلان,3212,652539,13220821332,20563,20100,20100,-463,-2.25,20480,-83,-0.4,20003,20580
40,شبريز,پالايش نفت تبريز,3157,7749148,209351934950,26610,26610,26410,-200,-0.75,27020,410,1.54,26200,27700
41,پيزد,مجتمع صنايع لاستيك يزد,3147,421776,26486699940,64365,62435,62436,-1929,-3,63504,-861,-1.34,62435,65100
42,كمند,صندوق س. با درآمد ثابت كمند,3118,124679296,1262580954407,10122,10126,10126,4,0.04,10127,5,0.05,10126,10129
43,فارس,صنايع پتروشيمي خليج فارس,3052,25988471,230085144790,8620,8700,8780,160,1.86,8850,230,2.67,8660,8980
44,فباهنرح,ح . مس‌ شهيدباهنر,2998,12930159,226551879050,15940,16630,17830,1890,11.86,17520,1580,9.91,16300,17850
45,امين يكم,صندوق درآمد ثابت امين يكم فردا,2914,82595402,832134104342,10067,10074,10079,12,0.12,10075,8,0.08,10069,10081
46,وساپا,سرمايه‌گذاري‌ سايپا,2787,35048834,159883041280,4520,4560,4530,10,0.22,4560,40,0.88,4450,4690
47,شيران,س. صنايع‌شيميايي‌ايران,2766,9081899,203473498520,22840,22160,22180,-660,-2.89,22400,-440,-1.93,22160,23210
48,سفارس,سيمان فارس و خوزستان,2735,19067685,307931272700,16620,16130,16270,-350,-2.11,16150,-470,-2.83,16130,16540
49,وپاسار,بانك  پاسارگاد,2508,39210384,537148514450,13690,13700,13710,20,0.15,13700,10,0.07,13680,13730
50,ضخود2005,اختيارخ خودرو-2000-1400/02/08,2460,123970,2610057000,19,25,14,-5,-26.32,21,2,10.53,11,33
51,خصدرا,صنعتي‌ دريايي‌ ايران‌,2449,53701315,147817995855,2804,2748,2748,-56,-2,2753,-51,-1.82,2748,2819
52,زگلدشتح,ح.كشت و دام گلدشت نمونه اصفهان,2434,11826600,81018883088,6953,6745,6800,-153,-2.2,6851,-102,-1.47,6745,7370
53,فاسمين,كالسيمين‌,2349,12649049,192506196240,15450,14990,14990,-460,-2.98,15220,-230,-1.49,14990,15950
54,وخارزمح,ح.سرمايه گذاري خوارزمي,2349,13684963,45491175490,3210,3280,3300,90,2.8,3320,110,3.43,3220,3450
55,آوا,صندوق س.سهام آواي معيار-س,2336,20579883,133718368430,6361,6451,6461,100,1.57,6498,137,2.15,6405,6600
56,ومعادن,توسعه‌معادن‌وفلزات‌,2241,18276494,140065846860,7640,7420,7600,-40,-0.52,7660,20,0.26,7420,7930
57,تاصيكو,سرمايه گذاري صدرتامين,2167,21109318,221577750590,10120,10220,10530,410,4.05,10500,380,3.75,10200,10720
58,كيان,صندوق س. با درآمد ثابت كيان,2164,20752200,584404611403,28147,28165,28161,14,0.05,28161,14,0.05,28160,28166
59,بجهرم,توسعه مولد نيروگاهي جهرم,2157,21615007,52517984567,2421,2416,2413,-8,-0.33,2430,9,0.37,2405,2497
60,وكار,بانك‌ كارآفرين‌,2090,48770231,144688012590,2910,2990,3030,120,4.12,2970,60,2.06,2850,3070
61,سرو,صندوق س سروسودمند مدبران-سهام,2087,2225235,143780340220,63170,64130,64200,1030,1.63,64610,1440,2.28,63700,66140
62,تملت,تامين سرمايه بانك ملت,2056,20524987,97125293140,4860,4720,4720,-140,-2.88,4730,-130,-2.67,4720,4850
63,صبا,سرمايه گذاري صبا تامين,2023,6987967,52507845637,7410,7470,7493,83,1.12,7456,46,0.62,7431,7649
64,ورازي,بيمه رازي,2020,20709485,186121813312,9357,9022,8890,-467,-4.99,8987,-370,-3.95,8890,9470
65,غسالم,سالمين‌,1995,35715851,150377879230,4340,4210,4210,-130,-3,4210,-130,-3,4210,4230
66,آگاس,صندوق س.هستي بخش آگاه-س,1957,1904569,123861316989,63467,64500,64272,805,1.27,65034,1567,2.47,63728,66400
67,فجر,فولاد اميركبيركاشان,1937,5589385,336763048960,57780,59900,60870,3090,5.35,60250,2470,4.27,58610,61240
68,كاوه,فولاد كاوه جنوب كيش,1838,8292477,182360958290,21070,21200,21660,590,2.8,21990,920,4.37,21200,22330
69,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,1799,43126420,1557101594390,36087,36106,36106,19,0.05,36106,19,0.05,36105,36109
70,شبهرن,نفت‌ بهران‌,1781,13977864,166272060530,12250,11890,11890,-360,-2.94,11900,-350,-2.86,11890,12160
71,كچاد,معدني‌وصنعتي‌چادرملو,1739,6114547,132315577690,21190,21210,21490,300,1.42,21640,450,2.12,21210,22100
