,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,رافزا,رايان هم افزا,29001,12912293,1475882386948,111870,118582,109633,-2237,-2,114301,2431,2.17,109633,118582
3,بركت,گروه دارويي بركت,23568,51450921,1699445134980,33240,32950,32660,-580,-1.74,33030,-210,-0.63,32580,33800
4,پالايش,صندوق پالايشي يکم-سهام,18132,13060998,974716511430,77600,75100,74500,-3100,-3.99,74630,-2970,-3.83,74500,75490
5,اپال,فرآوري معدني اپال كاني پارس,12931,19253405,341423041200,17980,17980,17750,-230,-1.28,17730,-250,-1.39,17680,17980
6,شستا,سرمايه گذاري تامين اجتماعي,11154,51135743,556583534550,11100,10890,10880,-220,-1.98,10880,-220,-1.98,10880,11000
7,دارا يكم,صندوق واسطه گري مالي يكم-سهام,10099,4620281,601487839320,135410,130950,130000,-5410,-4,130180,-5230,-3.86,130000,131400
8,سمايه,بانك سرمايه,7583,63303308,373359555668,5867,6043,5867,0,0,5898,31,0.53,5750,6043
9,وكبهمن,مديريت سرمايه گذاري كوثربهمن,6427,3592225,42296277433,11914,11676,11676,-238,-2,11794,-120,-1.01,11676,12047
10,رانفور,خدمات‌انفورماتيك‌,5954,15023364,367834107640,24400,24860,24270,-130,-0.53,24480,80,0.33,23940,25170
11,حكشتي,كشتيراني جمهوري اسلامي ايران,5173,17135673,332460073240,19750,19520,19360,-390,-1.97,19400,-350,-1.77,19360,19700
12,سيتا,سرمايه گذاري سيمان تامين,4990,15658444,234900856200,15020,15000,15010,-10,-0.07,15000,-20,-0.13,15000,15020
13,بوعلي,پتروشيمي بوعلي سينا,4930,2417230,102950720980,43440,42580,42580,-860,-1.98,42590,-850,-1.96,42580,43240
14,آريا,پليمر آريا ساسول,4444,2716851,234855350997,88203,86440,86440,-1763,-2,86444,-1759,-1.99,86439,86600
15,بگيلان,توسعه مسير برق گيلان,4289,2044670,45360114581,22173,21730,22200,27,0.12,22184,11,0.05,21730,22600
16,امين,تامين سرمايه امين,4121,2596912,18159468940,7020,6990,7010,-10,-0.14,7010,-10,-0.14,6930,7010
17,بپيوند,برق و انرژي پيوندگستر پارس,3871,2797568,37937320743,13819,13610,13543,-276,-2,13616,-203,-1.47,13543,13770
18,كمند,صندوق س. با درآمد ثابت كمند,3589,147324515,1497573641403,10160,10164,10164,4,0.04,10165,5,0.05,10164,10167
19,سيمرغ,سيمرغ,3575,10873985,193314938670,17470,17130,18050,580,3.32,17780,310,1.77,17130,18490
20,غپاك,لبنيات‌ پاك‌,3007,6806985,192758033860,28070,28000,28510,440,1.57,28320,250,0.89,27580,29000
21,ثباغ,شهر سازي و خانه سازي باغميشه,2729,9955374,170605199865,16319,15994,17298,979,6,17137,818,5.01,15994,17298
22,امين يكم,صندوق درآمد ثابت امين يكم فردا,2715,82926610,842037073800,10145,10152,10151,6,0.06,10154,9,0.09,10150,10165
23,فباهنر,مس‌ شهيدباهنر,2687,5333584,145540455970,27420,27990,26880,-540,-1.97,27290,-130,-0.47,26880,28480
24,سپيدار,سپيدار سيستم آسيا,2441,691934,44102771890,65009,63736,63709,-1300,-2,63843,-1166,-1.79,63709,64200
25,پارند,صندوق س. پارند پايدار سپهر,2396,32338228,368263288790,11384,11388,11387,3,0.03,11388,4,0.04,11387,11395
26,غفارس,شير پاستوريزه پگاه فارس,2334,5285499,99370337461,18369,18050,18700,331,1.8,18801,432,2.35,18050,19100
27,فملي,ملي‌ صنايع‌ مس‌ ايران‌,2129,20598356,253565762360,12560,12310,12310,-250,-1.99,12310,-250,-1.99,12310,12310
28,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,2124,47490960,1695673132410,35686,35703,35709,23,0.06,35705,19,0.05,35702,35709
29,كچاد,معدني‌وصنعتي‌چادرملو,2032,10161949,231096536620,23160,22700,22700,-460,-1.99,22740,-420,-1.81,22700,23150
30,وپاسار,بانك  پاسارگاد,2029,29448409,384821494760,13050,13050,13090,40,0.31,13070,20,0.15,13050,13090
31,غگيلا,شيرپاستوريزه پگاه گيلان,1838,26432,638147776,22777,24143,24143,1366,6,22793,16,0.07,24143,24143
32,سرو,صندوق س سروسودمند مدبران-سهام,1803,2491101,165787487000,68740,67900,66200,-2540,-3.7,66550,-2190,-3.19,66000,68150
33,كگل,معدني و صنعتي گل گهر,1631,9261773,137513619160,15130,14900,14840,-290,-1.92,14850,-280,-1.85,14830,15140
34,وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,1624,1903428,98155751450,49600,48610,51930,2330,4.7,51570,1970,3.97,48610,52570
35,آوا,صندوق س.سهام آواي معيار-س,1616,15584774,99470823648,6627,6520,6362,-265,-4,6383,-244,-3.68,6362,6520
36,ونوين,بانك‌اقتصادنوين‌,1614,44110256,194200309370,4480,4420,4400,-80,-1.79,4400,-80,-1.79,4400,4490
37,صبا,سرمايه گذاري صبا تامين,1578,21328719,164557954142,7872,7715,7715,-157,-1.99,7715,-157,-1.99,7715,7778
38,سپ,پرداخت الكترونيك سامان كيش,1578,4431010,90905590740,20680,20270,20550,-130,-0.63,20520,-160,-0.77,20270,21750
39,شيران,س. صنايع‌شيميايي‌ايران,1565,10964101,312471916470,29070,28810,28490,-580,-2,28500,-570,-1.96,28490,29000
40,بپاس,بيمه پاسارگاد,1555,2563262,217756508937,86279,84554,85150,-1129,-1.31,84953,-1326,-1.54,84554,85800
41,فخوز,فولاد  خوزستان,1482,13394455,193957698270,14770,14480,14480,-290,-1.96,14480,-290,-1.96,14480,14600
42,وپخش,داروپخش‌ (هلدينگ‌,1448,783709,80573080570,101410,100240,105100,3690,3.64,102810,1400,1.38,99390,107490
43,پترول,گروه پتروشيمي س. ايرانيان,1447,16205884,165137957960,10390,10190,10190,-200,-1.92,10190,-200,-1.92,10190,10190
44,كيان,صندوق س. با درآمد ثابت كيان,1430,20922715,581991548603,27802,27815,27818,16,0.06,27816,14,0.05,27815,27819
45,وملل,اعتباري ملل,1336,6733313,89430050625,13121,13120,13248,127,0.97,13282,161,1.23,13120,13700
46,گكوثر,هتل پارسيان كوثر اصفهان,1274,16824322,43066106881,2592,2639,2541,-51,-1.97,2565,-27,-1.04,2541,2640
47,شفا,سرمايه گذاري شفادارو,1258,707009,33429920240,45940,45930,47230,1290,2.81,46810,870,1.89,45040,48270
48,ولانا,شركت ليزينگ آريا دانا,1214,1543659,65212789504,41353,42490,42593,1240,3,42246,893,2.16,41560,42593
