,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,بركت,گروه دارويي بركت,47984,164857480,5510089770730,32110,31470,34030,1920,5.98,33420,1310,4.08,31470,34030
3,سپيدار,سپيدار سيستم آسيا,34010,2801122,185708476315,64248,67000,65301,1053,1.64,66298,2050,3.19,65012,67950
4,پالايش,صندوق پالايشي يکم-سهام,28076,19552220,1570851514230,81570,81630,79920,-1650,-2.02,80340,-1230,-1.51,79400,82500
5,دارا يكم,صندوق واسطه گري مالي يكم-سهام,20239,9782840,1376339266970,145190,144010,139390,-5800,-3.99,140690,-4500,-3.1,139390,144050
6,شستا,سرمايه گذاري تامين اجتماعي,16421,55736485,630207510150,11510,11500,11300,-210,-1.82,11310,-200,-1.74,11280,11590
7,اپال,فرآوري معدني اپال كاني پارس,15632,25818849,469976750040,18110,18250,18280,170,0.94,18200,90,0.5,17750,18700
8,شتران,پالايش نفت تهران,15388,102558710,1057182224590,10280,10480,10230,-50,-0.49,10310,30,0.29,10100,10650
9,پتاير,ايران‌ تاير,14406,348279041,1360443410920,3790,3720,4010,220,5.8,3910,120,3.17,3720,4010
10,خزاميا,زامياد,10293,106070823,936078705250,8360,8730,8800,440,5.26,8830,470,5.62,8600,8860
11,كرمان,س. توسعه و عمران استان كرمان,9875,15228316,731571653313,48877,47930,48990,113,0.23,48040,-837,-1.71,47900,49018
12,شاروم,پتروشيمي اروميه,9268,10240940,205592606563,19596,20700,19760,164,0.84,20076,480,2.45,19601,20750
13,وخارزمح,ح.سرمايه گذاري خوارزمي,8072,24994665,112390667890,341,4430,4470,4129,1210.85,4500,4159,1219.65,4380,4850
14,شپنا,پالايش نفت اصفهان,7283,49892314,689403112070,14050,14000,13770,-280,-1.99,13820,-230,-1.64,13770,14100
15,بكام,كارخانجات توليدي شهيد قندي,7098,90048232,360893664770,3860,4090,3950,90,2.33,4010,150,3.89,3870,4090
16,شگويا,پتروشيمي تندگويان,7074,49888400,504294903529,10228,10400,10026,-202,-1.97,10108,-120,-1.17,10024,10430
17,زملارد,كشاورزي و دامپروري ملارد شير,6540,4265336,167276776917,39452,41000,38663,-789,-2,39218,-234,-0.59,38663,41000
18,پترول,گروه پتروشيمي س. ايرانيان,6013,37608156,398190842540,10740,10840,10590,-150,-1.4,10590,-150,-1.4,10530,10850
19,وكبهمن,مديريت سرمايه گذاري كوثربهمن,5946,2714000,32338421919,12112,11956,11870,-242,-2,11982,-130,-1.07,11870,12180
20,بوعلي,پتروشيمي بوعلي سينا,5673,1453617,64421810080,44820,45010,43930,-890,-1.99,44320,-500,-1.12,43930,45500
21,فولاد,فولاد مباركه اصفهان,5643,30518130,419956043890,13970,13900,13700,-270,-1.93,13760,-210,-1.5,13700,14090
22,فملي,ملي‌ صنايع‌ مس‌ ايران‌,5522,19342716,247873449430,13040,12810,12780,-260,-1.99,12810,-230,-1.76,12780,13190
23,سمگا,گروه سرمايه گذاري ميراث فرهنگي,5159,13453820,428317339387,30678,30700,30909,231,0.75,31836,1158,3.77,30700,32500
24,رافزا,رايان هم افزا,5153,286375,31088870000,102416,108560,108560,6144,6,105663,3247,3.17,108560,108560
25,گشان,توسعه بين المللي پديده شانديز,5049,13712715,428232410729,32471,31173,31200,-1271,-3.91,31229,-1242,-3.82,31173,31953
26,وپست,پست بانك ايران,5013,17894109,420731463840,23240,24190,22780,-460,-1.98,23510,270,1.16,22780,24490
27,فروي,ذوب روي اصفهان,4697,2977945,192363890398,62489,63530,64060,1571,2.51,64596,2107,3.37,63500,65880
