,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,31458,30725736,4175993862790,138160,135510,135470,-2690,-1.95,135910,-2250,-1.63,133000,139010
3,وبملت,بانك ملت,17752,491265655,2264635342054,4500,4600,4535,35,0.78,4610,110,2.44,4470,4740
4,وسپهر,سرمايه گذاري مالي سپهرصادرات,17702,55265447,557212430339,10098,9820,10101,3,0.03,10082,-16,-0.16,9796,10101
5,پالايش,صندوق پالايشي يکم-سهام,15445,19794092,1389609849280,73010,70500,70090,-2920,-4,70200,-2810,-3.85,70090,70800
6,وتجارت,بانك تجارت,10898,417413089,1069627281964,2620,2550,2550,-70,-2.67,2563,-57,-2.18,2550,2660
7,كارين2,صندوق س نگين سامان-ثابت,10000,100000000,100000000,10063,1,1,-10062,-99.99,1,-10062,-99.99,1,1
8,اپال,فرآوري معدني اپال كاني پارس,8335,5565735,94651750020,17010,17000,17060,50,0.29,17010,0,0,16860,17100
9,وبصادر,بانك صادرات ايران,7339,262839882,592957328340,2300,2240,2240,-60,-2.61,2256,-44,-1.91,2240,2349
10,شستا,سرمايه گذاري تامين اجتماعي,7206,44203443,486786988970,11350,11010,11010,-340,-3,11010,-340,-3,11010,11190
11,ثاميد,توسعه و عمران اميد,5884,50350412,73101716206,1490,1450,1450,-40,-2.68,1452,-38,-2.55,1450,1479
12,امينح,ح . تامين سرمايه امين,4827,7050806,33824427340,5090,4800,4790,-300,-5.89,4800,-290,-5.7,4790,4920
13,وپاسار,بانك  پاسارگاد,4757,29781678,445488683690,14610,14960,15000,390,2.67,14960,350,2.4,14890,15070
14,كرمان,س. توسعه و عمران استان كرمان,4696,180402072,222998506716,1268,1251,1230,-38,-3,1236,-32,-2.52,1230,1270
15,امين,تامين سرمايه امين,4150,3648998,25519265700,7020,6990,7020,0,0,7010,-10,-0.14,6990,7020
16,بوعلي,پتروشيمي بوعلي سينا,4058,2261774,96065436450,43000,41760,42150,-850,-1.98,42470,-530,-1.23,41710,43000
17,كمند,صندوق س. با درآمد ثابت كمند,3642,133969735,1360343823844,10149,10154,10155,6,0.06,10154,5,0.05,10153,10156
18,آريا,پليمر آريا ساسول,3579,1160620,100406471474,87540,86190,87130,-410,-0.47,86511,-1029,-1.18,85000,87700
19,وكبهمن,مديريت سرمايه گذاري كوثربهمن,3316,2077197,21391555652,10607,10317,10289,-318,-3,10471,-136,-1.28,10289,10380
20,وپارس,بانك‌پارسيان‌,3132,118482484,287936940556,2480,2410,2420,-60,-2.42,2430,-50,-2.02,2410,2500
21,بگيلان,توسعه مسير برق گيلان,3081,782595,15793960922,20362,20231,20007,-355,-1.74,20304,-58,-0.28,19802,20600
