,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,70109,102870527,7695506144490,70970,76500,73300,2330,3.28,74810,3840,5.41,72000,77490
3,سپيدار,سپيدار سيستم آسيا,41694,3113350,153988486386,50428,49230,47908,-2520,-5,49461,-967,-1.92,47907,51980
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,38904,32128255,4159346315520,123620,129250,126100,2480,2.01,129460,5840,4.72,125000,135900
5,فگستر,گسترش صنايع روي ايرانيان,33304,4350844,43991383684,9630,10111,10111,481,4.99,10111,481,4.99,10111,10111
6,چخزر,صنايع چوب خزر كاسپين,32535,5366662,184610328632,32996,34645,34645,1649,5,34399,1403,4.25,33400,34645
7,غزر,صنعتي زر ماكارون,27175,16055760,370758064470,24240,23030,23030,-1210,-4.99,23090,-1150,-4.74,23030,23940
8,فتوسا,توليد و توسعه سرب روي ايرانيان,23641,1585681,17456762129,10485,11009,11009,524,5,11009,524,5,11009,11009
9,خودرو,ايران‌ خودرو,19333,621306060,1127232839544,1767,1845,1765,-2,-0.11,1814,47,2.66,1731,1855
10,فملي,ملي‌ صنايع‌ مس‌ ايران‌,19206,124471852,1584726156120,12400,13010,12480,80,0.65,12730,330,2.66,12350,13020
11,فولاد,فولاد مباركه اصفهان,17198,189740020,1853228501870,9390,9850,9610,220,2.34,9770,380,4.05,9450,9850
12,خساپا,سايپا,16836,528877466,868573820153,1606,1671,1602,-4,-0.25,1642,36,2.24,1590,1686
13,ثبهساز,بهساز كاشانه تهران,16761,117764812,213402699143,1814,1820,1747,-67,-3.69,1812,-2,-0.11,1724,1900
14,بركت,گروه دارويي بركت,15584,55249924,1396091699280,24230,25440,25440,1210,4.99,25270,1040,4.29,24450,25440
15,شپنا,پالايش نفت اصفهان,15177,327049780,3423675738770,9980,10470,10470,490,4.91,10470,490,4.91,10310,10470
16,غگيلا,شيرپاستوريزه پگاه گيلان,14693,13408207,238487979937,17199,17700,17880,681,3.96,17787,588,3.42,16860,18058
17,شستا,سرمايه گذاري تامين اجتماعي,14346,79426221,838135101090,10170,10630,10290,120,1.18,10550,380,3.74,10200,10670
18,كزغال,زغال سنگ پروده طبس,14035,9762910,304502860290,30069,31572,31134,1065,3.54,31190,1121,3.73,30350,31572
19,كرمان,س. توسعه و عمران استان كرمان,13917,561364092,559830102034,957,1004,1004,47,4.91,997,40,4.18,970,1004
20,وبملت,بانك ملت,12686,288221418,1150045802804,3988,4070,3910,-78,-1.96,3990,2,0.05,3850,4148
21,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,10514,348625740,693400337405,1937,2030,1929,-8,-0.41,1989,52,2.68,1903,2033
22,امينح,ح . تامين سرمايه امين,9829,6114575,31282607260,5140,5170,5060,-80,-1.56,5120,-20,-0.39,4990,5200
23,شتران,پالايش نفت تهران,9765,149565894,1213125572230,7760,8140,8140,380,4.9,8110,350,4.51,7910,8140
24,وتجارت,بانك تجارت,8986,276334416,563255952665,1970,2058,1985,15,0.76,2038,68,3.45,1960,2068
25,غكورش,صنعت غذايي كورش,8768,1607824,53074270240,31440,33010,33010,1570,4.99,33010,1570,4.99,33010,33010
26,شبندر,پالايش نفت بندرعباس,8265,63483785,1397685509820,21060,22110,21640,580,2.75,22020,960,4.56,21320,22110
27,ثاميد,توسعه و عمران اميد,8246,93176212,141061830613,1528,1554,1458,-70,-4.58,1514,-14,-0.92,1453,1587
28,ذوب,سهامي ذوب آهن  اصفهان,8081,298996195,978612246429,3120,3276,3275,155,4.97,3273,153,4.9,3222,3276
29,وبصادر,بانك صادرات ايران,7576,272238144,527527282996,1852,1944,1918,66,3.56,1938,86,4.64,1890,1944
30,پتاير,ايران‌ تاير,7244,135884299,384074456299,2907,2970,2762,-145,-4.99,2826,-81,-2.79,2762,2980
31,كاما,باما,7080,47999491,415622356520,8790,9000,8360,-430,-4.89,8660,-130,-1.48,8360,9180
32,آريا,پليمر آريا ساسول,6969,4066189,340977637944,80363,84381,82996,2633,3.28,83857,3494,4.35,82600,84381
33,كوير,توليدي فولاد سپيد فراب كوير,6755,38725412,525292781860,13140,13450,13280,140,1.07,13560,420,3.2,12860,13790
34,خبهمن,گروه‌بهمن‌,6617,230447004,269459520923,1167,1206,1132,-35,-3,1169,2,0.17,1112,1219
35,پترول,گروه پتروشيمي س. ايرانيان,6614,35668274,317074630160,8800,9010,8700,-100,-1.14,8890,90,1.02,8550,9200
36,ولپارس,ليزينگ پارسيان,6489,12599857,50979421800,4138,4159,3932,-206,-4.98,4046,-92,-2.22,3932,4165
37,وخارزم,سرمايه گذاري خوارزمي,6385,127381911,506604120753,3812,4002,3992,180,4.72,3977,165,4.33,3850,4002
38,خزاميا,زامياد,6216,67990949,411394220330,6170,6200,5870,-300,-4.86,6050,-120,-1.94,5870,6390
39,كاذر,فرآورده‌هاي‌نسوزآذر,5970,29549587,445258343530,15750,14970,14970,-780,-4.95,15070,-680,-4.32,14970,15700
40,آبادا,توليد نيروي برق آبادان,5639,4838246,49501777290,9810,10300,10170,360,3.67,10230,420,4.28,9910,10300
41,شگويا,پتروشيمي تندگويان,5600,28698081,257597483430,8897,9100,8739,-158,-1.78,8976,79,0.89,8580,9200
42,وسپهر,سرمايه گذاري مالي سپهرصادرات,5452,12175964,111039100699,9149,9096,9094,-55,-0.6,9120,-29,-0.32,9094,9300
43,وكبهمن,مديريت سرمايه گذاري كوثربهمن,5425,4127319,45671006917,10885,11001,11002,117,1.07,11066,181,1.66,10670,11320
44,امين يكم,صندوق درآمد ثابت امين يكم فردا,5332,192416347,1931394687511,10035,10039,10041,6,0.06,10038,3,0.03,10030,10041
45,بوعلي,پتروشيمي بوعلي سينا,5328,2004777,91341529290,44290,45310,44700,410,0.93,45560,1270,2.87,44440,46320
46,اپال,فرآوري معدني اپال كاني پارس,5264,13055680,244526513660,18690,18890,18770,80,0.43,18730,40,0.21,18690,18900
47,فاراك,ماشين‌ سازي‌ اراك‌,5233,124423024,266906957891,2084,2116,2070,-14,-0.67,2145,61,2.93,2020,2188
48,حكشتي,كشتيراني جمهوري اسلامي ايران,4949,18942866,258116828710,13710,14090,13350,-360,-2.63,13630,-80,-0.58,13100,14340
49,دانا,بيمه دانا,4945,49715137,259772064150,5380,5420,5130,-250,-4.65,5230,-150,-2.79,5120,5550
50,كمند,صندوق س. با درآمد ثابت كمند,4841,252007080,2554747930518,10133,10137,10138,5,0.05,10138,5,0.05,10137,10140
51,ودي,بيمه  دي,4528,34507858,631219370875,19107,18152,18265,-842,-4.41,18292,-815,-4.27,18152,18700
52,فارس,صنايع پتروشيمي خليج فارس,4466,37542568,357595734850,9390,9500,9380,-10,-0.11,9530,140,1.49,9240,9810
53,وپاسار,بانك  پاسارگاد,4376,65364979,1033499706200,15780,15800,15830,50,0.32,15810,30,0.19,15490,15840
54,وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,4304,2579107,360838914180,146420,139100,140400,-6020,-4.11,139910,-6510,-4.45,139100,143800
