,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,چخزر,صنايع چوب خزر كاسپين,57430,7740758,255415174242,32622,30991,34253,1631,5,32996,374,1.15,30991,34253
3,پالايش,صندوق پالايشي يکم-سهام,54477,63626527,4515308290940,66700,67530,73370,6670,10,70970,4270,6.4,67530,73370
4,غگيلا,شيرپاستوريزه پگاه گيلان,34688,31644498,544240750896,17736,16850,17600,-136,-0.77,17199,-537,-3.03,16850,18500
5,دارا يكم,صندوق واسطه گري مالي يكم-سهام,31595,26005568,3214697759960,117060,118000,127000,9940,8.49,123620,6560,5.6,117560,128300
6,وپويا,سرمايه گذاري پويا,25857,55276725,306143144499,5619,5339,5651,32,0.57,5538,-81,-1.44,5339,5760
7,فتوسا,توليد و توسعه سرب روي ايرانيان,23924,1545948,16209264780,9986,10485,10485,499,5,10485,499,5,10485,10485
8,ثبهساز,بهساز كاشانه تهران,21012,149402325,270954005177,1805,1805,1816,11,0.61,1814,9,0.5,1770,1870
9,كوير,توليدي فولاد سپيد فراب كوير,14269,104954254,1379445076700,13590,12920,13360,-230,-1.69,13140,-450,-3.31,12920,13790
10,سپيدار,سپيدار سيستم آسيا,14252,3325518,167698667561,51617,52060,49457,-2160,-4.18,50428,-1189,-2.3,49457,52060
11,وبملت,بانك ملت,13663,288881925,1152129407017,3874,3884,4033,159,4.1,3988,114,2.94,3817,4057
12,ولپارس,ليزينگ پارسيان,11876,32737040,135480379841,4126,4332,4041,-85,-2.06,4138,12,0.29,3920,4332
13,پتاير,ايران‌ تاير,11396,240391559,698791336904,2902,2800,2923,21,0.72,2907,5,0.17,2800,3039
14,خساپا,سايپا,10173,414603637,665708505104,1536,1540,1612,76,4.95,1606,70,4.56,1540,1612
15,فاراك,ماشين‌ سازي‌ اراك‌,9660,223570947,466028816997,2168,2060,2088,-80,-3.69,2084,-84,-3.87,2060,2144
16,خودرو,ايران‌ خودرو,9402,437004822,772189270134,1688,1712,1772,84,4.98,1767,79,4.68,1689,1772
17,كاما,باما,9235,60040743,527989512090,8520,8500,8940,420,4.93,8790,270,3.17,8400,8940
18,فملي,ملي‌ صنايع‌ مس‌ ايران‌,9061,81333758,1008451678120,11830,12030,12420,590,4.99,12400,570,4.82,11910,12420
19,امينح,ح . تامين سرمايه امين,8723,5053531,25957188290,5024,4990,5150,126,2.51,5140,116,2.31,4960,5200
20,شستا,سرمايه گذاري تامين اجتماعي,8408,58872678,598565615420,9720,9670,10200,480,4.94,10170,450,4.63,9670,10200
21,غكورش,صنعت غذايي كورش,8310,1583237,49776971280,29950,31440,31440,1490,4.97,31440,1490,4.97,31440,31440
22,ثاخت,بين‌المللي‌توسعه‌ساختمان,7596,150244681,311818738740,2107,2002,2111,4,0.19,2075,-32,-1.52,2002,2149
23,وسپهر,سرمايه گذاري مالي سپهرصادرات,6525,8816532,80832667011,9094,9095,9102,8,0.09,9149,55,0.6,9094,9382
24,فولاد,فولاد مباركه اصفهان,6145,98191699,921701755030,8970,9040,9410,440,4.91,9390,420,4.68,9040,9410
25,امين يكم,صندوق درآمد ثابت امين يكم فردا,6124,174482467,1750906708532,10037,10042,10034,-3,-0.03,10035,-2,-0.02,10020,10043
26,وكبهمن,مديريت سرمايه گذاري كوثربهمن,5969,3740079,40710110540,10465,10465,10977,512,4.89,10885,420,4.01,10465,10988
27,ثاميد,توسعه و عمران اميد,5905,77446112,118352822534,1460,1501,1533,73,5,1528,68,4.66,1481,1533
28,وتجارت,بانك تجارت,5825,207255047,408263888881,1889,1900,1983,94,4.98,1970,81,4.29,1900,1983
29,سبزوا,سيمان لار سبزوار,5774,68969716,208784192482,3156,2999,2999,-157,-4.97,3027,-129,-4.09,2999,3140
30,كمند,صندوق س. با درآمد ثابت كمند,5380,305431522,3094804840751,10116,10132,10132,16,0.16,10133,17,0.17,10132,10134
31,دانا,بيمه دانا,5123,83628312,450143686010,5650,5370,5390,-260,-4.6,5380,-270,-4.78,5370,5500
32,خزاميا,زامياد,5094,51126320,315497856230,5900,6140,6190,290,4.92,6170,270,4.58,6090,6290
33,اپال,فرآوري معدني اپال كاني پارس,5073,7788993,145609987880,18330,18350,18800,470,2.56,18690,360,1.96,18350,18900
34,سيتا,سرمايه گذاري سيمان تامين,4971,4265642,64343908800,15000,15000,15100,100,0.67,15080,80,0.53,15000,15400
35,كلوند,كاشي‌ الوند,4841,14296142,282516092690,20100,19100,19810,-290,-1.44,19760,-340,-1.69,19100,20810
