,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,48997,77555081,5665744284570,72610,70230,72340,-270,-0.37,73050,440,0.61,69500,75300
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,21175,16605443,2176315151430,131940,128000,129700,-2240,-1.7,131060,-880,-0.67,127000,133940
4,شپنا,پالايش نفت اصفهان,20821,210033542,2297389044400,10520,10310,11020,500,4.75,10940,420,3.99,10220,11040
5,كزغال,زغال سنگ پروده طبس,18364,11344652,370925482574,32329,32500,31466,-863,-2.67,32696,367,1.14,31350,33899
6,فملي,ملي‌ صنايع‌ مس‌ ايران‌,16383,89333336,1179871206100,12990,12700,13100,110,0.85,13210,220,1.69,12670,13500
7,بركت,گروه دارويي بركت,15079,42216179,1155812265080,28450,27050,27030,-1420,-4.99,27380,-1070,-3.76,27030,28700
8,فگستر,گسترش صنايع روي ايرانيان,13183,2438395,15817868365,6179,6487,6487,308,4.98,6487,308,4.98,6487,6487
9,خودرو,ايران‌ خودرو,12137,355840919,693725239081,1936,1875,1920,-16,-0.83,1950,14,0.72,1875,2009
10,كاما,باما,10881,79639655,871306370070,11440,10870,10870,-570,-4.98,10940,-500,-4.37,10870,11270
11,شتران,پالايش نفت تهران,10027,80815942,665649574790,8000,7800,8190,190,2.38,8240,240,3,7800,8400
12,شستا,سرمايه گذاري تامين اجتماعي,9739,35548778,390874598810,10960,10570,10830,-130,-1.19,11000,40,0.36,10560,11290
13,فولاد,فولاد مباركه اصفهان,9348,59697544,770638353100,12730,12680,12750,20,0.16,12910,180,1.41,12570,13190
14,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,8651,195555296,428530909230,2223,2140,2155,-68,-3.06,2191,-32,-1.44,2113,2280
15,ذوب,سهامي ذوب آهن  اصفهان,8167,211482037,733153703564,3449,3414,3390,-59,-1.71,3467,18,0.52,3352,3600
16,امينح,ح . تامين سرمايه امين,7950,5969787,28317704808,4643,4600,4800,157,3.38,4744,101,2.18,4568,4985
17,شبندر,پالايش نفت بندرعباس,7922,58454179,1303988507350,21380,21490,22440,1060,4.96,22310,930,4.35,21050,22440
18,وتجارت,بانك تجارت,7165,160051915,388016290845,2489,2382,2392,-97,-3.9,2424,-65,-2.61,2380,2520
19,حكشتي,كشتيراني جمهوري اسلامي ايران,6926,26831368,435663341730,15950,15500,16590,640,4.01,16240,290,1.82,15210,16700
20,ثاميد,توسعه و عمران اميد,6628,39007748,52189186635,1342,1331,1321,-21,-1.56,1338,-4,-0.3,1313,1370
21,كرمان,س. توسعه و عمران استان كرمان,6575,229392379,242820960272,1100,1086,1050,-50,-4.55,1059,-41,-3.73,1045,1099
22,خبهمن,گروه‌بهمن‌,6057,272953806,350835552819,1326,1290,1288,-38,-2.87,1285,-41,-3.09,1260,1349
23,بوعلي,پتروشيمي بوعلي سينا,5921,2888879,126459740350,43210,43290,43520,310,0.72,43770,560,1.3,42230,44250
24,آريا,پليمر آريا ساسول,5436,2290897,208440917780,90477,89200,90665,188,0.21,90987,510,0.56,89200,92500
25,وكبهمن,مديريت سرمايه گذاري كوثربهمن,5230,3621115,38097525226,10240,10210,10715,475,4.64,10521,281,2.74,10090,10715
26,پترول,گروه پتروشيمي س. ايرانيان,4913,28177052,250948552930,8780,8500,8850,70,0.8,8910,130,1.48,8400,9110
27,شگويا,پتروشيمي تندگويان,4690,22222510,202608082818,8854,8774,9056,202,2.28,9117,263,2.97,8635,9296
28,وبصادر,بانك صادرات ايران,4251,85125267,184672961957,2214,2145,2151,-63,-2.85,2169,-45,-2.03,2130,2230
29,بترانس,ايران‌ ترانسفو,4007,78348709,202632217476,2700,2570,2565,-135,-5,2586,-114,-4.22,2565,2670
30,پيزد,مجتمع صنايع لاستيك يزد,3976,686743,40424279162,61271,58208,58890,-2381,-3.89,58864,-2407,-3.93,58208,59400
31,امين يكم,صندوق درآمد ثابت امين يكم فردا,3972,141523296,1434490236068,10129,10136,10135,6,0.06,10136,7,0.07,10132,10140
32,وپاسار,بانك  پاسارگاد,3760,52715234,899758884710,17030,17040,17080,50,0.29,17070,40,0.23,17030,17090
33,كلوند,كاشي‌ الوند,3660,12723791,283087810480,22870,23510,21730,-1140,-4.98,22250,-620,-2.71,21730,23510
34,وبانك,سرمايه گذاري گروه توسعه ملي,3609,32169076,233232847760,7460,7200,7240,-220,-2.95,7250,-210,-2.82,7090,7500
35,بپيوند,برق و انرژي پيوندگستر پارس,3564,2263405,24767287511,11218,10900,10733,-485,-4.32,10942,-276,-2.46,10702,11214
36,وخارزم,سرمايه گذاري خوارزمي,3529,39937590,172972361416,4499,4360,4275,-224,-4.98,4331,-168,-3.73,4275,4460
37,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,3314,20280454,207967151910,10110,9710,10150,40,0.4,10250,140,1.38,9710,10480
38,امين,تامين سرمايه امين,3229,2437290,17012378060,6990,6990,6990,0,0,6980,-10,-0.14,6650,7000
39,بگيلان,توسعه مسير برق گيلان,3214,881497,17500834750,19932,19210,19600,-332,-1.67,19892,-40,-0.2,19210,20190
40,ومعادنح,ح . توسعه‌معادن‌وفلزات‌,3119,48341808,292439276910,5520,5360,6070,550,9.96,6050,530,9.6,5320,6070
41,كمند,صندوق س. با درآمد ثابت كمند,3099,118897060,1195558867127,10040,10056,10056,16,0.16,10055,15,0.15,10055,10057
42,فمراد,آلومراد,3057,1562926,145080642210,94290,99000,89580,-4710,-5,92830,-1460,-1.55,89580,99000
43,وسپهر,سرمايه گذاري مالي سپهرصادرات,3020,6053788,56598500490,9005,9355,9360,355,3.94,9179,174,1.93,9050,9700
44,وخارزمح,ح.سرمايه گذاري خوارزمي,2979,14465691,42728498671,3011,2797,2930,-81,-2.69,2954,-57,-1.89,2797,3136
45,فخوز,فولاد  خوزستان,2879,18105159,274079129970,14920,14350,15160,240,1.61,15140,220,1.47,14350,15400
46,فارس,صنايع پتروشيمي خليج فارس,2580,20603287,185378291200,8860,8980,9130,270,3.05,9000,140,1.58,8830,9130
47,وپست,پست بانك ايران,2556,21422979,426022997500,19120,18300,20070,950,4.97,19890,770,4.03,18300,20070
48,آبادا,توليد نيروي برق آبادان,2484,1371889,15775592350,12040,11600,11440,-600,-4.98,11500,-540,-4.49,11440,11980
49,ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,2450,49694689,257999660440,5460,5190,5190,-270,-4.95,5190,-270,-4.95,5190,5270
50,وساپا,سرمايه‌گذاري‌ سايپا,2437,41831071,207631912478,4774,4730,4889,115,2.41,4964,190,3.98,4580,5012
51,سيتا,سرمايه گذاري سيمان تامين,2409,3600636,54014684810,15000,15010,15000,0,0,15000,0,0,15000,15020
52,رانفور,خدمات‌انفورماتيك‌,2374,20634132,128847564480,6350,6620,6400,50,0.79,6240,-110,-1.73,6040,6620
53,توريل,توکاريل,2366,10750884,181749821265,24711,17499,16790,-7921,-32.05,16906,-7805,-31.59,16625,17500
54,غگل,گلوكوزان‌,2331,30857352,83624767098,2764,2717,2679,-85,-3.08,2710,-54,-1.95,2630,2820
55,حفاري,حفاري شمال,2251,17873050,108141158260,6260,6100,6010,-250,-3.99,6050,-210,-3.35,5950,6280
56,شبريز,پالايش نفت تبريز,2098,5114340,136664289440,26240,25100,26590,350,1.33,26720,480,1.83,25010,27380
57,كارين,صندوق س نگين سامان-ثابت,2088,101227143,1026528224656,10126,10144,10142,16,0.16,10141,15,0.15,10137,10145
58,اخابر,مخابرات ايران,2082,17510438,149569491480,8860,8470,8420,-440,-4.97,8540,-320,-3.61,8420,8850
59,كيان,صندوق س. با درآمد ثابت كيان,2080,38084486,1082752409094,28401,28435,28430,29,0.1,28430,29,0.1,28429,28435
60,كگلح,ح . معدني و صنعتي گل گهر,1977,8574985,102474840000,10960,10510,12050,1090,9.95,11950,990,9.03,10510,12050
61,وپارس,بانك‌پارسيان‌,1850,69318777,170736222694,2442,2442,2462,20,0.82,2463,21,0.86,2441,2496
62,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,1811,34520970,1257413893380,36379,36425,36426,47,0.13,36425,46,0.13,36424,36427
63,نوري,پتروشيمي نوري,1806,1572984,94330763060,59330,58500,59700,370,0.62,59930,600,1.01,58500,61000
64,كماسه,تامين‌ ماسه‌ ريخته‌گري‌,1800,3083872,99943764520,33940,32250,32250,-1690,-4.98,32410,-1530,-4.51,32250,33380
65,ماديرا,صنايع ماشين هاي اداري ايران,1748,6896050,51350196479,7374,7100,7400,26,0.35,7446,72,0.98,7100,7698
66,صبا,سرمايه گذاري صبا تامين,1721,3688840,27659369835,7558,7470,7430,-128,-1.69,7544,-14,-0.19,7310,7650
67,ونوين,بانك‌اقتصادنوين‌,1715,26773990,111982250463,4253,4240,4153,-100,-2.35,4183,-70,-1.65,4090,4353
68,كگل,معدني و صنعتي گل گهر,1678,31166371,451783298100,13820,13840,14510,690,4.99,14500,680,4.92,13840,14510
69,قرن,پديده شيمي قرن,1633,1089033,66922944070,60890,60200,61500,610,1,61450,560,0.92,60200,62870
70,وبوعلي,سرمايه‌گذاري‌بوعلي‌,1617,16300738,96907778930,5880,5900,5880,0,0,5940,60,1.02,5740,6060
71,خاور,ايران خودرو ديزل,1594,27141709,132681271835,5020,4870,4870,-150,-2.99,4888,-132,-2.63,4870,5143
72,ولساپا,ليزينگ رايان‌ سايپا,1541,25011962,74544467424,3112,2957,2957,-155,-4.98,2980,-132,-4.24,2957,3095
73,شپترو,پتروشيمي آبادان,1532,57335202,264577165381,4481,4615,4615,134,2.99,4615,134,2.99,4555,4615
74,آگاس,صندوق س.هستي بخش آگاه-س,1525,1798123,116146896561,63930,63001,64206,276,0.43,64593,663,1.04,62440,66000
75,هرمز,فولاد هرمزگان جنوب,1491,22020321,338046379085,14956,14800,15703,747,4.99,15352,396,2.65,14490,15703
76,سصوفي,سيمان‌ صوفيان‌,1465,5275247,75875544310,14860,14200,14120,-740,-4.98,14380,-480,-3.23,14120,14930
77,بجهرم,توسعه مولد نيروگاهي جهرم,1464,15440483,35169545240,2246,2186,2262,16,0.71,2278,32,1.42,2186,2333
78,سرو,صندوق س سروسودمند مدبران-سهام,1427,1799489,114361553000,63150,62110,63450,300,0.48,63550,400,0.63,61500,64900
79,درهآور,دارويي ره آورد تامين,1420,3406366,100677795266,30976,30300,29428,-1548,-5,29556,-1420,-4.58,29428,31500
80,سفارس,سيمان فارس و خوزستان,1390,6855105,108365725970,15290,14910,15690,400,2.62,15810,520,3.4,14910,16050
81,شسپا,نفت سپاهان,1314,5285287,82877969660,15530,14850,15390,-140,-0.9,15680,150,0.97,14850,16200
82,ومعادن,توسعه‌معادن‌وفلزات‌,1297,25592688,203301503690,7600,7300,7980,380,5,7940,340,4.47,7300,7980
