,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,36256,46776347,3232047753050,67220,66800,71000,3780,5.62,69100,1880,2.8,66200,71000
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,24850,22748682,3017083385030,131790,129000,134830,3040,2.31,132630,840,0.64,128700,135400
4,خودرو,ايران‌ خودرو,20074,784428921,1457236504544,1894,1838,1898,4,0.21,1858,-36,-1.9,1838,1924
5,شپنا,پالايش نفت اصفهان,19858,167829919,1617709057840,9700,9410,9970,270,2.78,9640,-60,-0.62,9410,10080
6,فملي,ملي‌ صنايع‌ مس‌ ايران‌,17164,143950159,1777142839040,11850,11790,12560,710,5.99,12350,500,4.22,11670,12560
7,خساپا,سايپا,17061,772516419,1402537390322,1859,1804,1836,-23,-1.24,1816,-43,-2.31,1804,1877
8,شستا,سرمايه گذاري تامين اجتماعي,15059,77986157,832199862030,10270,10110,10880,610,5.94,10670,400,3.89,10110,10880
9,فولاد,فولاد مباركه اصفهان,12821,106481412,1279381849560,11580,11410,12270,690,5.96,12020,440,3.8,11400,12270
10,اپال,فرآوري معدني اپال كاني پارس,12815,9887790,171972986260,17220,17220,17540,320,1.86,17390,170,0.99,17210,17680
11,بركت,گروه دارويي بركت,12226,50645615,1371777909620,27850,27020,27050,-800,-2.87,27090,-760,-2.73,27020,27670
12,وكارح,ح . بانك‌ كارآفرين‌,12057,2755771057,3698573776431,1427,1342,1342,-85,-5.96,1342,-85,-5.96,1342,1598
13,شتران,پالايش نفت تهران,11030,93952787,713492492990,7670,7440,7820,150,1.96,7590,-80,-1.04,7440,8000
14,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,9447,298129559,671086464067,2316,2247,2265,-51,-2.2,2251,-65,-2.81,2247,2278
15,شبندر,پالايش نفت بندرعباس,8062,33529450,641888241920,19180,18610,19740,560,2.92,19140,-40,-0.21,18610,20220
16,ذوب,سهامي ذوب آهن  اصفهان,7716,154168653,481737173030,2996,2970,3175,179,5.97,3125,129,4.31,2934,3175
17,وتجارت,بانك تجارت,7544,202415077,496532763497,2435,2435,2468,33,1.36,2453,18,0.74,2435,2516
18,كمند,صندوق س. با درآمد ثابت كمند,7133,353752401,3547148866733,10023,10029,10027,4,0.04,10027,4,0.04,10026,10029
19,امينح,ح . تامين سرمايه امين,6828,4195081,19912104427,4727,4600,4705,-22,-0.47,4747,20,0.42,4600,4847
20,خبهمن,گروه‌بهمن‌,6303,389576223,520995789337,1363,1323,1365,2,0.15,1337,-26,-1.91,1323,1380
21,وبصادر,بانك صادرات ايران,6031,196001379,437551805953,2215,2215,2231,16,0.72,2232,17,0.77,2215,2278
22,پترول,گروه پتروشيمي س. ايرانيان,5989,58451505,476306863210,7750,7660,8210,460,5.94,8150,400,5.16,7660,8210
23,بترانس,ايران‌ ترانسفو,5942,206109849,565489396460,2814,2730,2732,-82,-2.91,2744,-70,-2.49,2730,2880
24,وپاسار,بانك  پاسارگاد,5722,67556665,1118702532680,16390,16510,16700,310,1.89,16560,170,1.04,16470,16900
25,بوعلي,پتروشيمي بوعلي سينا,5686,4335246,183070574480,42410,42020,42050,-360,-0.85,42230,-180,-0.42,41570,42980
26,آريا,پليمر آريا ساسول,5612,2094484,183265118580,84704,84100,88970,4266,5.04,87499,2795,3.3,84100,89206
27,دماوند,توليد نيروي برق دماوند,5485,8205540,252273529896,29760,30000,31040,1280,4.3,30744,984,3.31,29800,31399
28,وكبهمن,مديريت سرمايه گذاري كوثربهمن,5476,1470838,14833278176,10055,9831,10130,75,0.75,10064,9,0.09,9831,10210
29,شگويا,پتروشيمي تندگويان,5206,28363973,238914674141,8143,7990,8631,488,5.99,8423,280,3.44,7990,8631
30,فارس,صنايع پتروشيمي خليج فارس,4239,50274556,416594067050,8180,7990,8490,310,3.79,8290,110,1.34,7950,8610
31,غگل,گلوكوزان‌,4199,47970319,131721400612,2705,2700,2850,145,5.36,2746,41,1.52,2632,2860
32,ثاميد,توسعه و عمران اميد,4116,42551397,56684627614,1373,1332,1336,-37,-2.69,1332,-41,-2.99,1332,1349
33,بپيوند,برق و انرژي پيوندگستر پارس,4114,2942480,31641655499,10970,10641,10803,-167,-1.52,10828,-142,-1.29,10641,10967
34,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,4056,35502398,343665160500,9300,9110,9850,550,5.91,9680,380,4.09,9110,9850
35,سيتا,سرمايه گذاري سيمان تامين,3743,6255902,93846274310,15000,15000,15000,0,0,15000,0,0,15000,15010
36,امين,تامين سرمايه امين,3670,2933967,20513411950,6990,6990,6990,0,0,6990,0,0,6990,7010
37,هصادر108,اختيارف ت وبصادر-3200-01/08/10,3426,550000000,160600000000,1,292,292,291,29100,292,291,29100,292,292
38,بگيلان,توسعه مسير برق گيلان,3382,476668,9360119741,19981,19395,19710,-271,-1.36,19915,-66,-0.33,19391,20090
39,صبا,سرمايه گذاري صبا تامين,3000,16500364,122555668233,7323,7120,7540,217,2.96,7427,104,1.42,7110,7660
40,امين يكم,صندوق درآمد ثابت امين يكم فردا,2952,91076684,921283210136,10112,10115,10115,3,0.03,10115,3,0.03,10111,10120
41,وخارزمح,ح.سرمايه گذاري خوارزمي,2768,20777312,56306968465,2689,2570,2832,143,5.32,2710,21,0.78,2570,2859
42,بجهرم,توسعه مولد نيروگاهي جهرم,2491,34039366,73112246039,2128,2065,2219,91,4.28,2148,20,0.94,2065,2223
43,وپارس,بانك‌پارسيان‌,2432,66484995,160649933992,2388,2393,2410,22,0.92,2416,28,1.17,2393,2449
44,شپلي,پلي اكريل ايران,2413,35039463,282600377735,8073,8234,7912,-161,-1.99,8065,-8,-0.1,7912,8234
45,ماديرا,صنايع ماشين هاي اداري ايران,2413,19692241,141205413186,7264,7047,7300,36,0.5,7171,-93,-1.28,7047,7686
46,وساپا,سرمايه‌گذاري‌ سايپا,2355,27846379,123458866048,4286,4175,4543,257,6,4434,148,3.45,4175,4543
47,ومعادنح,ح . توسعه‌معادن‌وفلزات‌,2343,13379452,65362559730,4670,4600,5010,340,7.28,4890,220,4.71,4570,5070
48,شبريز,پالايش نفت تبريز,2341,7702074,188629552170,24870,24130,25000,130,0.52,24490,-380,-1.53,24130,25540
49,شيران,س. صنايع‌شيميايي‌ايران,2132,7965045,153753774560,19650,19070,19740,90,0.46,19300,-350,-1.78,19070,20300
50,فخوز,فولاد  خوزستان,2100,16384345,236768721330,14090,13770,14760,670,4.76,14450,360,2.56,13770,14860
51,وبوعلي,سرمايه‌گذاري‌بوعلي‌,2059,27288919,154547869550,5750,5600,5780,30,0.52,5660,-90,-1.57,5580,5850
52,ونوين,بانك‌اقتصادنوين‌,2025,35222278,149038603624,4232,4120,4310,78,1.84,4231,-1,-0.02,4110,4340
53,ضسپا3002,اختيارخ خساپا-1800-1400/03/26,1993,101476,7894723000,73,75,84,11,15.07,78,5,6.85,65,99
54,وخارزم,سرمايه گذاري خوارزمي,1984,29758457,133637425074,4624,4486,4486,-138,-2.98,4491,-133,-2.88,4486,4550
55,نوري,پتروشيمي نوري,1966,1905960,105628058790,54540,53010,56800,2260,4.14,55420,880,1.61,53010,56850
56,كلوند,كاشي‌ الوند,1902,8696612,177030207090,46490,20000,21200,-25290,-54.4,20360,-26130,-56.21,19400,21200
57,كيان,صندوق س. با درآمد ثابت كيان,1854,21656478,614227348581,28349,28363,28362,13,0.05,28362,13,0.05,28358,28365
58,فاسمين,كالسيمين‌,1786,7287957,98035785110,13410,13030,13730,320,2.39,13450,40,0.3,13020,13990
59,كرمان,س. توسعه و عمران استان كرمان,1585,54184536,60795049392,1156,1122,1122,-34,-2.94,1122,-34,-2.94,1122,1122
60,خصدرا,صنعتي‌ دريايي‌ ايران‌,1562,38813655,94668130089,2487,2438,2438,-49,-1.97,2439,-48,-1.93,2438,2478
61,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,1542,27753900,1008459047340,36321,36337,36337,16,0.04,36336,15,0.04,36335,36339
62,بپاس,بيمه پاسارگاد,1537,1864742,161985897944,86867,86867,86900,33,0.04,86868,1,0,84261,86999
63,سرو,صندوق س سروسودمند مدبران-سهام,1514,2011592,122373570920,59720,59340,61880,2160,3.62,60830,1110,1.86,59340,61940
64,ومعادن,توسعه‌معادن‌وفلزات‌,1505,15202952,106522990620,6950,6750,7200,250,3.6,7000,50,0.72,6750,7220
65,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,1374,9532518,93839640610,9750,9800,9940,190,1.95,9830,80,0.82,9470,10020
66,فجر,فولاد اميركبيركاشان,1362,1668841,93747017380,56370,54700,57800,1430,2.54,56170,-200,-0.35,54700,58590
67,كاوه,فولاد كاوه جنوب كيش,1362,10470173,201937984050,19230,18850,19620,390,2.03,19290,60,0.31,18660,19790
68,آگاس,صندوق س.هستي بخش آگاه-س,1360,1245375,77601242033,61132,61000,63389,2257,3.69,62312,1180,1.93,60790,63399
69,فنوال,نورد آلومينيوم‌,1345,2071973,56318741430,26960,27210,26930,-30,-0.11,27180,220,0.82,26550,27700
70,رمپنا,گروه مپنا (سهامي عام),1341,14706188,215652406320,15090,14640,14800,-290,-1.92,14660,-430,-2.85,14640,14910
71,كارين,صندوق س نگين سامان-ثابت,1293,61757967,624591375206,10111,10115,10114,3,0.03,10114,3,0.03,10113,10119
72,تاصيكو,سرمايه گذاري صدرتامين,1291,13669053,133223116610,9840,9870,9880,40,0.41,9750,-90,-0.91,9550,9970
73,تسه0001,امتيازتسهيلات مسكن فروردين1400,1290,43331,23400174419,547581,555337,530000,-17581,-3.21,540033,-7548,-1.38,522600,565000
74,آسيا,بيمه آسيا,1284,45503747,81277353471,1839,1784,1800,-39,-2.12,1786,-53,-2.88,1784,1832
75,تملت,تامين سرمايه بانك ملت,1280,8280307,39870176647,4934,4786,4850,-84,-1.7,4836,-98,-1.99,4786,4904
76,حفاري,حفاري شمال,1242,9240842,58537335000,6520,6330,6330,-190,-2.91,6330,-190,-2.91,6330,6450
77,آوا,صندوق س.سهام آواي معيار-س,1238,8301333,53393114369,6300,6300,6551,251,3.98,6432,132,2.1,6300,6589
78,فباهنرح,ح . مس‌ شهيدباهنر,1232,4279587,69703848540,15880,15700,16510,630,3.97,16290,410,2.58,15700,16800
79,البرز,بيمه البرز,1231,31084824,106297398320,3355,3261,3556,201,5.99,3420,65,1.94,3261,3556
80,سفارس,سيمان فارس و خوزستان,1206,6210486,88643947650,14020,13900,14500,480,3.42,14270,250,1.78,13750,14600
81,فباهنر,مس‌ شهيدباهنر,1155,2993258,68397604840,23270,22580,23350,80,0.34,22850,-420,-1.8,22580,23620
