,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,20763,17403862,1197591935380,70200,68760,68750,-1450,-2.07,68810,-1390,-1.98,68160,69820
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,18707,14565111,1965962132470,135910,135200,134050,-1860,-1.37,134980,-930,-0.68,133500,136780
4,وسپهر,سرمايه گذاري مالي سپهرصادرات,13377,33063373,333946299027,10082,10100,10100,18,0.18,10100,18,0.18,10100,10104
5,وبملت,بانك ملت,12044,236236690,1097161859179,4610,4610,4640,30,0.65,4644,34,0.74,4551,4701
6,ثاميد,توسعه و عمران اميد,10612,119559283,171261871319,1452,1411,1409,-43,-2.96,1432,-20,-1.38,1409,1515
7,شستا,سرمايه گذاري تامين اجتماعي,10125,35707965,383539990040,11010,10710,10720,-290,-2.63,10740,-270,-2.45,10690,11000
8,اپال,فرآوري معدني اپال كاني پارس,9962,5175375,88590166640,17010,17010,17170,160,0.94,17090,80,0.47,17010,17200
9,فولاد,فولاد مباركه اصفهان,9929,95381332,1117632133810,12070,11710,11710,-360,-2.98,11720,-350,-2.9,11710,11860
10,امينح,ح . تامين سرمايه امين,8464,6595411,32555784550,4800,4670,4900,100,2.08,4940,140,2.92,4670,5040
11,شگويا,پتروشيمي تندگويان,6297,27447680,234011153329,8386,8170,8570,184,2.19,8526,140,1.67,8170,8749
12,فملي,ملي‌ صنايع‌ مس‌ ايران‌,5614,47819563,537249140370,11570,11230,11230,-340,-2.94,11230,-340,-2.94,11230,11400
13,پترول,گروه پتروشيمي س. ايرانيان,5141,32498140,261095073260,8260,8030,8020,-240,-2.91,8030,-230,-2.78,8020,8190
14,كمند,صندوق س. با درآمد ثابت كمند,4831,210471192,2138339593129,10154,10160,10161,7,0.07,10160,6,0.06,10159,10161
15,كرمان,س. توسعه و عمران استان كرمان,4775,178798915,214778777194,1236,1202,1199,-37,-2.99,1201,-35,-2.83,1199,1226
16,امين,تامين سرمايه امين,4240,2757110,19296874900,7010,6990,7020,10,0.14,7010,0,0,6990,7020
17,وبصادر,بانك صادرات ايران,4224,139063938,306410907050,2256,2200,2189,-67,-2.97,2203,-53,-2.35,2189,2256
18,وكبهمن,مديريت سرمايه گذاري كوثربهمن,3658,1704644,17406830292,10471,10181,10201,-270,-2.58,10377,-94,-0.9,10180,10300
19,بوعلي,پتروشيمي بوعلي سينا,3523,805825,33578187620,42470,41610,41590,-880,-2.07,42010,-460,-1.08,41510,42010
20,سيتا,سرمايه گذاري سيمان تامين,3416,7470721,112063714770,15000,15000,15000,0,0,15000,0,0,15000,15010
21,امين يكم,صندوق درآمد ثابت امين يكم فردا,3393,127032945,1282588844827,10095,10096,10099,4,0.04,10097,2,0.02,10093,10099
22,آريا,پليمر آريا ساسول,3351,992894,84599240682,86511,85000,85449,-1062,-1.23,85367,-1144,-1.32,84528,86210
23,ومعادنح,ح . توسعه‌معادن‌وفلزات‌,3288,12990428,62447988620,5020,4730,4850,-170,-3.39,4810,-210,-4.18,4730,4900
24,خبهمن,گروه‌بهمن‌,3234,234301194,328632700730,1444,1401,1401,-43,-2.98,1403,-41,-2.84,1401,1437
25,دماوند,توليد نيروي برق دماوند,2884,5653248,152154443889,25617,25950,27154,1537,6,26915,1298,5.07,25920,27154
26,وتجارت,بانك تجارت,2580,74251844,184971002791,2563,2500,2487,-76,-2.97,2491,-72,-2.81,2487,2520
27,بگيلان,توسعه مسير برق گيلان,2560,386076,7641454497,20304,19789,19750,-554,-2.73,20223,-81,-0.4,19695,20299
28,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,2434,27342814,259743924390,9770,9490,9480,-290,-2.97,9500,-270,-2.76,9480,9690
29,وپارس,بانك‌پارسيان‌,2384,79897663,191110834897,2430,2362,2358,-72,-2.96,2392,-38,-1.56,2358,2443
30,تسه0001,امتيازتسهيلات مسكن فروردين1400,2163,41199,21789851259,531657,526600,539000,7343,1.38,528893,-2764,-0.52,517000,547900
31,وپاسار,بانك  پاسارگاد,2158,15116920,228737531430,14960,15120,15110,150,1,15130,170,1.14,15090,15250
32,تملت,تامين سرمايه بانك ملت,2129,8430980,42209783489,4907,4941,5050,143,2.91,4990,83,1.69,4932,5110
33,وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,2041,3129061,148636030710,45260,46600,47970,2710,5.99,47500,2240,4.95,44190,47970
34,كيان,صندوق س. با درآمد ثابت كيان,1935,22875476,646382621754,28244,28270,28260,16,0.06,28257,13,0.05,28245,28270
35,سمازن,سيمان‌مازندران‌,1728,5553671,68104236000,11910,12000,12340,430,3.61,12260,350,2.94,11590,12460
36,ونوين,بانك‌اقتصادنوين‌,1727,24342719,107001812172,4380,4400,4444,64,1.46,4396,16,0.37,4300,4460
37,غگل,گلوكوزان‌,1725,31800185,91697965331,2971,2882,2882,-89,-3,2884,-87,-2.93,2882,2900
38,وساپا,سرمايه‌گذاري‌ سايپا,1635,13612948,59947852507,4427,4350,4427,0,0,4404,-23,-0.52,4350,4480
39,بپيوند,برق و انرژي پيوندگستر پارس,1624,1944457,21618959374,11460,11121,11117,-343,-2.99,11302,-158,-1.38,11117,11200
