,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,امينح,ح . تامين سرمايه امين,31622,15196110,75647035260,4621,4850,5110,489,10.58,4980,359,7.77,4700,5120
3,پالايش,صندوق پالايشي يکم-سهام,31164,33219350,2541910355640,75260,78500,75680,420,0.56,76520,1260,1.67,75100,78960
4,بركت,گروه دارويي بركت,20142,47780743,1543118965310,32450,32000,31810,-640,-1.97,32300,-150,-0.46,31810,33290
5,دارا يكم,صندوق واسطه گري مالي يكم-سهام,18194,12138379,1630106683370,132130,137300,133000,870,0.66,134290,2160,1.63,132100,137870
6,شپنا,پالايش نفت اصفهان,16774,127920241,1654973518530,13060,13230,12800,-260,-1.99,12940,-120,-0.92,12800,13400
7,شستا,سرمايه گذاري تامين اجتماعي,15885,59639336,671476299530,11130,11490,11160,30,0.27,11260,130,1.17,11100,11530
8,شتران,پالايش نفت تهران,14723,115756379,1169061657270,9910,10320,9980,70,0.71,10100,190,1.92,9910,10400
9,خودرو,ايران‌ خودرو,13599,379566063,927004580160,2470,2450,2430,-40,-1.62,2440,-30,-1.21,2430,2520
10,فملي,ملي‌ صنايع‌ مس‌ ايران‌,12651,50832600,617131694130,12150,12410,12030,-120,-0.99,12140,-10,-0.08,11980,12580
11,فولاد,فولاد مباركه اصفهان,10660,54293452,703737016140,13020,13380,12800,-220,-1.69,12960,-60,-0.46,12760,13410
12,خزاميا,زامياد,9152,78414178,691435919580,8450,8670,8950,500,5.92,8820,370,4.38,8420,8950
13,خساپا,سايپا,8936,383055567,889258648210,2350,2330,2310,-40,-1.7,2320,-30,-1.28,2310,2370
14,اپال,فرآوري معدني اپال كاني پارس,8798,11179394,200307243620,17910,18190,17910,0,0,17920,10,0.06,17750,18250
15,وكبهمن,مديريت سرمايه گذاري كوثربهمن,7435,2620990,30042790503,11625,11585,11417,-208,-1.79,11523,-102,-0.88,11400,11800
16,بوعلي,پتروشيمي بوعلي سينا,7113,1711982,71936917240,42000,42180,42100,100,0.24,42020,20,0.05,41700,42960
17,وتجارت,بانك تجارت,6961,202783426,559527869820,2800,2770,2750,-50,-1.79,2760,-40,-1.43,2750,2820
18,امين,تامين سرمايه امين,5908,4249916,29717054580,7000,7000,6990,-10,-0.14,7000,0,0,6990,7020
19,شبندر,پالايش نفت بندرعباس,5796,14757437,376878942670,25800,26100,25290,-510,-1.98,25540,-260,-1.01,25290,26590
20,وبملت,بانك ملت,5536,132650897,532317822460,4040,4070,4000,-40,-0.99,4010,-30,-0.74,3960,4120
21,سيتا,سرمايه گذاري سيمان تامين,5387,6637137,99745036770,15160,15100,15030,-130,-0.86,15030,-130,-0.86,15010,15100
22,بپيوند,برق و انرژي پيوندگستر پارس,5351,2446256,32546120821,13410,13365,13200,-210,-1.57,13337,-73,-0.54,13150,13770
23,پترول,گروه پتروشيمي س. ايرانيان,5151,21903066,217173962280,10000,10140,9800,-200,-2,9920,-80,-0.8,9800,10190
