,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,25809,31006682,2187263941730,70300,69490,70340,40,0.06,70540,240,0.34,68900,71820
3,بركت,گروه دارويي بركت,19817,70912877,1806877475380,26130,25300,25390,-740,-2.83,25480,-650,-2.49,24830,26890
4,خودرو,ايران‌ خودرو,16231,783602778,1503417489223,2010,1930,1910,-100,-4.98,1919,-91,-4.53,1910,1975
5,دارا يكم,صندوق واسطه گري مالي يكم-سهام,15741,10605641,1357244043260,129490,128000,127190,-2300,-1.78,127970,-1520,-1.17,126410,129760
6,كزغال,زغال سنگ پروده طبس,15095,11135554,376281062489,32464,32100,34087,1623,5,33791,1327,4.09,32100,34087
7,فگستر,گسترش صنايع روي ايرانيان,13663,2471626,18556968008,7151,7508,7508,357,4.99,7508,357,4.99,7508,7508
8,خساپا,سايپا,13653,642838894,1170693764974,1912,1818,1817,-95,-4.97,1821,-91,-4.76,1817,1865
9,امينح,ح . تامين سرمايه امين,12871,22824885,118112846934,4787,4680,5055,268,5.6,5175,388,8.11,4680,5264
10,فملي,ملي‌ صنايع‌ مس‌ ايران‌,12779,66060908,856034347050,12700,12600,12980,280,2.2,12960,260,2.05,12570,13170
11,فولاد,فولاد مباركه اصفهان,8784,67706877,842391663160,12470,12220,12290,-180,-1.44,12440,-30,-0.24,12220,12820
12,كرمان,س. توسعه و عمران استان كرمان,8393,291981887,293516468409,1052,1030,1006,-46,-4.37,1005,-47,-4.47,1000,1054
13,ثاميد,توسعه و عمران اميد,8306,91699521,122238590224,1283,1236,1347,64,4.99,1333,50,3.9,1231,1347
14,بوعلي,پتروشيمي بوعلي سينا,8099,3676942,173195259490,45850,46000,47220,1370,2.99,47100,1250,2.73,46000,47990
15,اپال,فرآوري معدني اپال كاني پارس,8046,24421306,460042922940,18000,18390,18900,900,5,18840,840,4.67,18100,18900
16,شستا,سرمايه گذاري تامين اجتماعي,8044,31419611,331782561780,10550,10340,10580,30,0.28,10560,10,0.09,10300,10740
17,گشان,توسعه بين المللي پديده شانديز,7229,22637418,530737889565,23349,23815,22883,-466,-2,23445,96,0.41,22883,23815
18,شتران,پالايش نفت تهران,6988,50292485,395923978220,7790,7700,7870,80,1.03,7870,80,1.03,7540,8100
19,وتجارت,بانك تجارت,6645,212994575,493344252697,2408,2305,2288,-120,-4.98,2316,-92,-3.82,2288,2377
20,وبصادر,بانك صادرات ايران,5818,196746282,405771895320,2145,2102,2038,-107,-4.99,2062,-83,-3.87,2038,2130
21,شگويا,پتروشيمي تندگويان,5298,32586371,277027091156,8762,8400,8411,-351,-4.01,8501,-261,-2.98,8324,8791
22,شبندر,پالايش نفت بندرعباس,5135,21410684,462380318330,21590,20880,21600,10,0.05,21600,10,0.05,20610,22350
23,وپارس,بانك‌پارسيان‌,5062,132307292,352020625689,2583,2600,2645,62,2.4,2661,78,3.02,2589,2712
24,پيزد,مجتمع صنايع لاستيك يزد,4745,563731,32045588541,55575,54000,58353,2778,5,56846,1271,2.29,54000,58353
25,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,4727,169118728,364282848262,2261,2148,2148,-113,-5,2154,-107,-4.73,2148,2191
26,فروي,ذوب روي اصفهان,4613,5476349,256360483201,49229,46768,46768,-2461,-5,46812,-2417,-4.91,46768,48000
27,وكبهمن,مديريت سرمايه گذاري كوثربهمن,4543,2249879,23583753190,10501,10300,10520,19,0.18,10482,-19,-0.18,10300,10630
28,حكشتي,كشتيراني جمهوري اسلامي ايران,4439,17573993,266666871180,15800,15190,15100,-700,-4.43,15170,-630,-3.99,15010,15790
29,وپاسار,بانك  پاسارگاد,4147,75636988,1302531081340,17200,17200,17240,40,0.23,17220,20,0.12,16340,17250
30,امين,تامين سرمايه امين,3915,1790349,12538140110,6980,7000,7000,20,0.29,6990,10,0.14,7000,7020
31,ومعادن,توسعه‌معادن‌وفلزات‌,3806,47649159,398973951880,8000,7830,8380,380,4.75,8370,370,4.63,7830,8400
32,كمند,صندوق س. با درآمد ثابت كمند,3788,158618954,1597515166349,10067,10071,10072,5,0.05,10071,4,0.04,10071,10073
33,ذوب,سهامي ذوب آهن  اصفهان,3677,58251717,187730385271,3276,3140,3167,-109,-3.33,3223,-53,-1.62,3140,3328
34,پترول,گروه پتروشيمي س. ايرانيان,3422,21636427,190614808940,8790,8470,8740,-50,-0.57,8810,20,0.23,8400,9010
35,ونيكي,سرمايه‌گذاري‌ ملي‌ايران‌,3408,32687909,288315393400,8440,8640,8860,420,4.98,8820,380,4.5,8460,8860
36,سيتا,سرمايه گذاري سيمان تامين,3371,9713455,145708283830,15000,15000,15000,0,0,15000,0,0,15000,15030
37,بترانس,ايران‌ ترانسفو,3174,70587778,175670049400,2687,2600,2481,-206,-7.67,2489,-198,-7.37,2470,2600
38,بپيوند,برق و انرژي پيوندگستر پارس,3121,1918004,21080518384,11028,11340,10840,-188,-1.7,10991,-37,-0.34,10600,11340
39,وسپهر,سرمايه گذاري مالي سپهرصادرات,3068,8224672,74784599591,9094,9096,9095,1,0.01,9093,-1,-0.01,8710,9100
40,فارس,صنايع پتروشيمي خليج فارس,2950,21783477,204514814700,9300,9210,9400,100,1.08,9390,90,0.97,9020,9480
41,امين يكم,صندوق درآمد ثابت امين يكم فردا,2862,90011253,914601457014,10156,10167,10161,5,0.05,10161,5,0.05,10158,10167
42,كاما,باما,2846,22770683,228833768550,10550,10030,10030,-520,-4.93,10050,-500,-4.74,10030,10170
43,تملت,تامين سرمايه بانك ملت,2803,18469917,93210144706,4937,4937,4941,4,0.08,5047,110,2.23,4937,5180
44,ومعادنح,ح . توسعه‌معادن‌وفلزات‌,2758,26396822,165455134790,5980,5710,6250,270,4.52,6270,290,4.85,5710,6470
45,كچاد,معدني‌وصنعتي‌چادرملو,2649,12608416,290258022270,22300,22300,23020,720,3.23,23020,720,3.23,22040,23410
46,بگيلان,توسعه مسير برق گيلان,2646,488906,9291642871,19629,18970,19100,-529,-2.69,19452,-177,-0.9,18712,19390
47,وخارزم,سرمايه گذاري خوارزمي,2600,27124079,107225258689,4120,3936,3914,-206,-5,3953,-167,-4.05,3914,4050
48,ميدكو,هلدينگ صنايع  معدني خاورميانه,2475,4412179,168097328362,37437,37497,38020,583,1.56,38098,661,1.77,37460,38980
49,چخزر,صنايع چوب خزر كاسپين,2417,1995901,67053770528,50592,35100,33345,-17247,-34.09,33596,-16996,-33.59,33345,35100
50,خبهمن,گروه‌بهمن‌,2248,105038381,130096552996,1301,1249,1236,-65,-5,1239,-62,-4.77,1236,1280
51,وبانك,سرمايه گذاري گروه توسعه ملي,2093,20947134,146015318380,6980,6900,7000,20,0.29,6970,-10,-0.14,6790,7120
52,نوري,پتروشيمي نوري,2089,2754814,167269318670,60600,59000,59970,-630,-1.04,60720,120,0.2,59000,61660
53,ولساپا,ليزينگ رايان‌ سايپا,1972,52151221,140425199957,2806,2700,2690,-116,-4.13,2693,-113,-4.03,2666,2798
54,وپست,پست بانك ايران,1935,6481717,138718427080,21320,20400,21570,250,1.17,21400,80,0.38,20400,21900
55,فجر,فولاد اميركبيركاشان,1902,3151088,212095625480,65930,66000,67840,1910,2.9,67310,1380,2.09,64880,68460
56,فخوز,فولاد  خوزستان,1852,11917427,180236103060,15050,15000,14980,-70,-0.47,15120,70,0.47,14950,15370
57,خزاميا,زامياد,1806,28152708,210665412810,7860,7470,7470,-390,-4.96,7480,-380,-4.83,7470,7690
58,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,1800,14606789,143743313910,9810,9550,9820,10,0.1,9840,30,0.31,9500,10020
59,سرچشمه,سرمايه گذاري مس سرچشمه,1777,16916519,112580851060,6420,6421,6719,299,4.66,6655,235,3.66,6380,6741
60,شغدير,پتروشيمي غدير,1693,3619227,246349485580,64960,68000,68200,3240,4.99,68070,3110,4.79,67160,68200
61,اخابر,مخابرات ايران,1649,14964185,115562736500,8060,7680,7670,-390,-4.84,7720,-340,-4.22,7660,8040
62,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,1632,10968879,116149400050,10230,9980,10510,280,2.74,10560,330,3.23,9980,10740
63,كيان,صندوق س. با درآمد ثابت كيان,1566,68411670,1947355961604,28454,28466,28466,12,0.04,28465,11,0.04,28463,28470
64,شبريز,پالايش نفت تبريز,1545,3097468,77326587890,25520,24280,24840,-680,-2.66,25070,-450,-1.76,24250,25970
65,سرو,صندوق س سروسودمند مدبران-سهام,1518,1797979,111821001790,62840,61730,61390,-1450,-2.31,62190,-650,-1.03,60970,63500
66,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,1502,36780100,1341690479330,36461,36478,36482,21,0.06,36479,18,0.05,36478,36483
67,صبا,سرمايه گذاري صبا تامين,1417,3902963,28581800873,7487,7240,7325,-162,-2.16,7447,-40,-0.53,7235,7460
68,حتايد,تايدواترخاورميانه,1375,6739986,158954551400,22970,22100,24070,1100,4.79,23580,610,2.66,21830,24110
69,ماديرا,صنايع ماشين هاي اداري ايران,1333,7409284,53748143662,7383,7130,7135,-248,-3.36,7254,-129,-1.75,7070,7500
70,بجهرم,توسعه مولد نيروگاهي جهرم,1329,15361007,32740596724,2183,2101,2135,-48,-2.2,2131,-52,-2.38,2094,2194
71,غگل,گلوكوزان‌,1327,16133100,40387658551,2615,2496,2485,-130,-4.97,2503,-112,-4.28,2485,2595
72,آسيا,بيمه آسيا,1313,26013750,47380556237,1833,1786,1807,-26,-1.42,1821,-12,-0.65,1750,1888
73,غبشهر,صنعتي‌ بهشهر,1310,6152789,131073906070,25280,21000,21210,-4070,-16.1,21300,-3980,-15.74,19950,22050
74,ساراب,سيمان‌ داراب‌,1279,3079046,67021491130,22020,22210,21580,-440,-2,21770,-250,-1.14,21000,22420
75,ونوين,بانك‌اقتصادنوين‌,1273,21798460,90383814831,4151,4151,4112,-39,-0.94,4146,-5,-0.12,4090,4207
76,وساغربي,شركت س استان آذربايجان غربي,1228,92225958,64194500007,732,696,696,-36,-4.92,696,-36,-4.92,696,720
77,وسكرد,شركت س استان كردستان,1217,68441447,39743241564,569,551,597,28,4.92,581,12,2.11,548,597
78,پارند,صندوق س. پارند پايدار سپهر,1216,48981868,550186002261,11229,11233,11233,4,0.04,11232,3,0.03,11232,11237
79,قرن,پديده شيمي قرن,1204,2206740,132871317930,60680,61000,60500,-180,-0.3,60210,-470,-0.77,58700,61000
80,وخارزمح,ح.سرمايه گذاري خوارزمي,1203,7246635,19935500434,2821,2700,2715,-106,-3.76,2751,-70,-2.48,2690,2840
81,كگل,معدني و صنعتي گل گهر,1172,11017645,157165478620,14150,13800,14210,60,0.42,14260,110,0.78,13800,14490
82,بپاس,بيمه پاسارگاد,1160,1253944,114543520811,89437,86510,92500,3063,3.42,91347,1910,2.14,86510,92500
83,ما,بيمه  ما,1153,6521913,57579248710,8480,8890,8900,420,4.95,8830,350,4.13,8560,8900
84,سشمال,سيمان‌ شمال‌,1136,4556225,43244686750,9110,9300,9480,370,4.06,9490,380,4.17,9000,9560
85,تسه0001,امتيازتسهيلات مسكن فروردين1400,1123,27611,16464015268,601886,605111,592000,-9886,-1.64,596285,-5601,-0.93,571792,610000
86,ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,1106,22506984,106079705090,4950,4710,4710,-240,-4.85,4710,-240,-4.85,4710,4840
87,سصوفي,سيمان‌ صوفيان‌,1065,6422501,81417831530,13300,12640,12640,-660,-4.96,12680,-620,-4.66,12640,13270
88,شپترو,پتروشيمي آبادان,1064,17577032,78767562586,4612,4474,4474,-138,-2.99,4481,-131,-2.84,4474,4599
89,فنورد,نوردوقطعات‌ فولادي‌,1052,305014,50834449140,170820,170820,162280,-8540,-5,166660,-4160,-2.44,162280,178900
