,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,فتوسا,توليد و توسعه سرب روي ايرانيان,44079,1859465,22319158395,11432,12003,12003,571,4.99,12003,571,4.99,12003,12003
3,پالايش,صندوق پالايشي يکم-سهام,38783,60926994,4408154731470,73070,71650,71450,-1620,-2.22,72350,-720,-0.99,70500,74000
4,فگستر,گسترش صنايع روي ايرانيان,29939,893579,9959831534,10616,11146,11146,530,4.99,10920,304,2.86,11146,11146
5,سپيدار,سپيدار سيستم آسيا,23160,2264665,110454328949,47557,45180,49934,2377,5,48773,1216,2.56,45180,49934
6,چخزر,صنايع چوب خزر كاسپين,22521,7113874,239144246665,33220,31559,34881,1661,5,33617,397,1.2,31559,34881
7,غكورش,صنعت غذايي كورش,17962,2258989,82204609710,34660,36390,36390,1730,4.99,36390,1730,4.99,36390,36390
8,دارا يكم,صندوق واسطه گري مالي يكم-سهام,17885,14512368,1769850654770,124220,121210,120420,-3800,-3.06,121950,-2270,-1.83,120000,124700
9,شپنا,پالايش نفت اصفهان,14512,128649085,1383643627450,10730,10600,10640,-90,-0.84,10760,30,0.28,10460,11080
10,غزر,صنعتي زر ماكارون,12540,6609466,151689019620,23890,22810,22700,-1190,-4.98,22950,-940,-3.93,22700,23820
11,ثبهساز,بهساز كاشانه تهران,12272,141621517,251117647186,1730,1650,1816,86,4.97,1773,43,2.49,1650,1816
12,خساپا,سايپا,11728,449246318,683881158069,1581,1540,1517,-64,-4.05,1522,-59,-3.73,1502,1600
13,خودرو,ايران‌ خودرو,10005,290490707,489865784157,1740,1682,1672,-68,-3.91,1686,-54,-3.1,1654,1750
14,اپال,فرآوري معدني اپال كاني پارس,9855,11330892,222148495510,19320,19480,19590,270,1.4,19610,290,1.5,19230,19960
15,وبملت,بانك ملت,9545,242715802,892781450845,3825,3750,3634,-191,-4.99,3678,-147,-3.84,3634,3837
