,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,امينح,ح . تامين سرمايه امين,26491,29847461,174555905080,5460,6110,5970,510,9.34,5850,390,7.14,5570,6110
3,امين,تامين سرمايه امين,15848,19970878,151671203720,7380,7520,7650,270,3.66,7590,210,2.85,7300,7800
4,پالايش,صندوق پالايشي يکم-سهام,11461,7060314,501913653430,73800,71590,70850,-2950,-4,71090,-2710,-3.67,70850,71590
5,بپيوند,برق و انرژي پيوندگستر پارس,10040,12050086,164362199951,13080,12900,13864,784,5.99,13640,560,4.28,12900,13864
6,دارا يكم,صندوق واسطه گري مالي يكم-سهام,9655,5256956,656434358130,129580,126880,124400,-5180,-4,124870,-4710,-3.63,124400,126880
7,آبادا,توليد نيروي برق آبادان,9256,10487012,145050715080,13700,13430,13980,280,2.04,13830,130,0.95,13430,14200
8,بوعلي,پتروشيمي بوعلي سينا,8880,4154523,173359093450,41790,40960,41460,-330,-0.79,41730,-60,-0.14,40960,42470
9,اپال,فرآوري معدني اپال كاني پارس,8630,29619250,514207479350,17650,17390,17300,-350,-1.98,17360,-290,-1.64,17300,17500
10,بگيلان,توسعه مسير برق گيلان,8141,4584341,101637657799,21743,21315,22100,357,1.64,22171,428,1.97,21310,22644
11,شستا,سرمايه گذاري تامين اجتماعي,7512,42237904,457605349120,11050,10850,10830,-220,-1.99,10830,-220,-1.99,10830,11000
12,غپاك,لبنيات‌ پاك‌,6788,25300545,797250550150,30070,29650,31870,1800,5.99,31510,1440,4.79,29650,31870
13,وهور,مديريت انرژي اميد  تابان هور,5638,118734992,261766025792,2186,2230,2170,-16,-0.73,2205,19,0.87,2143,2309
14,سيتا,سرمايه گذاري سيمان تامين,5465,7763751,116481786660,15010,15000,15000,-10,-0.07,15000,-10,-0.07,15000,15030
15,كمند,صندوق س. با درآمد ثابت كمند,4834,201034020,2017444124396,10024,10034,10034,10,0.1,10035,11,0.11,10033,10037
16,امين يكم,صندوق درآمد ثابت امين يكم فردا,4070,150884467,1536639298333,10172,10182,10184,12,0.12,10184,12,0.12,10180,10187
17,بكهنوج,توليد برق ماهتاب كهنوج,3836,62703196,107940082253,1714,1734,1696,-18,-1.05,1721,7,0.41,1681,1775
18,نمرينو,ايران‌ مرينوس‌,3334,2916053,332327207220,109820,116400,107630,-2190,-1.99,113960,4140,3.77,107630,116400
19,خودكفا,اقتصادي و خودكفايي آزادگان,3115,8949898,205926411186,22797,23480,22600,-197,-0.86,23009,212,0.93,22470,23480
20,وكبهمن,مديريت سرمايه گذاري كوثربهمن,3036,1480339,16555946255,11397,11170,11170,-227,-1.99,11325,-72,-0.63,11170,11295
21,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,2815,87453060,3131698656020,35783,35807,35811,28,0.08,35810,27,0.08,35806,35812
22,وپاسار,بانك  پاسارگاد,2723,39324305,522951881860,13290,13290,13310,20,0.15,13300,10,0.08,13280,13340
23,آريا,پليمر آريا ساسول,2277,1756150,146300746822,85007,83307,83307,-1700,-2,83308,-1699,-2,83307,84000
24,خزاميا,زامياد,2258,17860285,155498081060,8860,8690,8690,-170,-1.92,8710,-150,-1.69,8690,8900
25,وخارزمح,ح.سرمايه گذاري خوارزمي,2132,8616638,32961416220,3970,3830,3820,-150,-3.78,3830,-140,-3.53,3820,3900
26,تسه9912,امتياز تسهيلات مسكن اسفند99,2051,28412,14493609530,501895,526791,505001,3106,0.62,510123,8228,1.64,490005,526989
27,غگيلا,شيرپاستوريزه پگاه گيلان,1906,48045,1163457720,22846,24216,24216,1370,6,22876,30,0.13,24216,24216
28,كيان,صندوق س. با درآمد ثابت كيان,1795,28193705,786698456119,27860,27904,27903,43,0.15,27903,43,0.15,27902,27905
29,بميلا,توسعه بازرگاني آهن وفولادميلاد,1769,5144167,76897059398,14555,14610,14871,316,2.17,14948,393,2.7,14600,15272
30,فولاد,فولاد مباركه اصفهان,1740,20230451,252279732970,12720,12470,12470,-250,-1.97,12470,-250,-1.97,12470,12530
31,وملل,اعتباري ملل,1494,29941556,399252425717,13332,13310,13359,27,0.2,13334,2,0.02,13200,13400
32,بپاس,بيمه پاسارگاد,1433,2417890,214694724731,90131,88329,88329,-1802,-2,88794,-1337,-1.48,88329,91000
33,آگاس,صندوق س.هستي بخش آگاه-س,1420,4804628,309348096737,66538,65710,64000,-2538,-3.81,64385,-2153,-3.24,63900,65710
34,نيرو,نيرو سرمايه,1395,1267845,68875935813,53229,54825,53501,272,0.51,54325,1096,2.06,53500,54825
35,آوا,صندوق س.سهام آواي معيار-س,1351,9553373,58115742617,6316,6280,6064,-252,-3.99,6083,-233,-3.69,6064,6280
36,نوري,پتروشيمي نوري,1344,3175579,183276093520,58880,57710,57710,-1170,-1.99,57710,-1170,-1.99,57710,58800
37,صبا,سرمايه گذاري صبا تامين,1343,8802954,66943880833,7756,7620,7601,-155,-2,7670,-86,-1.11,7601,7755
38,فملي,ملي‌ صنايع‌ مس‌ ايران‌,1330,7236004,84516526720,11910,11680,11680,-230,-1.93,11740,-170,-1.43,11680,11680
39,خودرو,ايران‌ خودرو,1330,20540882,48476481520,2400,2360,2360,-40,-1.67,2380,-20,-0.83,2360,2360
40,كچاد,معدني‌وصنعتي‌چادرملو,1307,6094801,140740229330,23460,23270,23000,-460,-1.96,23090,-370,-1.58,23000,23500
41,معيار,سرمايه گذاري معيار صنعت پارس,1291,2288817,119078424883,50751,52273,52273,1522,3,52026,1275,2.51,49810,52273
42,غبشهر,صنعتي‌ بهشهر,1260,3108456,77838791210,25130,24630,24630,-500,-1.99,25040,-90,-0.36,24630,26150
43,كگل,معدني و صنعتي گل گهر,1217,6764974,99635150420,14910,14900,14620,-290,-1.95,14760,-150,-1.01,14620,14910
44,پيزد,مجتمع صنايع لاستيك يزد,1210,225995,14885172265,67209,65865,65865,-1344,-2,66801,-408,-0.61,65865,65900
45,البرز,بيمه البرز,1189,15710571,59373077500,3810,3870,3740,-70,-1.84,3780,-30,-0.79,3740,3900
46,كاوه,فولاد كاوه جنوب كيش,1156,9936009,197445203870,20260,19860,19890,-370,-1.83,19870,-390,-1.92,19860,20250
47,افق,فروشگاههاي زنجيره اي افق كوروش,1156,1563213,108172254990,69560,68190,69200,-360,-0.52,69200,-360,-0.52,68170,69970
48,سرو,صندوق س سروسودمند مدبران-سهام,1133,1505571,99034669810,67090,66020,65600,-1490,-2.22,65780,-1310,-1.95,65420,66600
49,فخوز,فولاد  خوزستان,1130,12866317,180962617950,14340,14060,14060,-280,-1.95,14060,-280,-1.95,14060,14150
50,فايرا,آلومينيوم‌ايران‌,1112,6197111,107858483830,17750,17400,17400,-350,-1.97,17400,-350,-1.97,17400,17650
51,امين يكم2,صندوق درآمد ثابت امين يكم فردا,1080,108000000,108000000,10172,1,1,-10171,-99.99,1,-10171,-99.99,1,1
52,ساراب,سيمان‌ داراب‌,1065,5078683,84385248720,16570,16250,17040,470,2.84,16620,50,0.3,16240,17100
53,سكه0012پ01,سكه تمام بهارتحويلي 1روزه رفاه,1064,552500,568558846000,1074726,1050000,1020192,-54534,-5.07,1029066,-45660,-4.25,1020192,1050000
54,خكرمان,گروه اقتصادي كرمان خودرو,1032,14665230,58973367853,4101,4100,4019,-82,-2,4021,-80,-1.95,4019,4100
55,پارند,صندوق س. پارند پايدار سپهر,1022,33284471,374142745826,11225,11230,11240,15,0.13,11241,16,0.14,11230,11260
56,وارس,سرمايه گذاري ارس صبا,1009,3057577,50380636777,16196,16466,16110,-86,-0.53,16477,281,1.73,15873,16681
57,شصدف,صنعتي دوده فام,943,24803,785386995,29873,31665,31665,1792,6,29900,27,0.09,31665,31665
58,ضخود2007,اختيارخ خودرو-3000-1400/02/08,914,46912,560001000,21,22,9,-12,-57.14,12,-9,-42.86,9,22
59,شرنگي,شيميايي رنگين,874,671637,150613142232,228647,224075,224500,-4147,-1.81,224248,-4399,-1.92,224075,230000
60,بركت,گروه دارويي بركت,865,5579205,174126988050,31840,31210,31210,-630,-1.98,31210,-630,-1.98,31210,31210
61,فلوله,لوله‌وماشين‌سازي‌ايران‌,790,2119920,47969694000,22750,23100,22300,-450,-1.98,22630,-120,-0.53,22300,23430
62,وثنو,سرمايه گذاري ساختماني نوين,788,6131232,37334297472,5857,5999,6149,292,4.99,6089,232,3.96,5770,6149
63,ميدكو,هلدينگ صنايع  معدني خاورميانه,774,5673536,182655700293,32187,32188,32209,22,0.07,32194,7,0.02,32187,32490
64,حكشتي,كشتيراني جمهوري اسلامي ايران,764,4576962,85732798290,19110,18730,18730,-380,-1.99,18830,-280,-1.47,18730,19000
65,سامان,بانك سامان,757,9055764,89162353837,9996,9801,9797,-199,-1.99,9846,-150,-1.5,9797,10120
66,وبملت,بانك ملت,748,21642958,83758890940,3940,3870,3870,-70,-1.78,3890,-50,-1.27,3870,3910
67,شپنا,پالايش نفت اصفهان,747,17770402,221063800880,12690,12440,12440,-250,-1.97,12440,-250,-1.97,12440,12440
68,فنورد,نوردوقطعات‌ فولادي‌,743,367017,63516421230,176240,172720,172720,-3520,-2,173060,-3180,-1.8,172720,177000
69,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,722,8246282,50226309500,6210,6110,6090,-120,-1.93,6090,-120,-1.93,6090,6120
70,اتكاي,بيمه اتكايي ايرانيان,708,5020468,93323815605,18684,19000,18497,-187,-1,18589,-95,-0.51,18311,19000
71,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,704,8720176,97786901120,11430,11210,11210,-220,-1.92,11250,-180,-1.57,11210,11300
72,مدير,ص.س.مديريت ثروت ص.بازنشستگي-س,698,2120067,17187329711,8328,8265,8020,-308,-3.7,8107,-221,-2.65,8010,8380
73,كگهر,سنگ آهن گهرزمين,694,860509,41064530498,47703,47850,47703,0,0,47709,6,0.01,47690,48700
74,شكف,كف,682,772219,83277687036,107853,110010,105696,-2157,-2,107842,-11,-0.01,105696,110010
75,شتولي,تولي‌پرس‌,681,925858,32368717570,35585,37008,35000,-585,-1.64,34961,-624,-1.75,34162,37008
76,ضخود2006,اختيارخ خودرو-2500-1400/02/08,634,31690,2601254000,98,99,70,-28,-28.57,82,-16,-16.33,70,99
77,طلا,صندوق س.پشتوانه طلاي لوتوس,624,270310,20302462102,77411,75501,74735,-2676,-3.46,75108,-2303,-2.98,74712,76000
78,سمازن,سيمان‌مازندران‌,610,6509736,82954596480,12990,12750,12740,-250,-1.92,12740,-250,-1.92,12740,13000
79,تسه9911,امتياز تسهيلات مسكن بهمن99,606,17087,8767267053,501224,510099,516000,14776,2.95,513096,11872,2.37,492108,526284
80,سيستم,همكاران سيستم,603,1493750,39414116370,26870,26370,26340,-530,-1.97,26480,-390,-1.45,26340,27470
81,ومهان,گروه توسعه مالي مهر آيندگان,593,5092499,65121178839,13034,12800,12774,-260,-1.99,12788,-246,-1.89,12774,12998
