,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,بركت,گروه دارويي بركت,23166,64046118,1960823946180,30610,30100,30450,-160,-0.52,30620,10,0.03,29700,31980
3,پالايش,صندوق پالايشي يکم-سهام,18018,14329329,973131297000,69530,68900,67520,-2010,-2.89,67910,-1620,-2.33,67020,69300
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,15963,13426505,1718218313760,129340,128000,127580,-1760,-1.36,127970,-1370,-1.06,126710,129720
5,فملي,ملي‌ صنايع‌ مس‌ ايران‌,10198,70368065,771275706120,11260,11010,10970,-290,-2.58,10960,-300,-2.66,10930,11190
6,شستا,سرمايه گذاري تامين اجتماعي,8242,54012140,592448168470,11280,10990,10950,-330,-2.93,10970,-310,-2.75,10950,11190
7,فولاد,فولاد مباركه اصفهان,6562,60595344,712834032460,12000,11750,11780,-220,-1.83,11760,-240,-2,11650,11990
8,امينح,ح . تامين سرمايه امين,5789,6100128,24843541880,4310,4110,4100,-210,-4.87,4070,-240,-5.57,4060,4270
9,وتجارت,بانك تجارت,5544,218921502,557420347040,2590,2520,2520,-70,-2.7,2550,-40,-1.54,2520,2600
10,امين يكم,صندوق درآمد ثابت امين يكم فردا,4694,140986948,1418567344716,10058,10068,10065,7,0.07,10062,4,0.04,10060,10069
11,شگويا,پتروشيمي تندگويان,4663,26726382,216023752666,8319,8070,8130,-189,-2.27,8083,-236,-2.84,8070,8215
12,وبملت,بانك ملت,4384,135183632,555220973130,4160,4170,4090,-70,-1.68,4110,-50,-1.2,4050,4200
13,وكبهمن,مديريت سرمايه گذاري كوثربهمن,4206,1972197,19888890475,10337,10120,10110,-227,-2.2,10233,-104,-1.01,10027,10338
14,اپال,فرآوري معدني اپال كاني پارس,4114,7450875,124886172130,16810,16800,16750,-60,-0.36,16760,-50,-0.3,16330,16980
15,بوعلي,پتروشيمي بوعلي سينا,3993,1822306,75632560920,41570,41100,41530,-40,-0.1,41500,-70,-0.17,41050,42160
16,وكار,بانك‌ كارآفرين‌,3719,89209662,255917868270,2770,2800,2900,130,4.69,2870,100,3.61,2760,2930
17,سيتا,سرمايه گذاري سيمان تامين,3657,5715426,85738921280,15000,15000,15010,10,0.07,15000,0,0,15000,15010
18,آريا,پليمر آريا ساسول,3593,1535337,126252395458,84411,82610,82001,-2410,-2.86,82231,-2180,-2.58,81879,84300
19,فنوال,نورد آلومينيوم‌,3501,4200093,115284523070,26380,26700,27310,930,3.53,27450,1070,4.06,26500,27960
20,وبصادر,بانك صادرات ايران,2912,98348993,214904517450,2240,2180,2180,-60,-2.68,2190,-50,-2.23,2180,2220
21,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,2835,33658349,324610484250,9930,9650,9640,-290,-2.92,9640,-290,-2.92,9640,9840
22,وپاسار,بانك  پاسارگاد,2771,43290509,592218460800,13670,13680,13680,10,0.07,13680,10,0.07,13670,13700
23,افران,صندوق س افرا نماد پايدار-ثابت,2650,119903753,1578682880000,13161,13167,13166,5,0.04,13166,5,0.04,13161,13199
24,دماوند,توليد نيروي برق دماوند,2644,3333432,81400219902,23912,23970,24300,388,1.62,24419,507,2.12,23960,25000
25,كمند,صندوق س. با درآمد ثابت كمند,2614,96876894,979966862014,10111,10116,10116,5,0.05,10116,5,0.05,10115,10118
26,بگيلان,توسعه مسير برق گيلان,2396,502653,10136722280,20765,20280,20200,-565,-2.72,20638,-127,-0.61,20150,20280
27,فخوز,فولاد  خوزستان,1953,19761903,281159305520,14620,14280,14350,-270,-1.85,14230,-390,-2.67,14190,14620
28,تاصيكو,سرمايه گذاري صدرتامين,1942,19862657,200399977130,9900,10200,9810,-90,-0.91,10090,190,1.92,9710,10330
29,نوري,پتروشيمي نوري,1914,3851452,216894449800,57900,56170,56170,-1730,-2.99,56310,-1590,-2.75,56170,57200
30,كيان,صندوق س. با درآمد ثابت كيان,1836,12657953,356528075151,28112,28134,28190,78,0.28,28166,54,0.19,28130,28199
31,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,1711,38511470,1389158902340,36053,36072,36073,20,0.06,36071,18,0.05,36070,36075
32,صبا,سرمايه گذاري صبا تامين,1666,5504607,40140349892,7493,7299,7276,-217,-2.9,7424,-69,-0.92,7269,7450
33,افق,فروشگاههاي زنجيره اي افق كوروش,1656,1667499,117708813630,68900,70520,70110,1210,1.76,70590,1690,2.45,69500,72000
34,آوا,صندوق س.سهام آواي معيار-س,1346,20264394,126689130361,6218,6230,6257,39,0.63,6252,34,0.55,6200,6274
35,ضخود2006,اختيارخ خودرو-2500-1400/02/08,1290,64180,64286000,2,1,1,-1,-50,1,-1,-50,1,2
36,سرو,صندوق س سروسودمند مدبران-سهام,1287,846187,52504003190,63180,63000,61900,-1280,-2.03,62050,-1130,-1.79,61550,63200
37,قرن,پديده شيمي قرن,1269,1627924,100296718310,61170,60450,59340,-1830,-2.99,61610,440,0.72,59340,63900
38,ورازي,بيمه رازي,1197,11618467,113352616699,10162,9654,9654,-508,-5,9756,-406,-4,9654,10162
39,وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,1160,1518089,66207283770,43000,41710,44320,1320,3.07,43610,610,1.42,41710,44700
40,غگيلا,شيرپاستوريزه پگاه گيلان,1154,24946,612773544,23174,24564,24564,1390,6,23190,16,0.07,24564,24564
41,خودرو,ايران‌ خودرو,1138,19186276,39140003040,2100,2040,2040,-60,-2.86,2080,-20,-0.95,2040,2040
42,آگاس,صندوق س.هستي بخش آگاه-س,1047,842188,52351580065,63386,62900,62057,-1329,-2.1,62161,-1225,-1.93,61603,62990
43,تسه9912,امتياز تسهيلات مسكن اسفند99,1044,22806,11843284909,501095,520000,526000,24905,4.97,519306,18211,3.63,505028,526000
44,وخارزمح,ح.سرمايه گذاري خوارزمي,1037,3520205,11049021910,3190,3200,3110,-80,-2.51,3140,-50,-1.57,3090,3200
45,امين يكم2,صندوق درآمد ثابت امين يكم فردا,1000,100000000,100000000,10058,1,1,-10057,-99.99,1,-10057,-99.99,1,1
46,پاكشو,گروه صنعتي پاكشو,988,30065117,199340594710,6830,6630,6630,-200,-2.93,6630,-200,-2.93,6630,6700
47,ومهان,گروه توسعه مالي مهر آيندگان,982,6649674,77418234106,11817,11535,11815,-2,-0.02,11642,-175,-1.48,11463,11825
48,پترول,گروه پتروشيمي س. ايرانيان,960,9997338,82677985260,8520,8270,8270,-250,-2.93,8270,-250,-2.93,8270,8270
49,فارس,صنايع پتروشيمي خليج فارس,957,8025896,69033637020,8860,8600,8600,-260,-2.93,8700,-160,-1.81,8600,8700
50,تسه0001,امتيازتسهيلات مسكن فروردين1400,950,16674,8442913399,492025,480099,516626,24601,5,506352,14327,2.91,480099,516626
51,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,943,8886906,50846635500,5880,5740,5710,-170,-2.89,5720,-160,-2.72,5710,5880
52,كاوه,فولاد كاوه جنوب كيش,942,6450360,133805505280,21290,20910,20750,-540,-2.54,20740,-550,-2.58,20660,21290
53,شلرد,كود شيميايي اوره لردگان,922,10059427,63682143267,6440,6356,6312,-128,-1.99,6331,-109,-1.69,6312,6430
54,آكورد,صندوق س. آرمان آتي كوثر-د,871,8272070,262693497616,31742,31764,31760,18,0.06,31757,15,0.05,31755,31765
55,خساپا,سايپا,865,11370680,22513946400,2040,1980,1980,-60,-2.94,2030,-10,-0.49,1980,1980
56,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,861,8726325,91593639220,10800,10490,10480,-320,-2.96,10560,-240,-2.22,10480,10800
57,وتوكاح,ح . ‌توكافولاد(هلدينگ‌,838,38914234,311313872000,6658,8000,8000,1342,20.16,8000,1342,20.16,8000,8000
58,سپيدما,صندوق س. سپيد دماوند-د,831,50057636,511138522922,10210,10211,10211,1,0.01,10211,1,0.01,10210,10216
59,فباهنرح,ح . مس‌ شهيدباهنر,743,4453194,66993450590,15330,15300,14990,-340,-2.22,15040,-290,-1.89,14930,15300
60,فجر,فولاد اميركبيركاشان,714,1063914,58503838780,55460,55980,55870,410,0.74,54990,-470,-0.85,54540,56000
61,زپارس,ملي كشت و صنعت و دامپروري پارس,667,702264,111800787520,156150,165500,156150,0,0,159200,3050,1.95,151470,165510
62,شغدير,پتروشيمي غدير,659,1378590,81512924010,60360,58550,58600,-1760,-2.92,59130,-1230,-2.04,58550,61400
63,سرچشمه,سرمايه گذاري مس سرچشمه,655,7242385,45403923013,6453,6401,6261,-192,-2.98,6283,-170,-2.63,6260,6401
