,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,29835,32273190,2356285302870,73760,74510,71050,-2710,-3.67,73010,-750,-1.02,70850,75600
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,27515,25870537,3574383995070,140350,142770,134740,-5610,-4,138160,-2190,-1.56,134740,142900
4,وسپهر,سرمايه گذاري مالي سپهرصادرات,25068,87807910,886681292204,10401,10089,10100,-301,-2.89,10098,-303,-2.91,10089,10108
5,كرمان,س. توسعه و عمران استان كرمان,17779,689601916,874357173699,1231,1304,1238,7,0.57,1268,37,3.01,1203,1304
6,خبهمن,گروه‌بهمن‌,16721,758876862,1125829063550,1430,1510,1440,10,0.7,1480,50,3.5,1430,1510
7,خساپا,سايپا,13273,515569345,1025678529280,1990,2050,1940,-50,-2.51,1990,0,0,1940,2080
8,خودرو,ايران‌ خودرو,13263,590218523,1239834683120,2120,2130,2060,-60,-2.83,2100,-20,-0.94,2060,2190
9,امينح,ح . تامين سرمايه امين,11099,17785801,90442159170,5060,5250,4900,-160,-3.16,5090,30,0.59,4760,5500
10,وبملت,بانك ملت,10773,282682294,1272892280650,4490,4600,4470,-20,-0.45,4500,10,0.22,4400,4640
11,فملي,ملي‌ صنايع‌ مس‌ ايران‌,8265,53282390,635098080160,12210,12170,11850,-360,-2.95,11920,-290,-2.38,11850,12250
12,شستا,سرمايه گذاري تامين اجتماعي,7916,48553336,550847395010,11630,11550,11290,-340,-2.92,11350,-280,-2.41,11290,11780
13,شپنا,پالايش نفت اصفهان,7525,50659454,541165822430,10850,10850,10530,-320,-2.95,10680,-170,-1.57,10530,11050
14,وتجارت,بانك تجارت,6332,248143545,650180459090,2680,2710,2600,-80,-2.99,2620,-60,-2.24,2600,2730
15,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,6039,147888632,361612285600,2460,2510,2390,-70,-2.85,2450,-10,-0.41,2390,2560
16,بوعلي,پتروشيمي بوعلي سينا,5691,1929358,82961648270,42910,42020,41950,-960,-2.24,43000,90,0.21,41800,44400
17,امين,تامين سرمايه امين,5306,3627696,25394767210,7050,7000,6990,-60,-0.85,7020,-30,-0.43,6990,7180
18,وكبهمن,مديريت سرمايه گذاري كوثربهمن,5142,2093840,22232857517,10598,10600,10390,-208,-1.96,10607,9,0.08,10350,11020
19,فولاد,فولاد مباركه اصفهان,5079,46744067,580748556940,12770,12550,12390,-380,-2.98,12420,-350,-2.74,12390,12750
20,ثاميد,توسعه و عمران اميد,5011,51371738,76799644330,1580,1490,1490,-90,-5.7,1490,-90,-5.7,1490,1520
21,بركت,گروه دارويي بركت,5001,12377589,387636532270,32240,31290,31280,-960,-2.98,31320,-920,-2.85,31280,31900
22,وپاسار,بانك  پاسارگاد,4824,38659295,564854337200,14180,14500,14620,440,3.1,14610,430,3.03,14500,14800
23,آريا,پليمر آريا ساسول,4728,1928186,168794097020,88220,87000,87880,-340,-0.39,87540,-680,-0.77,86050,89000
24,وبصادر,بانك صادرات ايران,4104,134929684,310639972550,2340,2390,2270,-70,-2.99,2300,-40,-1.71,2270,2390
25,اپال,فرآوري معدني اپال كاني پارس,3983,5835749,99212273170,17070,17060,17080,10,0.06,17010,-60,-0.35,16900,17290
26,سيتا,سرمايه گذاري سيمان تامين,3908,6323316,94854965230,15000,15000,15000,0,0,15000,0,0,15000,15010
27,شتران,پالايش نفت تهران,3833,32111087,272325090150,8650,8540,8400,-250,-2.89,8480,-170,-1.97,8400,8780
28,بپيوند,برق و انرژي پيوندگستر پارس,3558,3407348,39645946800,11912,11850,11555,-357,-3,11687,-225,-1.89,11555,11990
29,امين يكم,صندوق درآمد ثابت امين يكم فردا,3536,112075056,1131225865857,10085,10097,10097,12,0.12,10093,8,0.08,10089,10099
30,بگيلان,توسعه مسير برق گيلان,3010,1240880,25217405023,20403,19870,20023,-380,-1.86,20362,-41,-0.2,19791,21500
31,پترول,گروه پتروشيمي س. ايرانيان,2959,25283240,213737468490,8680,8670,8420,-260,-3,8450,-230,-2.65,8420,8700
32,شبندر,پالايش نفت بندرعباس,2923,13343570,284950696910,21810,21410,21160,-650,-2.98,21350,-460,-2.11,21160,22150
