,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,26601,19810582,1368810221090,71730,69250,68870,-2860,-3.99,69090,-2640,-3.68,68870,70000
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,14355,8681827,1062351644530,126900,122910,121830,-5070,-4,122360,-4540,-3.58,121830,124500
4,ساراب,سيمان‌ داراب‌,6010,19778898,375837501590,18740,18460,19470,730,3.9,19000,260,1.39,18370,19700
5,اپال,فرآوري معدني اپال كاني پارس,5642,11959565,198919773480,16950,16620,16630,-320,-1.89,16630,-320,-1.89,16620,16940
6,سيتا,سرمايه گذاري سيمان تامين,4359,9591716,143884734040,15000,15000,15000,0,0,15000,0,0,15000,15010
7,وكبهمن,مديريت سرمايه گذاري كوثربهمن,4283,2692334,28576882571,10828,10612,10613,-215,-1.99,10697,-131,-1.21,10612,10700
8,بوعلي,پتروشيمي بوعلي سينا,4078,1131641,47688865560,42990,42140,42140,-850,-1.98,42300,-690,-1.61,42140,42750
9,وبملت,بانك ملت,3992,94485425,371937017990,3980,3960,3910,-70,-1.76,3940,-40,-1.01,3910,4020
10,كيان,صندوق س. با درآمد ثابت كيان,3897,89043559,2494925178247,28004,28020,28020,16,0.06,28019,15,0.05,28019,28022
11,بگيلان,توسعه مسير برق گيلان,3399,1740392,37301103693,21577,21147,21470,-107,-0.5,21468,-109,-0.51,21146,21800
12,شستا,سرمايه گذاري تامين اجتماعي,3109,38771819,442777965850,11650,11420,11420,-230,-1.97,11420,-230,-1.97,11420,11450
13,وپاسار,بانك  پاسارگاد,2793,39929707,535142165680,13450,13450,13400,-50,-0.37,13400,-50,-0.37,13290,13480
14,فملي,ملي‌ صنايع‌ مس‌ ايران‌,2622,25197944,281225871480,11380,11160,11160,-220,-1.93,11160,-220,-1.93,11160,11250
15,وپارس,بانك‌پارسيان‌,2606,95102977,242539925130,2690,2580,2530,-160,-5.95,2550,-140,-5.2,2530,2610
16,كمند,صندوق س. با درآمد ثابت كمند,2515,94366996,951041543104,10072,10078,10078,6,0.06,10078,6,0.06,10077,10079
17,آريا,پليمر آريا ساسول,2077,1285455,110187741064,87467,85718,85718,-1749,-2,85719,-1748,-2,85718,85810
18,امين يكم,صندوق درآمد ثابت امين يكم فردا,1892,51203324,522400125015,10194,10205,10200,6,0.06,10202,8,0.08,10198,10209
19,آوا,صندوق س.سهام آواي معيار-س,1850,11932642,70968163601,6156,6001,5917,-239,-3.88,5947,-209,-3.4,5910,6100
20,ثبهساز,بهساز كاشانه تهران,1715,27229441,62586502340,2300,2300,2260,-40,-1.74,2300,0,0,2260,2300
21,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,1671,43573150,1566372586320,35931,35948,35949,18,0.05,35948,17,0.05,35946,35950
22,سرو,صندوق س سروسودمند مدبران-سهام,1649,1247762,78413292200,65040,64610,62650,-2390,-3.67,62840,-2200,-3.38,62470,64610
23,اوصتا2,صندوق انديشه ورزان صباتامين -د,1430,143000000,143000000,18385,1,1,-18384,-99.99,1,-18384,-99.99,1,1
24,ضخود2007,اختيارخ خودرو-3000-1400/02/08,1416,75457,157828000,3,3,2,-1,-33.33,2,-1,-33.33,1,3
25,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,1300,16287143,98084685810,6140,6020,6020,-120,-1.95,6020,-120,-1.95,6020,6070
26,فايرا,آلومينيوم‌ايران‌,1285,3150174,53069428930,16480,16160,17220,740,4.49,16780,300,1.82,16160,17360
27,فخوز,فولاد  خوزستان,1177,13303882,192036374550,14720,14430,14430,-290,-1.97,14430,-290,-1.97,14430,14650
28,غگيلا,شيرپاستوريزه پگاه گيلان,1170,16840,410761280,23012,24392,24392,1380,6,23023,11,0.05,24392,24392
29,آگاس,صندوق س.هستي بخش آگاه-س,1169,1154362,72232623686,64315,63002,62350,-1965,-3.06,62574,-1741,-2.71,62200,63994
30,شيران,س. صنايع‌شيميايي‌ايران,1140,7533312,184965817700,25050,24550,24550,-500,-2,24550,-500,-2,24550,24950
31,تاصيكو,سرمايه گذاري صدرتامين,1124,18419469,180931126070,10020,9820,9820,-200,-2,9820,-200,-2,9820,9990
32,كگلح,ح . معدني و صنعتي گل گهر,1110,2601285,28264438810,11280,10830,10830,-450,-3.99,10870,-410,-3.63,10830,11100
33,شلرد,كود شيميايي اوره لردگان,1046,7854667,51321277787,6657,6575,6547,-110,-1.65,6534,-123,-1.85,6524,6657
34,صبا,سرمايه گذاري صبا تامين,1033,8810767,65869919353,7628,7476,7476,-152,-1.99,7542,-86,-1.13,7476,7500
35,بپاس,بيمه پاسارگاد,1001,2516059,221467779410,88028,88028,88010,-18,-0.02,88022,-6,-0.01,87100,88150
36,تسه9912,امتياز تسهيلات مسكن اسفند99,946,18029,9065779748,513601,530000,510000,-3601,-0.7,502844,-10757,-2.09,490009,530000
37,بميلا,توسعه بازرگاني آهن وفولادميلاد,942,2026277,27783264527,13632,13632,13352,-280,-2.05,13711,79,0.58,13297,14150
