,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,40246,53164342,3852142989100,71120,73200,70890,-230,-0.32,72460,1340,1.88,70600,74250
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,38631,34122931,4505694275070,125470,129100,130700,5230,4.17,132040,6570,5.24,126120,136000
4,بركت,گروه دارويي بركت,25388,71861002,2318520191760,31910,31950,31610,-300,-0.94,32260,350,1.1,31280,33750
5,خودرو,ايران‌ خودرو,22246,698146095,1550206765670,2240,2230,2200,-40,-1.79,2220,-20,-0.89,2200,2280
6,شستا,سرمايه گذاري تامين اجتماعي,22034,114390251,1349675311090,11370,11720,11580,210,1.85,11800,430,3.78,11400,12050
7,وتجارت,بانك تجارت,19123,568433831,1522476363610,2580,2550,2640,60,2.33,2680,100,3.88,2530,2730
8,امينح,ح . تامين سرمايه امين,17867,12110982,55666462330,4570,4610,4610,40,0.88,4600,30,0.66,4450,4800
9,خساپا,سايپا,17450,718103226,1532575479620,2170,2130,2130,-40,-1.84,2130,-40,-1.84,2130,2170
10,شپنا,پالايش نفت اصفهان,15144,128558673,1473425298750,11630,11700,11400,-230,-1.98,11460,-170,-1.46,11400,11770
11,وبملت,بانك ملت,13422,528713038,2211245804840,3970,4040,4190,220,5.54,4180,210,5.29,4040,4200
12,وبصادر,بانك صادرات ايران,12943,381779011,901590198820,2290,2290,2330,40,1.75,2360,70,3.06,2250,2420
13,فملي,ملي‌ صنايع‌ مس‌ ايران‌,11976,65686686,741121297140,11140,11350,11140,0,0,11280,140,1.26,11090,11560
14,پترول,گروه پتروشيمي س. ايرانيان,10165,55268567,498032065100,9040,9300,8870,-170,-1.88,9010,-30,-0.33,8860,9300
15,فولاد,فولاد مباركه اصفهان,9962,68198392,842585511130,12290,12310,12180,-110,-0.9,12350,60,0.49,12120,12650
16,كمند,صندوق س. با درآمد ثابت كمند,9291,711000695,7172611578360,10083,10088,10088,5,0.05,10088,5,0.05,10088,10090
17,شتران,پالايش نفت تهران,7029,65286263,603944426150,9410,9320,9230,-180,-1.91,9250,-160,-1.7,9230,9470
18,وپارس,بانك‌پارسيان‌,6725,274287372,725735935080,2520,2550,2620,100,3.97,2650,130,5.16,2500,2670
19,ذوب,سهامي ذوب آهن  اصفهان,6236,111517453,400222419147,3656,3611,3583,-73,-2,3589,-67,-1.83,3583,3650
20,وكبهمن,مديريت سرمايه گذاري كوثربهمن,6168,2880688,30765412348,10744,10900,10580,-164,-1.53,10702,-42,-0.39,10530,10948
21,شبندر,پالايش نفت بندرعباس,5709,21568850,493497516420,23300,22850,22840,-460,-1.97,22880,-420,-1.8,22840,23300
