,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,40305,47476451,3600850887120,71940,76000,76540,4600,6.39,75840,3900,5.42,74110,77900
3,خساپا,سايپا,37293,1460875386,3267839635780,2250,2240,2240,-10,-0.44,2240,-10,-0.44,2210,2320
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,25623,19423517,2603202613540,127730,134100,135190,7460,5.84,134020,6290,4.92,131000,136490
5,شپنا,پالايش نفت اصفهان,23280,169069597,2116536244170,12000,12340,12500,500,4.17,12520,520,4.33,12190,12720
6,خودرو,ايران‌ خودرو,21068,544207657,1283899891870,2310,2370,2350,40,1.73,2360,50,2.16,2310,2430
7,فولاد,فولاد مباركه اصفهان,19672,188712769,2449523849120,12310,12700,13040,730,5.93,12980,670,5.44,12600,13040
8,سپيدار,سپيدار سيستم آسيا,19650,3327102,198157593125,60463,59254,59254,-1209,-2,59559,-904,-1.5,59254,61200
9,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,17249,344903441,940878351040,2730,2730,2710,-20,-0.73,2730,0,0,2680,2820
10,فملي,ملي‌ صنايع‌ مس‌ ايران‌,15578,72786227,854029341850,11300,11550,11740,440,3.89,11730,430,3.81,11510,11970
11,وتجارت,بانك تجارت,15027,488807570,1306028830690,2680,2650,2690,10,0.37,2670,-10,-0.37,2630,2730
12,شتران,پالايش نفت تهران,14202,120037081,1184971446770,9610,9840,9770,160,1.66,9870,260,2.71,9640,10150
13,وكبهمن,مديريت سرمايه گذاري كوثربهمن,12314,5415300,60454127440,11265,11070,11040,-225,-2,11164,-101,-0.9,11040,11400
14,بركت,گروه دارويي بركت,11836,31317963,1022000988710,30990,32300,32840,1850,5.97,32630,1640,5.29,31700,32840
15,امينح,ح . تامين سرمايه امين,11422,16127304,86491650610,5550,5330,5330,-220,-3.96,5360,-190,-3.42,5330,5540
16,شبندر,پالايش نفت بندرعباس,10985,31413665,776691955510,24500,24400,24340,-160,-0.65,24720,220,0.9,24220,25500
17,شستا,سرمايه گذاري تامين اجتماعي,10876,90845853,1048361088130,10890,11540,11540,650,5.97,11540,650,5.97,11530,11540
18,ذوب,سهامي ذوب آهن  اصفهان,10638,154863509,594067222337,3847,3804,3841,-6,-0.16,3836,-11,-0.29,3800,3950
19,پترول,گروه پتروشيمي س. ايرانيان,10598,72488167,696692216780,9560,9460,9550,-10,-0.1,9610,50,0.52,9450,9850
20,خزاميا,زامياد,10261,90324502,875392455180,9250,9700,9530,280,3.03,9690,440,4.76,9400,9800
21,وبصادر,بانك صادرات ايران,9958,254625123,609040573850,2410,2380,2370,-40,-1.66,2390,-20,-0.83,2370,2460
22,بوعلي,پتروشيمي بوعلي سينا,9111,2731388,119607023480,42380,42510,43610,1230,2.9,43790,1410,3.33,42510,44850
23,حكشتي,كشتيراني جمهوري اسلامي ايران,8847,31214078,573142907330,18370,18400,18020,-350,-1.91,18360,-10,-0.05,18010,19000
24,اپال,فرآوري معدني اپال كاني پارس,8151,11828021,206682953370,17030,17050,17690,660,3.88,17470,440,2.58,17050,17800
25,امين,تامين سرمايه امين,7046,10097185,73873937920,7430,7290,7290,-140,-1.88,7320,-110,-1.48,7290,7680
26,خپارس,پارس‌ خودرو,6930,85730598,488872022420,5670,5620,5650,-20,-0.35,5700,30,0.53,5560,5930
27,غگل,گلوكوزان‌,6640,79852382,271454347940,3350,3290,3390,40,1.19,3400,50,1.49,3290,3540
28,آريا,پليمر آريا ساسول,6344,3934731,348153806153,83691,86573,88712,5021,6,88482,4791,5.72,86573,88712
29,بپيوند,برق و انرژي پيوندگستر پارس,6307,4463808,59893950732,13440,13420,13270,-170,-1.26,13418,-22,-0.16,13172,13699
30,وخارزم,سرمايه گذاري خوارزمي,6125,49340202,265049400980,5380,5300,5350,-30,-0.56,5370,-10,-0.19,5280,5530
31,شگويا,پتروشيمي تندگويان,5767,24744654,233714826502,9104,9350,9410,306,3.36,9445,341,3.75,9300,9648
32,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,5493,37396540,408437780660,10660,10800,10960,300,2.81,10920,260,2.44,10760,11280
33,غپاك,لبنيات‌ پاك‌,5432,14905497,471472234570,31650,32550,31050,-600,-1.9,31630,-20,-0.06,31020,32960
34,وبملت,بانك ملت,5429,100865929,406805492890,3940,4070,4080,140,3.55,4030,90,2.28,3990,4090
35,بگيلان,توسعه مسير برق گيلان,5225,1471296,32112600826,21828,21410,22000,172,0.79,21827,-1,0,21410,22270
36,تاصيكو,سرمايه گذاري صدرتامين,5196,48377752,502673289350,10550,10340,10350,-200,-1.9,10390,-160,-1.52,10340,10740
37,سيتا,سرمايه گذاري سيمان تامين,4936,5493140,82576197290,15000,15040,15010,10,0.07,15030,30,0.2,15000,15300
38,فارس,صنايع پتروشيمي خليج فارس,4776,22332435,211778043090,9370,9410,9400,30,0.32,9480,110,1.17,9350,9690
39,پيزد,مجتمع صنايع لاستيك يزد,4674,876486,58285522428,67277,67800,65932,-1345,-2,66499,-778,-1.16,65932,67950
40,خصدرا,صنعتي‌ دريايي‌ ايران‌,4604,70851012,207806569185,2986,2927,2929,-57,-1.91,2933,-53,-1.77,2927,2970
41,وپارس,بانك‌پارسيان‌,4553,96851630,264385933700,2700,2720,2740,40,1.48,2730,30,1.11,2690,2800
42,نوري,پتروشيمي نوري,4500,6966964,436446348500,59300,62000,62850,3550,5.99,62650,3350,5.65,61080,62850
43,آبادا,توليد نيروي برق آبادان,4492,2766292,37237959060,13710,13440,13440,-270,-1.97,13520,-190,-1.39,13440,13710
44,كمند,صندوق س. با درآمد ثابت كمند,4264,178263959,1791429247777,10044,10049,10050,6,0.06,10049,5,0.05,10048,10051
45,ولپارس,ليزينگ پارسيان,4098,3101666,15415280020,5070,4970,4970,-100,-1.97,5040,-30,-0.59,4970,4970
46,وخارزمح,ح.سرمايه گذاري خوارزمي,3989,18202520,72172281640,3800,4000,3960,160,4.21,3960,160,4.21,3850,4050
47,وساپا,سرمايه‌گذاري‌ سايپا,3950,54148709,289390069470,5410,5350,5310,-100,-1.85,5340,-70,-1.29,5310,5500
48,امين يكم,صندوق درآمد ثابت امين يكم فردا,3847,156128730,1590210660360,10181,10181,10187,6,0.06,10185,4,0.04,10174,10189
49,صبا,سرمايه گذاري صبا تامين,3799,12408855,96308452725,7526,7850,7660,134,1.78,7715,189,2.51,7620,7940
50,ونوين,بانك‌اقتصادنوين‌,3758,115825624,526777206080,4330,4400,4580,250,5.77,4550,220,5.08,4400,4580
51,بجهرم,توسعه مولد نيروگاهي جهرم,3447,39520262,110157518811,2799,2770,2793,-6,-0.21,2787,-12,-0.43,2753,2879
52,فخوز,فولاد  خوزستان,3163,30222622,447709055780,14000,14400,14840,840,6,14810,810,5.79,14400,14840
53,ماديرا,صنايع ماشين هاي اداري ايران,3009,18104995,150941234559,8481,8312,8312,-169,-1.99,8337,-144,-1.7,8312,8700
54,شبريز,پالايش نفت تبريز,3000,6657704,194852081980,28910,28920,28800,-110,-0.38,29270,360,1.25,28520,29970
55,كگلح,ح . معدني و صنعتي گل گهر,2906,9397029,114328499590,18000,12000,12310,-5690,-31.61,12170,-5830,-32.39,12000,12500
56,حفاري,حفاري شمال,2884,23109228,171158057800,7380,7270,7400,20,0.27,7410,30,0.41,7240,7620
57,آوا,صندوق س.سهام آواي معيار-س,2852,25946663,168632880447,6240,6450,6540,300,4.81,6499,259,4.15,6380,6650
58,ثاخت,بين‌المللي‌توسعه‌ساختمان,2751,44171636,110707590030,2550,2500,2500,-50,-1.96,2510,-40,-1.57,2500,2580
59,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,2744,38899332,452257260000,10980,11620,11630,650,5.92,11630,650,5.92,11410,11630
60,سمازن,سيمان‌مازندران‌,2685,22836154,322021050730,13500,13700,14260,760,5.63,14100,600,4.44,13510,14310
61,وپاسار,بانك  پاسارگاد,2680,19792165,265538342710,13320,13340,13440,120,0.9,13420,100,0.75,13310,13780
62,كاوه,فولاد كاوه جنوب كيش,2537,18382777,390411558830,20070,20500,21270,1200,5.98,21240,1170,5.83,20500,21270
63,قاسم,قاسم ايران,2506,33112088,442889844185,13636,13364,13364,-272,-1.99,13375,-261,-1.91,13364,13646
64,سرو,صندوق س سروسودمند مدبران-سهام,2493,3512169,241183860330,66840,67990,68530,1690,2.53,68670,1830,2.74,67960,69660
65,ومعادن,توسعه‌معادن‌وفلزات‌,2372,13957931,164926928700,11460,11880,11740,280,2.44,11820,360,3.14,11640,12000
66,ولساپا,ليزينگ رايان‌ سايپا,2371,43341240,147140996840,3450,3390,3400,-50,-1.45,3390,-60,-1.74,3390,3490
67,تملت,تامين سرمايه بانك ملت,2348,12913108,67368075640,5220,5170,5220,0,0,5220,0,0,5130,5350
68,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,2342,15705010,99850623040,6270,6580,6280,10,0.16,6360,90,1.44,6220,6580
69,آسيا,بيمه آسيا,2331,48817214,102261441310,2130,2110,2090,-40,-1.88,2090,-40,-1.88,2090,2190
70,غبشهر,صنعتي‌ بهشهر,2302,8186397,218661948420,27010,27180,26800,-210,-0.78,26710,-300,-1.11,26470,27700
71,كچاد,معدني‌وصنعتي‌چادرملو,2299,7422507,175908271700,22880,23360,23740,860,3.76,23700,820,3.58,23290,24200
72,سفارس,سيمان فارس و خوزستان,2212,9337950,173113110700,18690,18330,18330,-360,-1.93,18540,-150,-0.8,18320,19480
73,فباهنرح,ح . مس‌ شهيدباهنر,2172,5242269,89486806930,16450,17000,16890,440,2.67,17070,620,3.77,16760,17400
