,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,فگستر,گسترش صنايع روي ايرانيان,2369914,64999699,401633140121,1000,6179,6179,5179,517.9,6179,5179,517.9,6179,6179
3,پالايش,صندوق پالايشي يکم-سهام,49690,72402960,5257541013740,72750,74000,70610,-2140,-2.94,72610,-140,-0.19,70270,75750
4,كزغال,زغال سنگ پروده طبس,38271,30004825,970017078436,30669,31770,32509,1840,6,32329,1660,5.41,31310,32509
5,دارا يكم,صندوق واسطه گري مالي يكم-سهام,27589,19920229,2628339764280,134940,134100,129560,-5380,-3.99,131940,-3000,-2.22,129550,135530
6,بركت,گروه دارويي بركت,26959,65866412,1873597100060,28220,29300,27380,-840,-2.98,28450,230,0.82,27380,29910
7,شپنا,پالايش نفت اصفهان,23535,211890195,2229006289620,10150,10500,10310,160,1.58,10520,370,3.65,10070,10750
8,فملي,ملي‌ صنايع‌ مس‌ ايران‌,23288,129817700,1686677404680,12950,13480,12950,0,0,12990,40,0.31,12670,13480
9,خودرو,ايران‌ خودرو,18871,601320806,1164271790225,1945,2010,1889,-56,-2.88,1936,-9,-0.46,1887,2030
10,شتران,پالايش نفت تهران,13448,126343666,1010630976830,8000,8100,7880,-120,-1.5,8000,0,0,7760,8390
11,ذوب,سهامي ذوب آهن  اصفهان,13337,318543512,1098534988984,3304,3439,3456,152,4.6,3449,145,4.39,3312,3502
12,شستا,سرمايه گذاري تامين اجتماعي,12843,62219409,681984367670,11070,11200,10800,-270,-2.44,10960,-110,-0.99,10740,11340
13,فولاد,فولاد مباركه اصفهان,11861,77854760,990734527650,12660,13100,12670,10,0.08,12730,70,0.55,12450,13150
14,امينح,ح . تامين سرمايه امين,11498,8044817,37353658239,4701,4662,4700,-1,-0.02,4643,-58,-1.23,4570,4790
15,شبندر,پالايش نفت بندرعباس,11417,86460065,1848847554800,20230,21390,21440,1210,5.98,21380,1150,5.68,20750,21440
16,وكبهمن,مديريت سرمايه گذاري كوثربهمن,9720,2994414,30799212147,10168,10161,10321,153,1.5,10240,72,0.71,10160,10548
17,پترول,گروه پتروشيمي س. ايرانيان,8836,61880810,543582693480,8620,9070,8750,130,1.51,8780,160,1.86,8500,9070
18,گشان,توسعه بين المللي پديده شانديز,7902,23926708,516331021492,21453,21024,21882,429,2,21580,127,0.59,21024,21882
19,بوعلي,پتروشيمي بوعلي سينا,7899,3774830,163112575160,42880,42100,43010,130,0.3,43210,330,0.77,42000,43830
20,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,7439,174576523,388018496221,2264,2296,2197,-67,-2.96,2223,-41,-1.81,2197,2310
21,وبصادر,بانك صادرات ايران,6891,248315464,549694577714,2252,2259,2185,-67,-2.98,2214,-38,-1.69,2185,2270
22,ثاميد,توسعه و عمران اميد,6321,59386086,79702715949,1350,1370,1352,2,0.15,1342,-8,-0.59,1310,1392
23,بپيوند,برق و انرژي پيوندگستر پارس,5938,3701760,41596395720,11127,11345,10911,-216,-1.94,11218,91,0.82,10850,11600
