,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,12324,9313123,668042247970,74550,72400,71570,-2980,-4,71730,-2820,-3.78,71570,72500
3,فملي,ملي‌ صنايع‌ مس‌ ايران‌,9005,57779083,657702904240,11600,11460,11370,-230,-1.98,11380,-220,-1.9,11370,11670
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,8738,5268508,668553658780,131700,128500,126440,-5260,-3.99,126900,-4800,-3.64,126440,128500
5,اپال,فرآوري معدني اپال كاني پارس,6683,19488965,330273150410,17280,16950,16940,-340,-1.97,16950,-330,-1.91,16940,17100
6,سيتا,سرمايه گذاري سيمان تامين,6076,10853790,162763851350,15000,15000,15010,10,0.07,15000,0,0,14780,15010
7,بوعلي,پتروشيمي بوعلي سينا,5512,2159238,92824666930,42960,42110,42110,-850,-1.98,42990,30,0.07,42110,44000
8,ساراب,سيمان‌ داراب‌,5135,18420487,345114184260,17870,18790,18680,810,4.53,18740,870,4.87,18110,18940
9,وكبهمن,مديريت سرمايه گذاري كوثربهمن,5117,3693407,39862979013,11012,10792,10792,-220,-2,10828,-184,-1.67,10792,10815
10,شستا,سرمايه گذاري تامين اجتماعي,5045,46491308,541604600860,11870,11700,11640,-230,-1.94,11650,-220,-1.85,11640,11820
11,وبملت,بانك ملت,4993,171453364,681861473720,4040,3960,4060,20,0.5,3980,-60,-1.49,3960,4060
12,بگيلان,توسعه مسير برق گيلان,4791,1515489,32593934133,21712,21278,21289,-423,-1.95,21577,-135,-0.62,21278,22130
13,امين يكم,صندوق درآمد ثابت امين يكم فردا,4074,168329620,1715880209410,10188,10196,10199,11,0.11,10194,6,0.06,10187,10200
