,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
49,دزهراوي,داروسازي‌زهراوي‌,3203,14903975,91532129850,6220,5910,6200,-20,-0.32,6140,-80,-1.29,5910,6390
50,وتوصا,گروه س توسعه صنعتي ايران,3075,16029881,126076390710,8020,8130,7850,-170,-2.12,7870,-150,-1.87,7620,8200
51,كمند,صندوق س. با درآمد ثابت كمند,3065,81354069,822975421855,10111,10116,10117,6,0.06,10116,5,0.05,10115,10118
52,كيان,صندوق س. با درآمد ثابت كيان,3016,191254683,5469126073654,28566,28595,28598,32,0.11,28596,30,0.11,28595,28600
53,نوري,پتروشيمي نوري,2995,4865719,293495005660,58940,59750,60280,1340,2.27,60320,1380,2.34,59000,61490
54,وپارس,بانك‌پارسيان‌,2883,43876342,119742987505,2719,2740,2729,10,0.37,2729,10,0.37,2726,2755
55,بترانس,ايران‌ ترانسفو,2877,41803308,89763118816,2140,2120,2156,16,0.75,2147,7,0.33,2081,2190
56,ختوقا,قطعات‌ اتومبيل‌ ايران‌,2841,47277041,87758398822,1939,1861,1855,-84,-4.33,1856,-83,-4.28,1843,1920
57,ونيكي,سرمايه‌گذاري‌ ملي‌ايران‌,2837,20698423,170700395990,8580,8160,8180,-400,-4.66,8250,-330,-3.85,8160,8490
58,كارين,صندوق س نگين سامان-ثابت,2790,133780126,1341667431487,10023,10028,10030,7,0.07,10029,6,0.06,10027,10035
59,فخوز,فولاد  خوزستان,2693,10078336,149324415220,14470,14270,14850,380,2.63,14820,350,2.42,14270,15040
60,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,2643,30615430,1121747379060,36604,36625,36640,36,0.1,36640,36,0.1,36624,36649
61,تملت,تامين سرمايه بانك ملت,2616,7545743,31822937150,4320,4310,4210,-110,-2.55,4220,-100,-2.31,4130,4320
62,خصدرا,صنعتي‌ دريايي‌ ايران‌,2604,62595059,130415009462,2016,1970,2116,100,4.96,2083,67,3.32,1965,2116
63,تسه0002,امتيازتسهيلاتمسكن ارديبهشت1400,2598,45938,24831573875,524436,532222,535000,10564,2.01,540545,16109,3.07,526099,550000
64,بجهرم,توسعه مولد نيروگاهي جهرم,2588,41775370,84838357434,1943,2019,2040,97,4.99,2031,88,4.53,1953,2040
65,فارس,صنايع پتروشيمي خليج فارس,2434,17970054,161553947790,8800,9070,8990,190,2.16,8990,190,2.16,8810,9150
66,گشان,توسعه بين المللي پديده شانديز,2309,4571999,100131561062,21527,21798,21957,430,2,21901,374,1.74,21260,21957
67,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,2297,11477315,108600650740,9390,9100,9440,50,0.53,9460,70,0.75,9100,9570
68,فمراد,آلومراد,2199,1265644,98696147710,81730,77650,78190,-3540,-4.33,77980,-3750,-4.59,77650,79980
69,ماديرا,صنايع ماشين هاي اداري ايران,2132,14354110,92231870774,6264,6270,6577,313,5,6425,161,2.57,6131,6577
70,رمپنا,گروه مپنا (سهامي عام),2026,15757484,196774017020,11930,12210,12520,590,4.95,12490,560,4.69,12210,12520
71,ومعادنح,ح . توسعه‌معادن‌وفلزات‌,1939,10866160,61356868660,5620,5620,5620,0,0,5650,30,0.53,5510,5800
72,وبانك,سرمايه گذاري گروه توسعه ملي,1933,11137370,75698596680,6690,6610,6800,110,1.64,6800,110,1.64,6610,6980
73,تنوين,تامين سرمايه نوين,1910,82917344,613435721500,7400,7030,7500,100,1.35,7400,0,0,7030,7600
74,ثعتما,س. ساختماني اعتماد گستر,1891,6352406,147614749605,23417,22715,24119,702,3,23238,-179,-0.76,22715,24119
75,صبا,سرمايه گذاري صبا تامين,1872,3098628,21657572034,6968,6800,6948,-20,-0.29,6972,4,0.06,6800,7120
76,كيان2,صندوق س. با درآمد ثابت كيان,1855,185500000,185500000,28566,1,1,-28565,-100,1,-28565,-100,1,1
77,سصوفي,سيمان‌ صوفيان‌,1778,7963101,93423056110,11360,10910,11920,560,4.93,11730,370,3.26,10910,11920
78,ونوين,بانك‌اقتصادنوين‌,1699,17199529,67618851603,3826,3851,3990,164,4.29,3931,105,2.74,3851,4000
79,فباهنرح,ح . مس‌ شهيدباهنر,1667,6286791,80514827320,12550,12300,13150,600,4.78,12810,260,2.07,12300,13290
80,ولساپا,ليزينگ رايان‌ سايپا,1641,19818450,54277008788,2699,2660,2711,12,0.44,2739,40,1.48,2652,2800
81,شبريز,پالايش نفت تبريز,1623,2455946,56877303300,23250,22870,23340,90,0.39,23190,-60,-0.26,22530,23580
82,وساپا,سرمايه‌گذاري‌ سايپا,1545,13002641,54616793878,4227,4250,4179,-48,-1.14,4200,-27,-0.64,4061,4330
83,وخارزمح,ح.سرمايه گذاري خوارزمي,1535,12464916,30870708599,2265,2223,2491,226,9.98,2477,212,9.36,2223,2491
84,وسبحان,سرمايه گذاري سبحان,1533,34519737,79279188319,2212,2219,2322,110,4.97,2297,85,3.84,2200,2322
85,وتوكا,سرمايه‌گذاري‌توكافولاد(هلدينگ,1453,9783252,81158144680,8440,8020,8490,50,0.59,8300,-140,-1.66,8020,8850
86,ميدكو,هلدينگ صنايع  معدني خاورميانه,1453,5499338,221113511501,40158,40500,40200,42,0.1,40207,49,0.12,40159,40500
87,سرو,صندوق س سروسودمند مدبران-سهام,1452,1220192,69568384800,57070,57060,56930,-140,-0.25,57010,-60,-0.11,55890,57900
88,خمحركه,نيرو محركه‌,1425,20424693,73207605236,3768,3580,3580,-188,-4.99,3584,-184,-4.88,3580,3643
89,غگل,گلوكوزان‌,1423,23003882,56176485239,2360,2424,2478,118,5,2442,82,3.47,2345,2478
90,كچاد,معدني‌وصنعتي‌چادرملو,1416,3622970,80635793560,22180,22690,22300,120,0.54,22230,50,0.23,22010,22690
91,سفارس,سيمان فارس و خوزستان,1406,6492887,98787883710,14650,14640,15380,730,4.98,15210,560,3.82,14230,15380
92,اخابر,مخابرات ايران,1373,6759530,49463657370,7240,7050,7310,70,0.97,7270,30,0.41,7050,7500
