,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,پالايش,صندوق پالايشي يکم-سهام,34932,34337089,2422446603660,71090,69000,71210,120,0.17,70550,-540,-0.76,68800,72000
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,21585,14885302,1855877576500,124870,122500,125810,940,0.75,124680,-190,-0.15,121150,126520
4,اپال,فرآوري معدني اپال كاني پارس,16949,35831146,610192728880,17360,17020,17020,-340,-1.96,17030,-330,-1.9,17020,17180
5,شستا,سرمايه گذاري تامين اجتماعي,15535,56988489,608802013450,10830,10620,10730,-100,-0.92,10680,-150,-1.39,10620,10890
6,فولاد,فولاد مباركه اصفهان,12667,124626379,1524768395510,12470,12230,12230,-240,-1.92,12230,-240,-1.92,12230,12300
7,وبملت,بانك ملت,8829,310354779,1201988996880,3890,3820,3930,40,1.03,3870,-20,-0.51,3820,3930
8,خزاميا,زامياد,7174,54434215,480641493420,8710,8540,9020,310,3.56,8830,120,1.38,8540,9050
9,بپيوند,برق و انرژي پيوندگستر پارس,7110,14010272,191118465645,13640,13870,13400,-240,-1.76,13641,1,0.01,13368,14150
10,بوعلي,پتروشيمي بوعلي سينا,6434,3653684,152676527980,41730,41110,41700,-30,-0.07,41790,60,0.14,41110,42300
11,غپاك,لبنيات‌ پاك‌,5915,12777028,410464931220,31510,32000,32220,710,2.25,32130,620,1.97,31570,32990
12,سيتا,سرمايه گذاري سيمان تامين,5837,5691124,85453746460,15000,15010,15020,20,0.13,15020,20,0.13,15000,15250
13,آريا,پليمر آريا ساسول,4447,2696698,220243422656,83308,81642,81644,-1664,-2,81672,-1636,-1.96,81642,82500
14,بگيلان,توسعه مسير برق گيلان,4120,2726429,59699737205,22171,21920,21730,-441,-1.99,21897,-274,-1.24,21728,22600
15,آبادا,توليد نيروي برق آبادان,3975,4907855,67313391210,13830,13980,13560,-270,-1.95,13720,-110,-0.8,13560,14150
16,فباهنرح,ح . مس‌ شهيدباهنر,3790,10855758,185011168120,355,17560,16860,16505,4649.3,17040,16685,4700,16860,17990
17,دامين,داروسازي‌ امين‌,3560,29417752,154134146710,5100,5400,5110,10,0.2,5240,140,2.75,5000,5400
18,كمند,صندوق س. با درآمد ثابت كمند,3168,122570458,1230580372301,10035,10040,10039,4,0.04,10040,5,0.05,10039,10042
19,خودرو,ايران‌ خودرو,2837,94142350,220293099000,2380,2340,2340,-40,-1.68,2340,-40,-1.68,2340,2340
20,فخوز,فولاد  خوزستان,2739,15825943,219281558620,14060,13780,14000,-60,-0.43,13860,-200,-1.42,13780,14050
21,وهور,مديريت انرژي اميد  تابان هور,2668,77448854,168493063309,2205,2161,2210,5,0.23,2176,-29,-1.32,2161,2220
22,غبشهر,صنعتي‌ بهشهر,2590,9690216,253664281880,25040,24630,26540,1500,5.99,26180,1140,4.55,24630,26540
23,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,2494,82260940,2947212432440,35810,35828,35829,19,0.05,35828,18,0.05,35823,35830
24,وپاسار,بانك  پاسارگاد,2478,40989001,545550727240,13300,13300,13320,20,0.15,13310,10,0.08,13290,13320
25,امين يكم,صندوق درآمد ثابت امين يكم فردا,2472,72092015,734265269191,10184,10188,10185,1,0.01,10185,1,0.01,10182,10188
26,وخارزمح,ح.سرمايه گذاري خوارزمي,2468,10020120,38003347260,3830,3760,3750,-80,-2.09,3790,-40,-1.04,3700,3880
27,فلوله,لوله‌وماشين‌سازي‌ايران‌,2301,4869585,111033437070,22630,22180,22450,-180,-0.8,22800,170,0.75,22180,23430
28,سمازن,سيمان‌مازندران‌,2172,9013450,118067089440,12740,12510,13230,490,3.85,13100,360,2.83,12510,13350
29,صبا,سرمايه گذاري صبا تامين,2150,9786974,73591217092,7670,7520,7517,-153,-1.99,7575,-95,-1.24,7517,7570
30,آوا,صندوق س.سهام آواي معيار-س,2043,14293049,87381256150,6083,5980,6175,92,1.51,6114,31,0.51,5921,6200
31,ونوين,بانك‌اقتصادنوين‌,1998,44688976,191842358540,4370,4290,4300,-70,-1.6,4290,-80,-1.83,4290,4360
32,شلرد,كود شيميايي اوره لردگان,1940,22813488,149392377044,6665,6532,6556,-109,-1.64,6548,-117,-1.76,6532,6748
33,بپاس,بيمه پاسارگاد,1776,2850988,250559287848,88794,87019,88001,-793,-0.89,87885,-909,-1.02,87019,88200
34,امينح,ح . تامين سرمايه امين,1747,3163242,18294938460,5850,6000,5620,-230,-3.93,5780,-70,-1.2,5620,6010
35,حتايد,تايدواترخاورميانه,1715,4780802,126456092690,26300,25800,26770,470,1.79,26450,150,0.57,25780,27270
36,تسه9912,امتياز تسهيلات مسكن اسفند99,1676,26213,13609015467,510123,512000,503000,-7123,-1.4,519170,9047,1.77,503000,535629
37,نوري,پتروشيمي نوري,1669,2288687,130002864140,57710,56720,56720,-990,-1.72,56800,-910,-1.58,56560,57500
38,خودكفا,اقتصادي و خودكفايي آزادگان,1619,6103776,137761014266,23009,22750,22549,-460,-2,22570,-439,-1.91,22549,22750
39,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,1563,10792770,64627657480,6090,5970,5990,-100,-1.64,5990,-100,-1.64,5970,6130
40,سرو,صندوق س سروسودمند مدبران-سهام,1484,1303241,86117839640,65780,64400,66520,740,1.12,66080,300,0.46,64400,67100
41,غگيلا,شيرپاستوريزه پگاه گيلان,1451,26352,638983296,22876,24248,24248,1372,6,22893,17,0.07,24248,24248
42,كچاد,معدني‌وصنعتي‌چادرملو,1450,5377273,122048493640,23090,22630,22810,-280,-1.21,22700,-390,-1.69,22630,22990
43,قچار,فراوردههاي غذايي وقند چهارمحال,1404,1193944,107418116346,90027,88227,88227,-1800,-2,89969,-58,-0.06,88227,92000
44,كيان,صندوق س. با درآمد ثابت كيان,1348,19050189,531793507159,27903,27916,27916,13,0.05,27915,12,0.04,27915,27918
45,كاوه,فولاد كاوه جنوب كيش,1304,6607219,131869130090,19870,19550,19970,100,0.5,19960,90,0.45,19550,20300
46,فملي,ملي‌ صنايع‌ مس‌ ايران‌,1301,11542557,132854831070,11740,11510,11510,-230,-1.96,11510,-230,-1.96,11510,11510
47,ثباغ,شهر سازي و خانه سازي باغميشه,1210,3262825,54513727646,16337,16014,16950,613,3.75,16708,371,2.27,16014,17099
